Date,hashrate30var
2011/10/04,7.1814668440314E+23
2011/10/05,7.534237011978E+23
2011/10/06,6.8905188162561E+23
2011/10/07,6.56221983847E+23
2011/10/08,6.6317973332879E+23
2011/10/09,7.4919170652989E+23
2011/10/10,7.4437638200147E+23
2011/10/11,9.1130597584099E+23
2011/10/12,1.0392701550504E+24
2011/10/13,1.3912173884113E+24
2011/10/14,1.469424006056E+24
2011/10/15,1.4090847580948E+24
2011/10/16,1.5089109430929E+24
2011/10/17,1.7058487764419E+24
2011/10/18,1.5873649758099E+24
2011/10/19,1.5784811011523E+24
2011/10/20,1.6972290757817E+24
2011/10/21,1.5736181150331E+24
2011/10/22,1.6004612814979E+24
2011/10/23,1.7014238753632E+24
2011/10/24,1.7960156804773E+24
2011/10/25,1.6603229918993E+24
2011/10/26,1.6277994587053E+24
2011/10/27,1.5659072411544E+24
2011/10/28,1.6200333675936E+24
2011/10/29,1.5438607550152E+24
2011/10/30,1.6189556692994E+24
2011/10/31,1.6683524328671E+24
2011/11/01,1.5389719044146E+24
2011/11/02,1.4048050555034E+24
2011/11/03,1.2774394845289E+24
2011/11/04,1.2326756354699E+24
2011/11/05,9.3593308081169E+23
2011/11/06,8.2053958129847E+23
2011/11/07,6.5186608243016E+23
2011/11/08,5.9492965237288E+23
2011/11/09,5.1902418145965E+23
2011/11/10,5.2002512323451E+23
2011/11/11,5.2459680263066E+23
2011/11/12,5.331375250107E+23
2011/11/13,5.2181244806115E+23
2011/11/14,4.0146384635957E+23
2011/11/15,4.0912255446747E+23
2011/11/16,4.0928807810712E+23
2011/11/17,4.0688321360125E+23
2011/11/18,3.9272083341832E+23
2011/11/19,3.9135967362411E+23
2011/11/20,4.0953406800461E+23
2011/11/21,3.9917412211552E+23
2011/11/22,3.8090428755488E+23
2011/11/23,3.8216035557741E+23
2011/11/24,3.8167481087922E+23
2011/11/25,3.9688657683984E+23
2011/11/26,4.177923931094E+23
2011/11/27,4.3773792838695E+23
2011/11/28,4.6889333537615E+23
2011/11/29,4.5898149526776E+23
2011/11/30,4.5851000047063E+23
2011/12/01,5.2161522037124E+23
2011/12/02,5.5037508077106E+23
2011/12/03,5.5699397785953E+23
2011/12/04,5.5926839899969E+23
2011/12/05,5.2773564705165E+23
2011/12/06,5.2719735704536E+23
2011/12/07,5.2642219490112E+23
