Date,difficulty14mom
2013/12/04,97925603
2013/12/05,97925603
2013/12/06,97925603
2013/12/07,97925603
2013/12/08,97925603
2013/12/09,97925603
2013/12/10,165953039
2013/12/11,298868183
2013/12/12,298868183
2013/12/13,273962249
2013/12/14,200942579
2013/12/15,200942579
2013/12/16,200942579
2013/12/17,200942579
2013/12/18,200942579
2013/12/19,200942579
2013/12/20,200942579
2013/12/21,360084190
2013/12/22,473514912
2013/12/23,473514912
2013/12/24,405487476
2013/12/25,272572333
2013/12/26,272572333
2013/12/27,272572333
2013/12/28,272572333
2013/12/29,272572333
2013/12/30,272572333
2013/12/31,272572333
2014/01/01,272572333
2014/01/02,497720776
2014/01/03,510130533
2014/01/04,350988922
2014/01/05,237558200
2014/01/06,237558200
2014/01/07,237558200
2014/01/08,237558200
2014/01/09,237558200
2014/01/10,237558200
2014/01/11,237558200
2014/01/12,237558200
2014/01/13,549341093
2014/01/14,608623756
2014/01/15,608623756
2014/01/16,383475313
2014/01/17,371065556
2014/01/18,371065556
2014/01/19,371065556
2014/01/20,371065556
2014/01/21,371065556
2014/01/22,371065556
2014/01/23,371065556
2014/01/24,522945795
2014/01/25,775366475
2014/01/26,775366475
2014/01/27,463583582
2014/01/28,404300919
2014/01/29,404300919
2014/01/30,404300919
2014/01/31,404300919
2014/02/01,404300919
2014/02/02,404300919
2014/02/03,404300919
2014/02/04,404300919
2014/02/05,679158722
2014/02/06,831857502
2014/02/07,679977263
2014/02/08,427556583
2014/02/09,427556583
2014/02/10,427556583
2014/02/11,427556583
2014/02/12,427556583
2014/02/13,427556583
2014/02/14,427556583
2014/02/15,427556583
2014/02/16,427556583
2014/02/17,929168289
2014/02/18,935725304
2014/02/19,660867501
2014/02/20,508168721
2014/02/21,508168721
2014/02/22,508168721
2014/02/23,508168721
2014/02/24,508168721
2014/02/25,508168721
2014/02/26,508168721
2014/02/27,508168721
2014/02/28,819021490
2014/03/01,1194319346
2014/03/02,1194319346
2014/03/03,692707640
2014/03/04,686150624
