Date,top100cap90var
2013/02/16,0.066
2013/02/17,0.067
2013/02/18,0.068
2013/02/19,0.068
2013/02/20,0.066
2013/02/21,0.065
2013/02/22,0.064
2013/02/23,0.063
2013/02/24,0.064
2013/02/25,0.062
2013/02/26,0.06
2013/02/27,0.058
2013/02/28,0.054
2013/03/01,0.051
2013/03/02,0.047
2013/03/03,0.042
2013/03/04,0.038
2013/03/05,0.035
2013/03/06,0.032
2013/03/07,0.028
2013/03/08,0.025
2013/03/09,0.022
2013/03/10,0.019
2013/03/11,0.017
2013/03/12,0.015
2013/03/13,0.014
2013/03/14,0.014
2013/03/15,0.013
2013/03/16,0.013
2013/03/17,0.012
2013/03/18,0.012
2013/03/19,0.012
2013/03/20,0.012
2013/03/21,0.012
2013/03/22,0.012
2013/03/23,0.012
2013/03/24,0.012
2013/03/25,0.012
2013/03/26,0.012
2013/03/27,0.013
2013/03/28,0.015
2013/03/29,0.017
2013/03/30,0.02
2013/03/31,0.023
2013/04/01,0.026
2013/04/02,0.03
2013/04/03,0.033
2013/04/04,0.037
2013/04/05,0.038
2013/04/06,0.04
2013/04/07,0.041
2013/04/08,0.042
2013/04/09,0.043
2013/04/10,0.044
2013/04/11,0.05
2013/04/12,0.055
2013/04/13,0.06
2013/04/14,0.065
2013/04/15,0.074
2013/04/16,0.085
2013/04/17,0.092
2013/04/18,0.1
2013/04/19,0.108
2013/04/20,0.118
2013/04/21,0.127
2013/04/22,0.136
2013/04/23,0.144
2013/04/24,0.148
2013/04/25,0.152
2013/04/26,0.159
2013/04/27,0.161
2013/04/28,0.163
2013/04/29,0.165
2013/04/30,0.166
2013/05/01,0.169
2013/05/02,0.171
2013/05/03,0.174
2013/05/04,0.176
2013/05/05,0.177
2013/05/06,0.178
2013/05/07,0.178
2013/05/08,0.179
2013/05/09,0.179
2013/05/10,0.178
2013/05/11,0.178
2013/05/12,0.176
2013/05/13,0.176
2013/05/14,0.175
2013/05/15,0.175
2013/05/16,0.174
2013/05/17,0.174
2013/05/18,0.171
2013/05/19,0.167
2013/05/20,0.164
2013/05/21,0.162
2013/05/22,0.16
2013/05/23,0.159
2013/05/24,0.157
2013/05/25,0.153
2013/05/26,0.148
2013/05/27,0.144
2013/05/28,0.139
2013/05/29,0.134
2013/05/30,0.13
2013/05/31,0.125
2013/06/01,0.121
2013/06/02,0.118
2013/06/03,0.115
2013/06/04,0.112
2013/06/05,0.108
2013/06/06,0.106
2013/06/07,0.104
2013/06/08,0.101
2013/06/09,0.098
2013/06/10,0.096
2013/06/11,0.093
2013/06/12,0.091
2013/06/13,0.087
2013/06/14,0.083
2013/06/15,0.079
2013/06/16,0.075
2013/06/17,0.07
2013/06/18,0.066
2013/06/19,0.062
2013/06/20,0.057
2013/06/21,0.052
2013/06/22,0.047
2013/06/23,0.043
2013/06/24,0.04
2013/06/25,0.039
2013/06/26,0.037
2013/06/27,0.037
2013/06/28,0.037
2013/06/29,0.036
2013/06/30,0.036
2013/07/01,0.036
2013/07/02,0.037
2013/07/03,0.037
2013/07/04,0.037
2013/07/05,0.037
2013/07/06,0.038
2013/07/07,0.038
2013/07/08,0.039
2013/07/09,0.04
2013/07/10,0.042
2013/07/11,0.045
2013/07/12,0.046
2013/07/13,0.047
2013/07/14,0.047
2013/07/15,0.045
2013/07/16,0.045
2013/07/17,0.045
2013/07/18,0.047
2013/07/19,0.047
2013/07/20,0.047
2013/07/21,0.047
2013/07/22,0.047
2013/07/23,0.048
2013/07/24,0.049
2013/07/25,0.049
2013/07/26,0.05
2013/07/27,0.052
2013/07/28,0.053
2013/07/29,0.055
2013/07/30,0.057
2013/07/31,0.061
2013/08/01,0.063
2013/08/02,0.066
2013/08/03,0.068
2013/08/04,0.069
2013/08/05,0.07
2013/08/06,0.072
2013/08/07,0.073
2013/08/08,0.075
2013/08/09,0.076
2013/08/10,0.076
2013/08/11,0.077
2013/08/12,0.081
2013/08/13,0.086
2013/08/14,0.09
2013/08/15,0.093
2013/08/16,0.095
2013/08/17,0.095
2013/08/18,0.096
2013/08/19,0.096
2013/08/20,0.096
2013/08/21,0.096
2013/08/22,0.095
2013/08/23,0.094
2013/08/24,0.092
2013/08/25,0.091
2013/08/26,0.089
2013/08/27,0.088
2013/08/28,0.087
2013/08/29,0.085
2013/08/30,0.084
2013/08/31,0.083
2013/09/01,0.082
2013/09/02,0.08
2013/09/03,0.08
2013/09/04,0.079
2013/09/05,0.078
2013/09/06,0.079
2013/09/07,0.08
2013/09/08,0.081
2013/09/09,0.084
2013/09/10,0.087
2013/09/11,0.091
2013/09/12,0.096
2013/09/13,0.102
2013/09/14,0.108
2013/09/15,0.114
2013/09/16,0.121
2013/09/17,0.128
2013/09/18,0.136
2013/09/19,0.141
2013/09/20,0.147
2013/09/21,0.152
2013/09/22,0.16
2013/09/23,0.167
2013/09/24,0.175
2013/09/25,0.184
2013/09/26,0.191
2013/09/27,0.199
2013/09/28,0.206
2013/09/29,0.212
2013/09/30,0.218
2013/10/01,0.223
2013/10/02,0.226
2013/10/03,0.226
2013/10/04,0.226
2013/10/05,0.225
2013/10/06,0.224
2013/10/07,0.223
2013/10/08,0.222
2013/10/09,0.221
2013/10/10,0.22
2013/10/11,0.22
2013/10/12,0.22
2013/10/13,0.22
2013/10/14,0.22
2013/10/15,0.22
2013/10/16,0.217
2013/10/17,0.215
2013/10/18,0.213
2013/10/19,0.211
2013/10/20,0.209
2013/10/21,0.207
2013/10/22,0.206
2013/10/23,0.205
2013/10/24,0.204
2013/10/25,0.207
2013/10/26,0.21
2013/10/27,0.212
2013/10/28,0.213
2013/10/29,0.213
2013/10/30,0.214
2013/10/31,0.216
2013/11/01,0.219
2013/11/02,0.222
2013/11/03,0.226
2013/11/04,0.242
2013/11/05,0.258
2013/11/06,0.276
2013/11/07,0.294
2013/11/08,0.313
2013/11/09,0.331
2013/11/10,0.345
2013/11/11,0.357
2013/11/12,0.369
2013/11/13,0.381
2013/11/14,0.394
2013/11/15,0.409
2013/11/16,0.423
2013/11/17,0.438
2013/11/18,0.454
2013/11/19,0.471
2013/11/20,0.488
2013/11/21,0.503
2013/11/22,0.543
2013/11/23,0.57
2013/11/24,0.595
2013/11/25,0.619
2013/11/26,0.64
2013/11/27,0.657
2013/11/28,0.676
2013/11/29,0.689
2013/11/30,0.7
2013/12/01,0.71
2013/12/02,0.718
2013/12/03,0.727
2013/12/04,0.734
2013/12/05,0.739
2013/12/06,0.746
2013/12/07,0.752
2013/12/08,0.755
2013/12/09,0.757
2013/12/10,0.763
2013/12/11,0.771
2013/12/12,0.779
2013/12/13,0.787
2013/12/14,0.791
2013/12/15,0.791
2013/12/16,0.79
2013/12/17,0.787
2013/12/18,0.786
2013/12/19,0.783
2013/12/20,0.779
2013/12/21,0.766
2013/12/22,0.753
2013/12/23,0.737
2013/12/24,0.719
2013/12/25,0.696
2013/12/26,0.673
2013/12/27,0.649
2013/12/28,0.625
2013/12/29,0.601
2013/12/30,0.577
2013/12/31,0.558
2014/01/01,0.543
2014/01/02,0.527
2014/01/03,0.511
2014/01/04,0.494
