Date,transactionvalue30emaUSD
2013/04/03,2321
2013/04/04,2446
2013/04/05,2568
2013/04/06,2626
2013/04/07,2614
2013/04/08,2706
2013/04/09,2923
2013/04/10,3259
2013/04/11,3309
2013/04/12,3275
2013/04/13,3218
2013/04/14,3101
2013/04/15,3008
2013/04/16,2942
2013/04/17,2906
2013/04/18,3484
2013/04/19,3475
2013/04/20,3419
2013/04/21,3361
2013/04/22,3400
2013/04/23,3386
2013/04/24,3462
2013/04/25,3475
2013/04/26,3438
2013/04/27,3364
2013/04/28,3257
2013/04/29,3354
2013/04/30,3320
2013/05/01,3303
2013/05/02,3206
2013/05/03,3103
2013/05/04,2971
2013/05/05,2872
2013/05/06,2803
2013/05/07,2745
2013/05/08,2684
2013/05/09,2584
2013/05/10,2514
2013/05/11,2419
2013/05/12,2325
2013/05/13,2309
2013/05/14,2244
2013/05/15,2179
2013/05/16,2119
2013/05/17,2087
2013/05/18,2057
2013/05/19,1989
2013/05/20,1942
2013/05/21,1909
2013/05/22,1894
2013/05/23,1862
2013/05/24,1852
2013/05/25,1850
2013/05/26,1810
2013/05/27,1797
2013/05/28,1781
2013/05/29,1786
2013/05/30,1760
2013/05/31,1748
2013/06/01,1708
2013/06/02,1667
2013/06/03,1668
2013/06/04,1648
2013/06/05,1634
2013/06/06,1635
2013/06/07,1626
2013/06/08,1580
2013/06/09,1581
2013/06/10,1551
2013/06/11,1533
2013/06/12,1521
2013/06/13,1519
2013/06/14,1517
2013/06/15,1494
2013/06/16,1475
2013/06/17,1462
2013/06/18,1460
2013/06/19,1450
2013/06/20,1453
2013/06/21,1464
2013/06/22,1434
2013/06/23,1399
2013/06/24,1396
2013/06/25,1406
2013/06/26,1403
2013/06/27,1388
2013/06/28,1378
2013/06/29,1372
2013/06/30,1361
2013/07/01,1395
2013/07/02,1404
2013/07/03,1434
2013/07/04,1465
2013/07/05,1506
2013/07/06,1498
2013/07/07,1496
2013/07/08,1499
2013/07/09,1535
2013/07/10,1572
2013/07/11,1600
2013/07/12,1612
2013/07/13,1639
2013/07/14,1627
2013/07/15,1632
2013/07/16,1666
2013/07/17,1710
2013/07/18,1736
2013/07/19,1744
2013/07/20,1710
2013/07/21,1675
2013/07/22,1689
2013/07/23,1725
2013/07/24,1732
2013/07/25,1729
2013/07/26,1738
2013/07/27,1697
2013/07/28,1681
2013/07/29,1678
2013/07/30,1712
2013/07/31,1709
2013/08/01,1738
2013/08/02,1734
2013/08/03,1713
2013/08/04,1674
2013/08/05,1668
2013/08/06,1648
2013/08/07,1630
2013/08/08,1602
2013/08/09,1574
2013/08/10,1532
2013/08/11,1499
2013/08/12,1504
2013/08/13,1557
2013/08/14,1617
2013/08/15,1601
2013/08/16,1592
2013/08/17,1600
2013/08/18,1583
2013/08/19,1580
2013/08/20,1578
2013/08/21,1618
2013/08/22,1599
2013/08/23,1598
2013/08/24,1569
2013/08/25,1554
2013/08/26,1542
2013/08/27,1548
2013/08/28,1538
2013/08/29,1773
2013/08/30,1760
2013/08/31,1791
2013/09/01,1817
2013/09/02,1828
2013/09/03,1856
2013/09/04,1871
2013/09/05,1861
2013/09/06,1826
2013/09/07,1798
2013/09/08,1746
2013/09/09,1769
2013/09/10,1749
2013/09/11,1768
2013/09/12,1761
2013/09/13,1764
2013/09/14,1757
2013/09/15,1703
2013/09/16,1700
2013/09/17,1666
2013/09/18,1670
2013/09/19,1672
2013/09/20,1662
2013/09/21,1621
2013/09/22,1592
2013/09/23,1609
2013/09/24,1625
2013/09/25,1643
2013/09/26,1640
2013/09/27,1650
2013/09/28,1646
2013/09/29,1647
2013/09/30,1683
2013/10/01,1725
2013/10/02,1755
2013/10/03,1751
2013/10/04,1755
2013/10/05,1717
2013/10/06,1682
2013/10/07,1694
2013/10/08,1710
2013/10/09,1741
2013/10/10,1735
2013/10/11,1750
2013/10/12,1749
2013/10/13,1751
2013/10/14,1772
2013/10/15,1803
2013/10/16,1864
2013/10/17,1907
2013/10/18,1932
2013/10/19,1987
2013/10/20,2007
2013/10/21,2065
2013/10/22,2149
2013/10/23,2254
2013/10/24,2306
2013/10/25,2694
2013/10/26,2681
2013/10/27,2641
2013/10/28,2625
2013/10/29,2877
2013/10/30,2884
2013/10/31,2848
2013/11/01,2846
2013/11/02,2875
2013/11/03,2905
2013/11/04,3027
2013/11/05,3158
2013/11/06,3223
2013/11/07,3384
2013/11/08,3526
2013/11/09,3654
2013/11/10,3682
2013/11/11,3710
2013/11/12,3890
2013/11/13,4108
2013/11/14,4274
2013/11/15,5125
2013/11/16,5675
2013/11/17,5988
2013/11/18,6557
2013/11/19,7084
2013/11/20,7344
2013/11/21,8063
2013/11/22,8901
2013/11/23,9345
2013/11/24,9873
2013/11/25,10187
2013/11/26,12055
2013/11/27,13289
2013/11/28,14535
2013/11/29,15456
2013/11/30,16185
2013/12/01,16381
2013/12/02,16459
2013/12/03,16371
2013/12/04,16451
2013/12/05,16587
2013/12/06,16490
2013/12/07,17055
2013/12/08,17175
2013/12/09,17149
2013/12/10,16780
2013/12/11,16648
2013/12/12,16446
2013/12/13,16261
2013/12/14,15864
2013/12/15,15318
2013/12/16,15861
2013/12/17,15857
2013/12/18,15722
2013/12/19,15485
2013/12/20,15138
2013/12/21,14843
2013/12/22,14589
2013/12/23,14191
2013/12/24,13938
2013/12/25,13711
2013/12/26,13380
2013/12/27,13051
2013/12/28,12811
2013/12/29,12734
2013/12/30,12609
2013/12/31,12285
2014/01/01,12087
2014/01/02,11941
2014/01/03,11927
2014/01/04,11792
2014/01/05,11920
2014/01/06,12043
2014/01/07,12095
2014/01/08,11993
2014/01/09,11754
2014/01/10,11548
2014/01/11,11225
2014/01/12,10956
2014/01/13,10771
2014/01/14,10774
2014/01/15,10608
2014/01/16,10494
2014/01/17,10200
2014/01/18,9902
2014/01/19,9895
2014/01/20,9928
2014/01/21,9749
2014/01/22,9520
2014/01/23,9330
2014/01/24,9318
2014/01/25,9169
2014/01/26,8978
2014/01/27,9118
2014/01/28,9018
2014/01/29,8848
2014/01/30,8721
2014/01/31,8510
2014/02/01,8400
2014/02/02,8344
2014/02/03,8248
2014/02/04,8314
2014/02/05,8392
2014/02/06,8321
2014/02/07,8370
2014/02/08,8231
2014/02/09,8095
2014/02/10,8088
2014/02/11,8023
2014/02/12,7922
2014/02/13,7792
2014/02/14,7672
2014/02/15,7851
2014/02/16,7771
2014/02/17,7608
2014/02/18,7431
2014/02/19,7207
2014/02/20,7036
2014/02/21,6851
2014/02/22,6659
