Date,price3trxUSD
2013/09/17,0.333
2013/09/18,0.333
2013/09/19,0.05
2013/09/20,-0.287
2013/09/21,-0.417
2013/09/22,-0.362
2013/09/23,-0.291
2013/09/24,-0.215
2013/09/25,-0.064
2013/09/26,0.081
2013/09/27,0.115
2013/09/28,0.188
2013/09/29,0.218
2013/09/30,0.172
2013/10/01,0.151
2013/10/02,-0.953
2013/10/03,-1.975
2013/10/04,-1.373
2013/10/05,-0.438
2013/10/06,0.138
2013/10/07,0.472
2013/10/08,0.676
2013/10/09,0.809
2013/10/10,0.825
2013/10/11,0.748
2013/10/12,0.635
2013/10/13,0.768
2013/10/14,1.099
2013/10/15,1.607
2013/10/16,1.808
2013/10/17,1.872
2013/10/18,2.117
2013/10/19,2.922
2013/10/20,3.278
2013/10/21,3.599
2013/10/22,4.558
2013/10/23,5.314
2013/10/24,4.41
2013/10/25,2.019
2013/10/26,0.708
2013/10/27,0.486
2013/10/28,1.131
2013/10/29,1.764
2013/10/30,2.004
2013/10/31,1.818
2013/11/01,1.583
2013/11/02,1.37
2013/11/03,1.283
2013/11/04,1.809
2013/11/05,3.002
2013/11/06,4.259
2013/11/07,5.745
2013/11/08,6.916
2013/11/09,8.252
2013/11/10,5.479
2013/11/11,4.082
2013/11/12,3.994
2013/11/13,4.889
2013/11/14,5.972
2013/11/15,5.992
2013/11/16,5.245
2013/11/17,5.258
2013/11/18,7.701
2013/11/19,9.329
2013/11/20,5.501
2013/11/21,5.24
2013/11/22,6.569
2013/11/23,7.787
2013/11/24,6.318
2013/11/25,4.903
