Date,hashrate3roc
2012/10/10,5.912
2012/10/11,-4.883
2012/10/12,-3.721
2012/10/13,-2.907
2012/10/14,-5.368
2012/10/15,2.451
2012/10/16,8.192
2012/10/17,7.878
2012/10/18,-1.636
2012/10/19,0.739
2012/10/20,-5.118
2012/10/21,10.646
2012/10/22,-1.332
2012/10/23,5.958
2012/10/24,-9.245
2012/10/25,-6.426
2012/10/26,1.945
2012/10/27,21.429
2012/10/28,11.651
2012/10/29,8.55
2012/10/30,-9.356
2012/10/31,-5.539
2012/11/01,-10.938
2012/11/02,-5.645
2012/11/03,1.418
2012/11/04,14.319
2012/11/05,7.581
2012/11/06,0.268
2012/11/07,-6.631
2012/11/08,5.303
2012/11/09,2.75
2012/11/10,6.348
2012/11/11,-11.771
2012/11/12,-2.871
2012/11/13,-13.749
2012/11/14,4.552
2012/11/15,-0.856
2012/11/16,4.603
2012/11/17,-0.832
2012/11/18,10.236
2012/11/19,-4.551
2012/11/20,4.871
2012/11/21,-4.158
2012/11/22,16.953
2012/11/23,-5.273
2012/11/24,8.526
2012/11/25,-3.406
2012/11/26,10.181
2012/11/27,-4.056
2012/11/28,10.509
2012/11/29,9.399
2012/11/30,-8.332
2012/12/01,-7.184
2012/12/02,-9.716
2012/12/03,6.627
2012/12/04,-14.344
2012/12/05,-24.055
2012/12/06,-10.836
2012/12/07,0.659
2012/12/08,20.075
2012/12/09,-0.562
2012/12/10,3.565
2012/12/11,-1.462
2012/12/12,6.834
2012/12/13,-4.104
2012/12/14,-16.578
2012/12/15,-24.305
2012/12/16,-10.22
2012/12/17,1.535
2012/12/18,19.191
2012/12/19,17.902
2012/12/20,-2.01
2012/12/21,-5.558
2012/12/22,-4.087
2012/12/23,29.441
2012/12/24,2.682
2012/12/25,-2.548
2012/12/26,-17.11
2012/12/27,13.812
2012/12/28,12.75
2012/12/29,7.181
2012/12/30,-6.076
2012/12/31,3.867
2013/01/01,7.811
2013/01/02,1.881
2013/01/03,-6.716
2013/01/04,-7.083
2013/01/05,-0.938
2013/01/06,-12.469
2013/01/07,0.656
2013/01/08,9.422
2013/01/09,1.91
2013/01/10,1.517
2013/01/11,-13.771
2013/01/12,-10.666
2013/01/13,-11.504
2013/01/14,9.581
2013/01/15,17.413
2013/01/16,-2.976
2013/01/17,-10.223
2013/01/18,-14.822
2013/01/19,11.709
2013/01/20,3.364
2013/01/21,20.927
2013/01/22,-2.008
2013/01/23,-0.494
2013/01/24,-7.175
2013/01/25,-0.933
2013/01/26,-3.366
2013/01/27,7.088
2013/01/28,4.49
2013/01/29,7.472
2013/01/30,-0.133
2013/01/31,14.905
2013/02/01,11.673
2013/02/02,5.45
2013/02/03,-8.293
2013/02/04,6.522
2013/02/05,10.903
2013/02/06,6.662
2013/02/07,-9.692
2013/02/08,-7.04
2013/02/09,-6.357
2013/02/10,4.94
2013/02/11,9.387
2013/02/12,0.076
2013/02/13,-1.683
2013/02/14,-0.453
2013/02/15,14.708
2013/02/16,21.738
2013/02/17,15.434
2013/02/18,19.26
2013/02/19,-4.529
2013/02/20,0.491
2013/02/21,6.514
2013/02/22,3.842
2013/02/23,-1.366
2013/02/24,-13.42
2013/02/25,10.481
2013/02/26,1.193
2013/02/27,14.964
2013/02/28,-2.305
2013/03/01,0.379
2013/03/02,-6.186
2013/03/03,1.876
2013/03/04,20.482
2013/03/05,6.54
2013/03/06,2.475
2013/03/07,-14.031
2013/03/08,1.366
2013/03/09,5.683
2013/03/10,20.834
2013/03/11,11.447
2013/03/12,-18.635
2013/03/13,-13.538
2013/03/14,2.291
2013/03/15,46.221
2013/03/16,21.225
2013/03/17,17.9
2013/03/18,12.525
2013/03/19,10.972
2013/03/20,-4.4
2013/03/21,10.252
2013/03/22,20.34
2013/03/23,17.182
2013/03/24,14.428
2013/03/25,-4.76
2013/03/26,-4.096
2013/03/27,-24.169
2013/03/28,2.641
2013/03/29,17.588
2013/03/30,27.155
2013/03/31,2.006
2013/04/01,10.888
2013/04/02,6.432
2013/04/03,10.479
2013/04/04,-15.617
2013/04/05,-16.218
2013/04/06,2.585
2013/04/07,13.456
2013/04/08,22.257
2013/04/09,5.311
2013/04/10,11.954
2013/04/11,4.007
2013/04/12,-2.186
2013/04/13,-10.389
2013/04/14,-6.451
2013/04/15,-2.66
2013/04/16,8.173
2013/04/17,9.76
2013/04/18,16.383
2013/04/19,-11.955
2013/04/20,-4.27
2013/04/21,6.139
2013/04/22,21.019
2013/04/23,12.632
2013/04/24,-3.084
2013/04/25,-1.586
2013/04/26,8.522
2013/04/27,-1.715
2013/04/28,-0.309
2013/04/29,-0.182
2013/04/30,8.719
2013/05/01,5.466
2013/05/02,-10.65
2013/05/03,-10.935
2013/05/04,-0.51
2013/05/05,6.808
2013/05/06,23.224
2013/05/07,12.772
2013/05/08,13.355
2013/05/09,-4.642
2013/05/10,-0.677
2013/05/11,2.421
2013/05/12,10.223
2013/05/13,14.27
2013/05/14,3.813
2013/05/15,-10.656
2013/05/16,-15.092
2013/05/17,-5.175
2013/05/18,-0.185
2013/05/19,11.327
2013/05/20,-8.531
2013/05/21,-4.104
2013/05/22,-2.072
2013/05/23,14.715
2013/05/24,21.792
2013/05/25,7.444
2013/05/26,10.094
2013/05/27,9.963
2013/05/28,1.381
2013/05/29,1.079
2013/05/30,-1.345
2013/05/31,14.384
2013/06/01,15.392
2013/06/02,23.096
2013/06/03,12.869
2013/06/04,7.889
2013/06/05,9.267
2013/06/06,14.481
2013/06/07,-0.066
2013/06/08,-5.179
2013/06/09,-4.739
2013/06/10,8.516
2013/06/11,-0.379
2013/06/12,10.824
2013/06/13,14.045
2013/06/14,4.449
2013/06/15,-8.418
2013/06/16,-5.171
2013/06/17,15.56
2013/06/18,4.682
2013/06/19,-17.191
2013/06/20,-9.663
2013/06/21,5.301
2013/06/22,38.938
2013/06/23,17.556
2013/06/24,-3.222
2013/06/25,-11.917
2013/06/26,-0.155
2013/06/27,4.529
2013/06/28,11.492
2013/06/29,-1.503
2013/06/30,14.314
2013/07/01,0.164
2013/07/02,0.587
2013/07/03,1.917
2013/07/04,12.193
2013/07/05,12.201
2013/07/06,5.722
2013/07/07,10.981
2013/07/08,6.571
2013/07/09,8.033
2013/07/10,-4.942
2013/07/11,20.827
2013/07/12,11.424
2013/07/13,-3.162
2013/07/14,-8.482
2013/07/15,-4.732
2013/07/16,15.253
2013/07/17,-1.784
2013/07/18,4.998
2013/07/19,-0.203
2013/07/20,10.221
2013/07/21,6.413
2013/07/22,19.326
2013/07/23,0.947
2013/07/24,-7.794
2013/07/25,-9.103
2013/07/26,5.253
2013/07/27,16.559
2013/07/28,18.391
2013/07/29,0.756
2013/07/30,11.2
2013/07/31,7.033
2013/08/01,16.494
2013/08/02,-1.162
2013/08/03,6.43
2013/08/04,6.126
2013/08/05,23.6
2013/08/06,6.074
2013/08/07,11.26
2013/08/08,1.06
2013/08/09,15.632
2013/08/10,4.714
2013/08/11,11.527
2013/08/12,5.022
2013/08/13,5.115
2013/08/14,8.344
2013/08/15,2.298
2013/08/16,11.233
2013/08/17,7.636
2013/08/18,13.868
2013/08/19,7.821
2013/08/20,0.054
2013/08/21,5.057
2013/08/22,10.527
2013/08/23,16.352
2013/08/24,4.856
2013/08/25,1.047
2013/08/26,-2.486
2013/08/27,3.399
2013/08/28,7.619
2013/08/29,18.11
2013/08/30,17.999
2013/08/31,21.994
2013/09/01,20.753
2013/09/02,12.207
2013/09/03,-6.692
2013/09/04,-0.078
2013/09/05,0.753
2013/09/06,24.804
2013/09/07,-5.943
2013/09/08,-8.815
2013/09/09,0.236
2013/09/10,18.702
2013/09/11,24.519
2013/09/12,15.21
2013/09/13,6.344
2013/09/14,11.036
2013/09/15,22.889
2013/09/16,8.821
2013/09/17,1.966
2013/09/18,-22.703
2013/09/19,9.757
2013/09/20,13.932
2013/09/21,23.278
2013/09/22,5.918
2013/09/23,11.71
2013/09/24,10.57
2013/09/25,16.082
2013/09/26,16
2013/09/27,8.157
2013/09/28,-4.927
2013/09/29,-6.233
2013/09/30,-5.37
2013/10/01,9.872
2013/10/02,1.424
2013/10/03,23.38
2013/10/04,2.148
2013/10/05,10.799
2013/10/06,14.935
2013/10/07,7.921
2013/10/08,2.397
2013/10/09,-1.036
2013/10/10,13.699
2013/10/11,16.659
2013/10/12,7.47
2013/10/13,23.64
2013/10/14,29.652
2013/10/15,30.799
2013/10/16,22.817
2013/10/17,5.605
2013/10/18,-1.906
2013/10/19,9.33
2013/10/20,15.324
2013/10/21,18.591
2013/10/22,9.601
2013/10/23,6.508
2013/10/24,3.61
2013/10/25,-1.183
2013/10/26,36.852
2013/10/27,17.317
2013/10/28,14.706
2013/10/29,-21.077
2013/10/30,5.11
2013/10/31,12.862
2013/11/01,21.179
2013/11/02,17.351
2013/11/03,-3.722
2013/11/04,0.321
2013/11/05,-11.627
2013/11/06,8.648
2013/11/07,5.353
2013/11/08,-4.25
2013/11/09,-16.808
2013/11/10,0.576
2013/11/11,36.504
2013/11/12,40.964
2013/11/13,18.632
2013/11/14,-8.828
2013/11/15,-14.424
2013/11/16,0.756
2013/11/17,17.88
2013/11/18,21.707
2013/11/19,-4.529
2013/11/20,-3.8
2013/11/21,-8.099
2013/11/22,4.838
