Date,activeaddresses30rsi
2012/11/20,51.732
2012/11/21,51.886
2012/11/22,50.641
2012/11/23,47.967
2012/11/24,48.826
2012/11/25,48.464
2012/11/26,50.769
2012/11/27,49.514
2012/11/28,51.861
2012/11/29,50.983
2012/11/30,48.796
2012/12/01,47.755
2012/12/02,44.871
2012/12/03,46.013
2012/12/04,51.45
2012/12/05,52.291
2012/12/06,50.773
2012/12/07,50.716
2012/12/08,49.57
2012/12/09,49.835
2012/12/10,48.495
2012/12/11,49.025
2012/12/12,51.66
2012/12/13,53.187
2012/12/14,51.018
2012/12/15,47.846
2012/12/16,48.384
2012/12/17,50.788
2012/12/18,53.817
2012/12/19,51.795
2012/12/20,49.928
2012/12/21,52.684
2012/12/22,56.107
2012/12/23,49.817
2012/12/24,49.853
2012/12/25,46.299
2012/12/26,49.302
2012/12/27,48.747
2012/12/28,50.915
2012/12/29,50.011
2012/12/30,52.12
2012/12/31,48.111
2013/01/01,49.248
2013/01/02,51.122
2013/01/03,53.858
2013/01/04,52.398
2013/01/05,54.377
2013/01/06,50.381
2013/01/07,54.072
2013/01/08,54.651
2013/01/09,54.693
2013/01/10,56.202
2013/01/11,56.151
2013/01/12,52.325
2013/01/13,53.828
2013/01/14,49.998
2013/01/15,54.025
2013/01/16,54.253
2013/01/17,54.398
2013/01/18,53.734
2013/01/19,51.066
2013/01/20,49.975
2013/01/21,49.925
2013/01/22,52.43
2013/01/23,50.313
2013/01/24,54.453
2013/01/25,50.799
2013/01/26,52.312
2013/01/27,50.706
2013/01/28,52.12
2013/01/29,52.515
2013/01/30,49.008
2013/01/31,50.039
2013/02/01,54.774
2013/02/02,52.348
2013/02/03,52.604
2013/02/04,52.562
2013/02/05,53.308
2013/02/06,51.268
2013/02/07,52.656
2013/02/08,53.218
2013/02/09,51.922
2013/02/10,52.307
2013/02/11,50.512
2013/02/12,50.367
2013/02/13,50.81
2013/02/14,50.21
2013/02/15,49.73
2013/02/16,48.636
2013/02/17,48.081
2013/02/18,48.735
2013/02/19,49.591
2013/02/20,50.141
2013/02/21,50.08
2013/02/22,51.585
2013/02/23,50.331
2013/02/24,50.616
2013/02/25,52.525
2013/02/26,53.413
2013/02/27,51.69
2013/02/28,53.647
2013/03/01,54.944
2013/03/02,48.94
2013/03/03,47.705
2013/03/04,50.739
2013/03/05,52.218
2013/03/06,56.35
2013/03/07,55.181
2013/03/08,51.315
2013/03/09,50.391
2013/03/10,51.442
2013/03/11,50.116
2013/03/12,52.391
2013/03/13,53.555
2013/03/14,52.776
2013/03/15,53.638
2013/03/16,48.772
2013/03/17,49.161
2013/03/18,51.721
2013/03/19,55.061
2013/03/20,52.805
2013/03/21,55.029
2013/03/22,56.64
2013/03/23,53.615
2013/03/24,54.26
2013/03/25,53.19
2013/03/26,55.374
2013/03/27,55.274
2013/03/28,61.385
2013/03/29,57.216
2013/03/30,55.399
2013/03/31,50.979
2013/04/01,54.135
2013/04/02,58.052
2013/04/03,61.292
2013/04/04,61.643
2013/04/05,58.847
2013/04/06,53.999
2013/04/07,54.909
2013/04/08,60.329
2013/04/09,59.824
2013/04/10,63.536
2013/04/11,61.12
2013/04/12,55.751
2013/04/13,51.408
2013/04/14,49.157
2013/04/15,54.371
2013/04/16,54.39
2013/04/17,55.223
2013/04/18,50.693
2013/04/19,54.513
2013/04/20,49.253
2013/04/21,48.519
2013/04/22,52.013
2013/04/23,52.237
2013/04/24,53.672
2013/04/25,51.654
2013/04/26,50.886
2013/04/27,49.559
2013/04/28,55.563
2013/04/29,50.687
2013/04/30,49.242
2013/05/01,50.221
2013/05/02,49.976
2013/05/03,50.111
2013/05/04,48.153
2013/05/05,48.502
2013/05/06,50.586
2013/05/07,54.104
2013/05/08,53.013
2013/05/09,49.824
2013/05/10,50.187
2013/05/11,49.658
2013/05/12,47.928
2013/05/13,50.027
2013/05/14,50.174
2013/05/15,50.341
2013/05/16,50.24
2013/05/17,49.264
2013/05/18,47.575
2013/05/19,46.891
2013/05/20,48.273
2013/05/21,50.234
2013/05/22,48.867
2013/05/23,50.388
2013/05/24,50.692
2013/05/25,47.944
2013/05/26,47.95
2013/05/27,48.79
2013/05/28,49.226
2013/05/29,50.08
2013/05/30,49.616
2013/05/31,49.061
2013/06/01,47.526
2013/06/02,47.133
2013/06/03,50.158
2013/06/04,49.9
2013/06/05,49.908
2013/06/06,48.726
2013/06/07,48.842
2013/06/08,45.535
2013/06/09,45.196
2013/06/10,46.283
2013/06/11,47.673
2013/06/12,47.038
2013/06/13,47.69
2013/06/14,50.018
2013/06/15,45.173
2013/06/16,44.161
2013/06/17,46.177
2013/06/18,47.778
2013/06/19,49.091
2013/06/20,48.75
2013/06/21,49.104
2013/06/22,46.689
2013/06/23,45.261
2013/06/24,48.462
2013/06/25,47.678
2013/06/26,48.572
2013/06/27,47.647
2013/06/28,49.546
2013/06/29,47.744
2013/06/30,45.397
2013/07/01,49.821
2013/07/02,48.805
2013/07/03,49.247
2013/07/04,48.06
2013/07/05,47.977
2013/07/06,47.043
2013/07/07,45.28
2013/07/08,48.937
2013/07/09,50.137
2013/07/10,49.377
2013/07/11,51.445
2013/07/12,52.645
2013/07/13,48.884
2013/07/14,45.647
2013/07/15,48.955
2013/07/16,49.839
2013/07/17,49.113
2013/07/18,49.154
2013/07/19,48.124
2013/07/20,46.667
2013/07/21,46.376
2013/07/22,48.76
2013/07/23,49.761
2013/07/24,50.163
2013/07/25,50.305
2013/07/26,49.363
2013/07/27,46.595
2013/07/28,45.909
2013/07/29,50.793
2013/07/30,51.388
2013/07/31,54.033
2013/08/01,60.73
2013/08/02,51.535
2013/08/03,48.778
2013/08/04,48.734
2013/08/05,51.258
2013/08/06,50.932
2013/08/07,51.737
2013/08/08,51.045
2013/08/09,49.434
2013/08/10,48.348
2013/08/11,47.305
2013/08/12,56.546
2013/08/13,51.192
2013/08/14,51.728
2013/08/15,51.283
2013/08/16,52.447
2013/08/17,48.691
2013/08/18,48.04
2013/08/19,51.675
2013/08/20,51.89
2013/08/21,52.369
2013/08/22,52.577
2013/08/23,52.187
2013/08/24,48.897
2013/08/25,49.69
2013/08/26,51.02
2013/08/27,54.375
2013/08/28,52.233
2013/08/29,50.569
2013/08/30,53.1
2013/08/31,52.825
2013/09/01,47.36
2013/09/02,48.387
2013/09/03,50.008
2013/09/04,50.828
2013/09/05,49.689
2013/09/06,50.198
2013/09/07,48.301
2013/09/08,47.245
2013/09/09,50.458
2013/09/10,49.862
2013/09/11,50.59
2013/09/12,51.022
2013/09/13,49.05
2013/09/14,46.809
2013/09/15,46.958
2013/09/16,49.881
2013/09/17,50.498
2013/09/18,51.635
2013/09/19,51.64
2013/09/20,51.22
2013/09/21,49.024
2013/09/22,48.467
2013/09/23,51.912
2013/09/24,51.463
2013/09/25,51.483
2013/09/26,51.412
2013/09/27,51.394
2013/09/28,49.304
2013/09/29,49.852
2013/09/30,51.915
2013/10/01,53.918
2013/10/02,57.076
2013/10/03,53.404
2013/10/04,50.693
2013/10/05,48.226
2013/10/06,47.314
2013/10/07,50.547
2013/10/08,50.481
2013/10/09,51.152
2013/10/10,51.378
2013/10/11,51.196
2013/10/12,48.354
2013/10/13,52.733
2013/10/14,51.6
2013/10/15,52.238
2013/10/16,53.794
2013/10/17,51.142
2013/10/18,52.087
2013/10/19,53.418
2013/10/20,49.289
2013/10/21,53.741
2013/10/22,56.031
2013/10/23,55.698
2013/10/24,56.414
2013/10/25,54.006
2013/10/26,48.647
2013/10/27,47.113
2013/10/28,51.048
2013/10/29,50.839
