Date,top100cap30rsi
2012/11/14,41.121
2012/11/15,42.513
2012/11/16,44.542
2012/11/17,48.004
2012/11/18,47.943
2012/11/19,48.674
2012/11/20,49.498
2012/11/21,52.875
2012/11/22,53.836
2012/11/23,53.458
2012/11/24,51.356
2012/11/25,51.263
2012/11/26,44.14
2012/11/27,52.923
2012/11/28,54.738
2012/11/29,54.606
2012/11/30,55.508
2012/12/01,55.701
2012/12/02,55.359
2012/12/03,56.937
2012/12/04,54.34
2012/12/05,53.35
2012/12/06,53.055
2012/12/07,53.178
2012/12/08,53.255
2012/12/09,50.864
2012/12/10,51.275
2012/12/11,50.331
2012/12/12,49.506
2012/12/13,45.087
2012/12/14,43.32
2012/12/15,43.59
2012/12/16,42.688
2012/12/17,43.681
2012/12/18,40.95
2012/12/19,43.735
2012/12/20,42.83
2012/12/21,40.713
2012/12/22,40.669
2012/12/23,40.715
2012/12/24,39.709
2012/12/25,39.462
2012/12/26,41.729
2012/12/27,42.004
2012/12/28,43.062
2012/12/29,44.27
2012/12/30,45.646
2012/12/31,45.031
2013/01/01,45.892
2013/01/02,47.869
2013/01/03,48.646
2013/01/04,46.28
2013/01/05,46.36
2013/01/06,48.382
2013/01/07,49.086
2013/01/08,42.687
2013/01/09,42.427
2013/01/10,41.546
2013/01/11,42.662
2013/01/12,42.517
2013/01/13,40.143
2013/01/14,38.99
2013/01/15,38.586
2013/01/16,38.551
2013/01/17,37.886
2013/01/18,38.122
2013/01/19,38.381
2013/01/20,38.998
2013/01/21,37.932
2013/01/22,39.668
2013/01/23,41.814
2013/01/24,38.687
2013/01/25,40.663
2013/01/26,46.277
2013/01/27,46.985
2013/01/28,46.913
2013/01/29,48.063
2013/01/30,51.075
2013/01/31,49.742
2013/02/01,50.232
2013/02/02,48.366
2013/02/03,48.204
2013/02/04,47.596
2013/02/05,48.317
2013/02/06,47.273
2013/02/07,47.974
2013/02/08,47.228
2013/02/09,45.523
2013/02/10,46.102
2013/02/11,46.805
2013/02/12,49.815
2013/02/13,50.019
2013/02/14,49.374
2013/02/15,47.878
2013/02/16,47.862
2013/02/17,40.893
2013/02/18,40.771
2013/02/19,41.388
2013/02/20,47.769
2013/02/21,47.743
2013/02/22,50.092
2013/02/23,48.352
2013/02/24,44.391
2013/02/25,43.485
2013/02/26,44.716
2013/02/27,44.301
2013/02/28,44.811
2013/03/01,44.304
2013/03/02,45.878
2013/03/03,49.17
2013/03/04,51.049
2013/03/05,48.574
2013/03/06,50.83
2013/03/07,50.798
2013/03/08,54.997
2013/03/09,55.338
2013/03/10,51.268
2013/03/11,52.3
2013/03/12,52.91
2013/03/13,53.664
2013/03/14,54.046
2013/03/15,50.666
2013/03/16,50.548
2013/03/17,50.047
2013/03/18,48.533
2013/03/19,47.998
2013/03/20,50.902
2013/03/21,49.665
2013/03/22,48.811
2013/03/23,48.148
2013/03/24,49.786
2013/03/25,52.384
2013/03/26,57.676
2013/03/27,60.125
2013/03/28,61.272
2013/03/29,65.318
2013/03/30,67.532
2013/03/31,62.739
2013/04/01,65.405
2013/04/02,66.711
2013/04/03,65.191
2013/04/04,65.257
2013/04/05,59.122
2013/04/06,59.132
2013/04/07,56.711
2013/04/08,54.048
2013/04/09,54.763
2013/04/10,56.115
2013/04/11,65.535
2013/04/12,63.745
2013/04/13,63.785
2013/04/14,63.997
2013/04/15,68.177
2013/04/16,70.193
2013/04/17,65.996
2013/04/18,66.606
2013/04/19,66.502
2013/04/20,68.447
2013/04/21,67.578
2013/04/22,67.509
2013/04/23,67.54
2013/04/24,60.742
2013/04/25,62.091
2013/04/26,62.787
2013/04/27,55.678
2013/04/28,56.022
2013/04/29,52.838
2013/04/30,53.512
2013/05/01,54.959
2013/05/02,56.19
2013/05/03,56.479
2013/05/04,55.765
2013/05/05,54.993
2013/05/06,52.871
2013/05/07,52.898
2013/05/08,53.604
2013/05/09,53.866
2013/05/10,51.765
2013/05/11,50.798
2013/05/12,50.262
2013/05/13,50.038
2013/05/14,50.623
2013/05/15,51.337
2013/05/16,54.026
2013/05/17,53.041
2013/05/18,53.103
2013/05/19,52.604
2013/05/20,52.963
2013/05/21,52.084
2013/05/22,53.57
2013/05/23,52.878
2013/05/24,53.852
2013/05/25,46.11
2013/05/26,46.322
2013/05/27,48.541
2013/05/28,48.577
2013/05/29,47.061
2013/05/30,47.706
2013/05/31,45.625
2013/06/01,45.735
2013/06/02,45.841
2013/06/03,43.227
2013/06/04,42.837
2013/06/05,46.069
2013/06/06,44.479
2013/06/07,44.449
2013/06/08,45.805
2013/06/09,48.125
2013/06/10,47.929
2013/06/11,46.987
2013/06/12,50.47
2013/06/13,50.28
2013/06/14,51.24
2013/06/15,51.453
2013/06/16,52.495
2013/06/17,52.897
2013/06/18,52.869
2013/06/19,54.169
2013/06/20,53.864
2013/06/21,54.369
2013/06/22,52.75
2013/06/23,54.038
2013/06/24,54.108
2013/06/25,51.66
2013/06/26,52.618
2013/06/27,53.918
2013/06/28,54.727
2013/06/29,56.438
2013/06/30,56.539
