Date,hashrate7std
2016/07/18,187661855056688544
2016/07/19,190640230314971904
2016/07/20,189000962167366592
2016/07/21,176765376188227360
2016/07/22,164511654174730208
2016/07/23,192609130368910112
2016/07/24,165123681693389312
2016/07/25,113487968698905312
2016/07/26,110598163564674544
2016/07/27,73447318423412624
2016/07/28,57551798954198688
2016/07/29,121098158608264720
2016/07/30,110657578550139776
2016/07/31,113680446807308624
2016/08/01,145172541634347904
2016/08/02,212479678180594208
2016/08/03,188075744463495552
2016/08/04,162111368231990240
2016/08/05,175725852338293984
2016/08/06,168906237682808000
2016/08/07,147375093076711808
2016/08/08,183374406578033216
2016/08/09,186497959158764896
2016/08/10,202034421304652256
2016/08/11,229922820214769728
2016/08/12,208784489978619200
2016/08/13,146780305206957952
2016/08/14,165831556091398688
2016/08/15,184939442317897728
2016/08/16,185562985646817216
2016/08/17,210296674516343200
2016/08/18,180746304019674688
2016/08/19,187029275181820160
2016/08/20,213725656353755744
2016/08/21,240405371947443360
2016/08/22,263798792736138112
2016/08/23,246944782169906176
2016/08/24,155460978628079936
2016/08/25,126767989267416272
2016/08/26,217431432275347648
2016/08/27,244125626788923552
2016/08/28,227900877766570560
2016/08/29,235557304249733696
2016/08/30,226527491013809728
2016/08/31,226532279164811808
2016/09/01,229145208266863584
2016/09/02,194389815581429856
2016/09/03,163665637557280352
2016/09/04,167700920764829120
2016/09/05,168781922410870304
2016/09/06,186358404838790624
2016/09/07,186122116075210464
2016/09/08,173833118040005760
2016/09/09,174222714611566592
2016/09/10,150371332084543616
2016/09/11,165943961623527328
2016/09/12,268956229286629792
2016/09/13,237854272327437248
2016/09/14,246587577908787040
2016/09/15,232187863409354208
2016/09/16,183477239351051520
2016/09/17,156156840053019968
2016/09/18,176531457566061152
2016/09/19,147271167714457888
2016/09/20,154269883413321120
2016/09/21,114395049381010272
2016/09/22,158442663967838464
2016/09/23,190393264352094464
2016/09/24,191905368306511392
2016/09/25,485680457484280128
2016/09/26,491160129795164480
2016/09/27,474808371980995136
2016/09/28,468584086308924608
2016/09/29,474043219397894272
2016/09/30,436650119603294848
2016/10/01,373674937729319680
2016/10/02,214917032541597344
2016/10/03,238202462619812480
2016/10/04,247930843737793344
2016/10/05,253023537595309856
2016/10/06,266685072849754592
2016/10/07,217138387745386400
2016/10/08,228642638321874592
2016/10/09,277544305361942432
2016/10/10,158566159820917472
2016/10/11,221822621001049056
2016/10/12,240381476428493632
2016/10/13,266746788816109824
2016/10/14,270818780596514912
2016/10/15,253187280886018816
2016/10/16,103556674706604272
2016/10/17,79783657450484544
2016/10/18,120994282655662112
2016/10/19,156083023983879488
2016/10/20,217794407742041152
2016/10/21,227768334655237312
2016/10/22,374625801543472128
2016/10/23,370793098168416640
2016/10/24,344829355007546048
2016/10/25,345780335272557504
2016/10/26,359042562175190208
2016/10/27,282170631421461088
2016/10/28,292990595569331968
2016/10/29,163212173664872352
2016/10/30,178933912131982976
2016/10/31,247138572527860800
2016/11/01,243761417087591968
2016/11/02,276692906791188576
2016/11/03,274138522457799872
2016/11/04,307139389151508736
2016/11/05,327316489943553664
2016/11/06,316193294911535872
2016/11/07,231566661372555072
2016/11/08,273381185308404032
2016/11/09,227446244671882592
2016/11/10,273443509840978592
2016/11/11,274750744837788448
2016/11/12,194882057642837216
2016/11/13,183422136958173760
2016/11/14,167661734954768992
2016/11/15,167167540824868256
2016/11/16,119981910556496480
2016/11/17,137160116064144480
2016/11/18,129160150229086160
2016/11/19,131959256858306688
2016/11/20,160560672959452128
2016/11/21,214311954063406848
2016/11/22,226800943076728032
2016/11/23,203281529959543136
2016/11/24,166312406498706080
2016/11/25,238943102588178560
2016/11/26,260068007799563776
2016/11/27,252253968780510784
2016/11/28,182290833495336768
2016/11/29,99367567271073072
2016/11/30,104590899028199872
2016/12/01,88131536043338080
2016/12/02,135120706016605424
2016/12/03,176787951409509888
2016/12/04,235301723102742496
2016/12/05,234715791551530592
2016/12/06,246496572938003232
2016/12/07,268744544314508896
2016/12/08,313560062981197632
2016/12/09,280229053753412864
2016/12/10,361799124315137792
2016/12/11,353221986641408192
2016/12/12,400012296928273792
2016/12/13,402435351967195136
2016/12/14,399520326922879168
2016/12/15,403867585760178240
2016/12/16,404854614678682880
2016/12/17,370885233959140288
2016/12/18,391497374081287680
2016/12/19,348715929672038208
2016/12/20,283439235345215360
2016/12/21,303999090310691136
2016/12/22,338118381507727808
2016/12/23,303228573673548928
2016/12/24,209790707230826080
2016/12/25,205061458534988192
2016/12/26,220819098503639808
2016/12/27,196225787478510880
2016/12/28,235998364156206912
2016/12/29,225853536511133184
2016/12/30,231647829418573920
2016/12/31,183475756368458592
2017/01/01,181336786535644032
2017/01/02,207453052746762144
2017/01/03,222590800894060160
2017/01/04,216227859471304256
2017/01/05,216187656346064416
2017/01/06,234075666326421408
2017/01/07,228070819710353344
2017/01/08,236179042858158272
2017/01/09,219216514764833920
2017/01/10,184983324662223392
2017/01/11,314304828046709184
2017/01/12,364966605252511808
2017/01/13,442688120816261760
2017/01/14,420749945215497920
2017/01/15,397899144772531904
2017/01/16,408141206358744960
2017/01/17,182867601469033952
2017/01/18,186795443542903200
2017/01/19,193502354877303488
2017/01/20,231266925164128320
2017/01/21,345746865040974400
2017/01/22,357910149476501056
2017/01/23,419959636859154944
2017/01/24,407463810902971648
2017/01/25,372732017844300352
2017/01/26,308726998960100800
2017/01/27,346870339183404224
2017/01/28,335505802830472832
2017/01/29,332738632824928320
2017/01/30,315923174248518400
2017/01/31,224109979667686112
2017/02/01,301679276959653312
2017/02/02,419527758941424512
2017/02/03,564739865132777408
2017/02/04,565027935471735488
2017/02/05,562232771099008000
2017/02/06,567344996696735872
2017/02/07,599831179212375424
2017/02/08,558334449158067328
2017/02/09,463869516554911168
2017/02/10,344468993109969088
2017/02/11,349452480027531328
2017/02/12,372363709328111552
2017/02/13,377956061120975616
2017/02/14,445987766790933312
2017/02/15,462418411654375232
2017/02/16,456806735505271296
2017/02/17,455798478812518336
2017/02/18,454097144683012096
2017/02/19,391689237785806592
2017/02/20,430302423088195136
2017/02/21,191523111024415328
2017/02/22,190996200388128608
2017/02/23,205347039897038656
2017/02/24,349661187544665024
2017/02/25,464108546938068544
2017/02/26,630407549017921408
2017/02/27,595263488249419136
2017/02/28,566177903154668352
2017/03/01,503795278574262464
2017/03/02,377144502813032064
2017/03/03,432105374671966336
2017/03/04,410633175745621184
2017/03/05,272683675232227648
2017/03/06,176247215011801632
2017/03/07,180018047818826304
2017/03/08,229920721033863136
2017/03/09,227233138588328160
2017/03/10,211268446899943968
2017/03/11,202140190745053696
2017/03/12,224228834647793536
2017/03/13,202742680857552736
2017/03/14,196560679324882720
2017/03/15,198553083727792800
2017/03/16,192613383951691968
2017/03/17,289031423839662208
2017/03/18,374175467958803904
2017/03/19,370001699318040320
2017/03/20,371836191463718144
2017/03/21,384300018179736192
2017/03/22,363359706646926208
2017/03/23,325789458530266368
2017/03/24,394011630151472704
2017/03/25,344851752942995840
2017/03/26,351002005529168192
2017/03/27,345396077196084224
2017/03/28,292952451446967552
2017/03/29,339780799645190400
2017/03/30,346032342106137664
2017/03/31,251315822139966272
2017/04/01,271656199088589216
2017/04/02,286288709896735328
2017/04/03,503322653516316544
2017/04/04,493350255762991424
2017/04/05,439149534232882944
2017/04/06,439855656646581504
2017/04/07,441913671462160896
2017/04/08,363672119253574464
2017/04/09,356516257666582784
2017/04/10,222715027035817472
2017/04/11,293346607069856640
2017/04/12,256632294426721920
2017/04/13,302743200868268096
2017/04/14,459900974121374336
2017/04/15,431701097593645184
2017/04/16,437847038289359040
2017/04/17,435895985155770688
2017/04/18,367935689613134208
2017/04/19,364480426796685376
2017/04/20,357683932817681344
2017/04/21,247162510291577024
2017/04/22,276536755713999200
2017/04/23,291352671763333888
2017/04/24,293009685209307072
2017/04/25,422316577965952384
2017/04/26,437665890303021312
2017/04/27,419252827868044224
2017/04/28,429742310995090752
2017/04/29,477003782336599744
2017/04/30,542697929703409472
2017/05/01,558547492229022080
2017/05/02,349822756928954240
2017/05/03,372225334059014080
2017/05/04,372357599419166144
2017/05/05,268748263214325920
2017/05/06,262749489234842048
2017/05/07,301324496441906304
2017/05/08,415829221610784256
2017/05/09,471148789439525312
2017/05/10,397850557663716736
2017/05/11,328220367104645824
2017/05/12,306656090664118400
2017/05/13,301446489596267584
2017/05/14,373115693791349760
2017/05/15,524437439262139008
2017/05/16,527011229538749184
2017/05/17,576316768571266112
2017/05/18,576453304784972672
2017/05/19,526708222743217408
2017/05/20,599210196041518976
2017/05/21,581705713914486912
2017/05/22,459553819600504128
2017/05/23,551242380067350336
2017/05/24,507588819898628032
2017/05/25,576537662795794944
2017/05/26,502423228414115200
2017/05/27,487882974571283136
2017/05/28,595469422398118400
2017/05/29,384600285101121536
2017/05/30,445181594887855168
2017/05/31,501696584864610112
2017/06/01,503623603853119424
2017/06/02,500235254774542400
2017/06/03,462314717140836800
2017/06/04,482721849910747840
2017/06/05,456787229562062080
2017/06/06,577142297133434880
2017/06/07,577090974219054592
2017/06/08,600113902424416768
2017/06/09,399874738340522112
2017/06/10,473939640226429312
2017/06/11,616428772624556160
2017/06/12,585557239739731712
2017/06/13,607047702923148288
2017/06/14,617687769292074624
2017/06/15,394102861827484032
2017/06/16,389436118282860736
2017/06/17,389639244737424576
2017/06/18,360066481173999488
2017/06/19,354406940319060032
2017/06/20,350395485856888896
2017/06/21,376810947443263360
2017/06/22,432752181982750784
2017/06/23,602823382958446464
2017/06/24,593459307704649344
2017/06/25,576758130959836160
2017/06/26,736071709740416512
2017/06/27,671775930740606208
2017/06/28,658436131319492992
2017/06/29,630193600790261376
2017/06/30,434048080367003904
2017/07/01,737746802008885632
2017/07/02,1149936317635412608
2017/07/03,1200051100970664448
2017/07/04,1126732940632609408
2017/07/05,1069052710029032064
2017/07/06,991835156060006400
2017/07/07,916799872920005376
2017/07/08,923129825847793664
2017/07/09,761268770691617152
2017/07/10,593756892926396928
2017/07/11,928800266728926208
2017/07/12,964522951907790848
2017/07/13,948767094927884160
2017/07/14,627882575254972544
2017/07/15,859675360996385408
2017/07/16,857323972747741568
2017/07/17,862266610949357952
2017/07/18,783475148082176128
2017/07/19,819902656894502528
2017/07/20,967295163730089856
2017/07/21,950325074996847488
2017/07/22,371279540047430144
2017/07/23,521871962094403584
2017/07/24,652726352666399488
2017/07/25,636685560422339456
2017/07/26,747144564725844992
2017/07/27,736146770766127488
2017/07/28,747610342053520128
2017/07/29,722121381023219072
2017/07/30,702074046706729088
2017/07/31,526533918741508608
2017/08/01,528652065246934592
2017/08/02,369184774547662336
2017/08/03,384343041586222080
2017/08/04,412959125450789952
2017/08/05,1065505154949333376
2017/08/06,1044448703576342016
2017/08/07,1015649361517113088
2017/08/08,1042398844961168768
2017/08/09,1013153565194441472
2017/08/10,1035111351145285632
2017/08/11,1054723218688522368
2017/08/12,613969326688511360
2017/08/13,638125351652938624
2017/08/14,644629535246508160
2017/08/15,417345039710839104
2017/08/16,438571262756070208
2017/08/17,713381737653279872
2017/08/18,962269580407638656
2017/08/19,870544047434879616
2017/08/20,884349140934137088
2017/08/21,1312171363458112512
2017/08/22,1941036588755315968
2017/08/23,1990541807406772480
2017/08/24,1831795515552946432
2017/08/25,1769189056838555904
2017/08/26,1585361517149936896
2017/08/27,1334492853070428672
2017/08/28,1636833296352617216
2017/08/29,1523531965840918784
2017/08/30,1892482576673144576
2017/08/31,2105119232621031168
2017/09/01,2021329181324794880
2017/09/02,1379596361192137984
2017/09/03,1174280071256490752
2017/09/04,1229902845120373248
2017/09/05,702626469639594112
2017/09/06,992059588610434688
2017/09/07,912748719342443264
2017/09/08,916448529840160896
2017/09/09,932094195433645824
2017/09/10,640661325815569664
2017/09/11,895080933844840576
2017/09/12,933706258107861760
2017/09/13,983078394288588288
2017/09/14,1151387993548055296
2017/09/15,1180818880247619328
2017/09/16,1206085662883654400
2017/09/17,1092030219903244928
2017/09/18,670004414077614080
2017/09/19,796494740298649088
2017/09/20,951718057120387712
2017/09/21,874270740831318016
2017/09/22,1170589714733524992
2017/09/23,1139755990874616064
2017/09/24,1238074110796257792
2017/09/25,1399165059520299264
2017/09/26,1472659766511164160
2017/09/27,1284695720295366400
2017/09/28,1326112176425996032
2017/09/29,1374250629538564864
2017/09/30,1565297704227520256
2017/10/01,1837786360170211584
2017/10/02,1738988982850830336
2017/10/03,1932056813378392320
2017/10/04,1949999783365523968
2017/10/05,2346224385954497024
2017/10/06,2269933087529581056
2017/10/07,2131859131502199808
