Date,mining_profitability14rsi
2012/12/22,50.962
2012/12/23,41.724
2012/12/24,48.818
2012/12/25,46.381
2012/12/26,53.207
2012/12/27,50.065
2012/12/28,51.513
2012/12/29,49.222
2012/12/30,53.644
2012/12/31,48.315
2013/01/01,50.186
2013/01/02,50.011
2013/01/03,50.638
2013/01/04,50.366
2013/01/05,47.451
2013/01/06,51.361
2013/01/07,53.503
2013/01/08,43.954
2013/01/09,48.502
2013/01/10,51.004
2013/01/11,46.256
2013/01/12,51.203
2013/01/13,51.323
2013/01/14,52.523
2013/01/15,45.717
2013/01/16,52.408
2013/01/17,47.106
2013/01/18,53.558
2013/01/19,56.204
2013/01/20,50.902
2013/01/21,50.652
2013/01/22,56.631
2013/01/23,52.85
2013/01/24,59.734
2013/01/25,53.836
2013/01/26,59.209
2013/01/27,54.828
2013/01/28,55.068
2013/01/29,58.935
2013/01/30,57.757
2013/01/31,62.518
2013/02/01,53.253
2013/02/02,55.741
2013/02/03,61.972
2013/02/04,52.527
2013/02/05,53.129
2013/02/06,50.908
2013/02/07,55.233
2013/02/08,54.897
2013/02/09,55.691
2013/02/10,58.272
2013/02/11,55.4
2013/02/12,55.986
2013/02/13,62.323
2013/02/14,53.824
2013/02/15,61.026
2013/02/16,58.571
2013/02/17,56.985
2013/02/18,49.087
2013/02/19,54.04
2013/02/20,59.425
2013/02/21,52.055
2013/02/22,55.425
2013/02/23,52.715
2013/02/24,51.638
2013/02/25,57.36
2013/02/26,52.066
2013/02/27,54.522
2013/02/28,53.45
2013/03/01,53.289
2013/03/02,49.802
2013/03/03,52.106
2013/03/04,52.17
2013/03/05,49.296
2013/03/06,58.093
2013/03/07,61.065
2013/03/08,58.408
2013/03/09,61.478
2013/03/10,62.25
2013/03/11,56.607
2013/03/12,60.144
2013/03/13,57.698
2013/03/14,56.512
2013/03/15,50.893
2013/03/16,53.761
2013/03/17,55.734
2013/03/18,51.922
2013/03/19,54.422
2013/03/20,69.573
2013/03/21,67.405
2013/03/22,69.009
2013/03/23,65.171
2013/03/24,50.23
2013/03/25,48.017
2013/03/26,52.846
2013/03/27,55.24
2013/03/28,64.861
2013/03/29,57.11
2013/03/30,57.894
2013/03/31,59.953
2013/04/01,61.336
2013/04/02,65.333
2013/04/03,69.172
2013/04/04,68.465
2013/04/05,73.118
2013/04/06,64.19
2013/04/07,66.296
2013/04/08,69.15
2013/04/09,78.166
2013/04/10,70.924
2013/04/11,47.388
2013/04/12,45.122
2013/04/13,46.016
2013/04/14,43.38
2013/04/15,43.745
2013/04/16,40.688
2013/04/17,41.018
2013/04/18,40.569
2013/04/19,47.03
2013/04/20,50.084
2013/04/21,48.89
2013/04/22,46.452
2013/04/23,51.155
2013/04/24,53.005
2013/04/25,57.487
2013/04/26,51.145
2013/04/27,47.571
2013/04/28,53.34
