Date,difficulty90var
2013/01/23,21222329051
2013/01/24,21817534626
2013/01/25,22410092829
2013/01/26,23000003660
2013/01/27,23587267119
2013/01/28,24607139687
2013/01/29,25599206169
2013/01/30,26563466565
2013/01/31,27499920875
2013/02/01,28408569098
2013/02/02,29289411236
2013/02/03,30142447288
2013/02/04,30967677253
2013/02/05,31111434519
2013/02/06,31081383254
2013/02/07,31051125881
2013/02/08,31020662400
2013/02/09,30989992811
2013/02/10,30932045406
2013/02/11,30763760831
2013/02/12,30593326783
2013/02/13,30420743262
2013/02/14,30246010267
2013/02/15,30069127799
2013/02/16,29890095858
2013/02/17,29708914444
2013/02/18,31322430070
2013/02/19,33022805888
2013/02/20,34703512087
2013/02/21,36364548668
2013/02/22,38005915632
2013/02/23,39627612978
2013/02/24,41133087158
2013/02/25,42491100973
2013/02/26,43838006752
2013/02/27,45173804496
2013/02/28,46498494204
2013/03/01,49871076967
2013/03/02,62848452181
2013/03/03,75612745971
2013/03/04,88163958339
2013/03/05,100502089284
2013/03/06,112627138806
2013/03/07,124539106905
2013/03/08,136237993581
2013/03/09,147723798835
2013/03/10,159021271708
2013/03/11,170124767359
2013/03/12,180982486784
2013/03/13,191594429981
2013/03/14,209285751833
2013/03/15,231952848178
2013/03/16,254080955914
2013/03/17,275670075040
2013/03/18,296720205556
2013/03/19,317231347463
2013/03/20,337203500761
2013/03/21,356636665449
2013/03/22,375530841527
2013/03/23,393886028996
2013/03/24,438362135959
2013/03/25,544183755761
2013/03/26,645684681767
2013/03/27,741352955078
2013/03/28,833611335640
2013/03/29,922459823454
2013/03/30,1007898418520
2013/03/31,1089927120837
2013/04/01,1168545930405
2013/04/02,1243754847226
2013/04/03,1315553871298
2013/04/04,1383943002621
2013/04/05,1468006625051
2013/04/06,1595799220682
2013/04/07,1718152888140
2013/04/08,1838692472962
2013/04/09,1957321566010
2013/04/10,2071119322547
2013/04/11,2180085742573
2013/04/12,2284220826087
2013/04/13,2383524573089
2013/04/14,2477996983579
