Date,hashrate3sma
2019/01/04,4.2788822057537E+19
2019/01/05,4.3777048775402E+19
2019/01/06,4.3496110471495E+19
2019/01/07,4.2472074160315E+19
2019/01/08,4.1468551862536E+19
2019/01/09,4.2795361685081E+19
2019/01/10,4.4588725370388E+19
2019/01/11,4.4365919931031E+19
2019/01/12,4.3328036118431E+19
2019/01/13,4.0408754698269E+19
2019/01/14,4.017954834605E+19
2019/01/15,4.0515743940275E+19
2019/01/16,4.0925560678387E+19
2019/01/17,3.9570314742806E+19
2019/01/18,3.7989087503252E+19
2019/01/19,3.8334520379208E+19
2019/01/20,4.0948491533091E+19
2019/01/21,4.2526979172457E+19
2019/01/22,4.3225077468592E+19
2019/01/23,4.2118378420942E+19
2019/01/24,4.1952377577403E+19
2019/01/25,4.3141613955249E+19
2019/01/26,4.2505036516786E+19
2019/01/27,4.3035043252813E+19
2019/01/28,4.2076520274636E+19
2019/01/29,4.2162217135831E+19
2019/01/30,4.2105579945654E+19
2019/01/31,4.1556977782741E+19
2019/02/01,4.277516475343E+19
2019/02/02,4.3524896490444E+19
2019/02/03,4.3405342759744E+19
2019/02/04,4.2614817990586E+19
2019/02/05,4.1530135247668E+19
2019/02/06,4.3392251142407E+19
2019/02/07,4.5647330874312E+19
2019/02/08,4.8181345164151E+19
2019/02/09,4.7942968119253E+19
2019/02/10,4.5429997375631E+19
2019/02/11,4.3430994174472E+19
2019/02/12,4.2287114862285E+19
2019/02/13,4.1801650552984E+19
2019/02/14,4.322450346985E+19
2019/02/15,4.2753757127293E+19
2019/02/16,4.2619484786559E+19
2019/02/17,4.3067178936346E+19
2019/02/18,4.5692474842803E+19
2019/02/19,4.8345785061463E+19
2019/02/20,4.5429139935447E+19
2019/02/21,4.2774788799047E+19
2019/02/22,4.0702230122937E+19
2019/02/23,4.3146605180468E+19
2019/02/24,4.3592173135391E+19
2019/02/25,4.4162963509664E+19
2019/02/26,4.2944434305496E+19
2019/02/27,4.3190862016157E+19
2019/02/28,4.4532078395184E+19
2019/03/01,4.6200585450861E+19
2019/03/02,4.6846286444753E+19
2019/03/03,4.5274103410119E+19
2019/03/04,4.324409992407E+19
2019/03/05,4.2529475877172E+19
2019/03/06,4.222994988439E+19
2019/03/07,4.2014148016663E+19
2019/03/08,4.2391275113519E+19
2019/03/09,4.2366045913876E+19
2019/03/10,4.3061988466866E+19
2019/03/11,4.2031918988554E+19
2019/03/12,4.2849664489293E+19
2019/03/13,4.1841711160836E+19
2019/03/14,4.2420951460267E+19
2019/03/15,4.4368509896636E+19
2019/03/16,4.5954432613389E+19
2019/03/17,4.862383514286E+19
2019/03/18,4.6543148592843E+19
2019/03/19,4.8331493281262E+19
2019/03/20,4.815752088742E+19
2019/03/21,4.8658282603322E+19
2019/03/22,4.7464341767648E+19
2019/03/23,4.6358690196885E+19
2019/03/24,4.7827452415674E+19
2019/03/25,4.6656163341217E+19
2019/03/26,4.6930206615097E+19
2019/03/27,4.5551868896963E+19
2019/03/28,4.5717672638552E+19
2019/03/29,4.6099883539906E+19
2019/03/30,4.6724868383659E+19
2019/03/31,4.5560041334971E+19
2019/04/01,4.4753790314442E+19
2019/04/02,4.4125269084258E+19
2019/04/03,4.590257395312E+19
2019/04/04,4.5716850535486E+19
2019/04/05,4.6815398425987E+19
2019/04/06,4.6989802248991E+19
2019/04/07,4.6323626090254E+19
2019/04/08,4.5720239012404E+19
2019/04/09,4.5074681108952E+19
2019/04/10,4.5807505275211E+19
2019/04/11,4.6450136096674E+19
2019/04/12,4.7462856659792E+19
2019/04/13,4.7441126273086E+19
2019/04/14,4.5323479130265E+19
2019/04/15,4.2472862275785E+19
2019/04/16,4.3304748828255E+19
2019/04/17,4.4138598374686E+19
2019/04/18,4.5656643779987E+19
2019/04/19,4.6203619233239E+19
2019/04/20,4.6416501640635E+19
2019/04/21,4.7519039684205E+19
2019/04/22,4.6727902496387E+19
2019/04/23,4.4606009441519E+19
2019/04/24,4.3171403785815E+19
2019/04/25,4.3738200102332E+19
2019/04/26,4.6390871341514E+19
2019/04/27,4.7855533492386E+19
2019/04/28,4.6637528603628E+19
2019/04/29,4.8249854958643E+19
2019/04/30,4.8352921665487E+19
2019/05/01,5.034084562295E+19
2019/05/02,5.1368710208802E+19
2019/05/03,5.2938882898572E+19
2019/05/04,5.2093416491096E+19
2019/05/05,4.7914341450372E+19
2019/05/06,4.5757023934976E+19
2019/05/07,4.5302183582491E+19
2019/05/08,4.6932200369088E+19
2019/05/09,4.7441197999558E+19
2019/05/10,4.7261369374092E+19
2019/05/11,4.5990652635984E+19
2019/05/12,4.5795645481247E+19
2019/05/13,4.8485429957331E+19
2019/05/14,5.2195776762887E+19
2019/05/15,5.2917936407997E+19
2019/05/16,5.1549038772983E+19
2019/05/17,5.0118823254047E+19
2019/05/18,5.0086312577475E+19
2019/05/19,5.0906963126193E+19
2019/05/20,5.3381138461789E+19
2019/05/21,5.3440676648898E+19
2019/05/22,5.3206094992244E+19
2019/05/23,5.276426172144E+19
2019/05/24,5.2869247820096E+19
2019/05/25,5.2796878134559E+19
2019/05/26,5.0862238058106E+19
2019/05/27,5.2294548875925E+19
2019/05/28,5.3431240130461E+19
2019/05/29,5.525836397844E+19
2019/05/30,5.6064208082614E+19
2019/05/31,5.4694675764606E+19
2019/06/01,5.3092867900878E+19
2019/06/02,5.0713426280003E+19
2019/06/03,4.9373486236622E+19
2019/06/04,4.8887424193461E+19
2019/06/05,5.2379694089014E+19
2019/06/06,5.6434000772752E+19
2019/06/07,5.8647407778285E+19
2019/06/08,5.5676894235829E+19
2019/06/09,5.3600761625632E+19
2019/06/10,5.3818601288936E+19
2019/06/11,5.4262318711195E+19
2019/06/12,5.4032420905124E+19
2019/06/13,5.2479836612021E+19
2019/06/14,5.4180168005459E+19
2019/06/15,5.7355118927497E+19
2019/06/16,5.6609936741571E+19
2019/06/17,5.3286680892479E+19
2019/06/18,5.1128315496755E+19
2019/06/19,5.4610218131719E+19
2019/06/20,5.9077453070248E+19
2019/06/21,5.7426428127995E+19
2019/06/22,5.4267607962415E+19
2019/06/23,5.4193724650971E+19
2019/06/24,5.8892868545466E+19
2019/06/25,6.1990320284281E+19
2019/06/26,6.067610491513E+19
2019/06/27,5.9485568649013E+19
2019/06/28,5.9617177648637E+19
2019/06/29,6.3351284103801E+19
2019/06/30,6.3940945260859E+19
2019/07/01,6.3227588629688E+19
2019/07/02,5.925067819266E+19
2019/07/03,6.1140622766102E+19
2019/07/04,6.4366046606982E+19
2019/07/05,6.8803767964888E+19
2019/07/06,7.0225551699138E+19
2019/07/07,6.8874905030708E+19
2019/07/08,6.7657674793434E+19
2019/07/09,6.7669707573254E+19
2019/07/10,6.648198153145E+19
2019/07/11,6.4329284441074E+19
2019/07/12,6.2581034209753E+19
2019/07/13,6.44244539736E+19
2019/07/14,6.7153747008812E+19
2019/07/15,6.6094777845835E+19
2019/07/16,6.6857159903844E+19
2019/07/17,6.7388947710139E+19
2019/07/18,6.4401750240186E+19
2019/07/19,5.9584652182843E+19
2019/07/20,5.9632250652798E+19
2019/07/21,6.5898840412144E+19
2019/07/22,7.1683727407303E+19
2019/07/23,6.8165152011401E+19
2019/07/24,6.6020786478433E+19
2019/07/25,6.3441422567524E+19
2019/07/26,6.7172291410035E+19
2019/07/27,6.9303246447086E+19
2019/07/28,7.2276640514572E+19
2019/07/29,7.5206985916015E+19
2019/07/30,7.2435625822809E+19
2019/07/31,7.0992399585282E+19
2019/08/01,7.034117731072E+19
2019/08/02,7.1107188046795E+19
2019/08/03,7.3680703556318E+19
2019/08/04,7.3603101207835E+19
2019/08/05,7.7413728752297E+19
2019/08/06,7.735185364603E+19
2019/08/07,7.8497747414268E+19
2019/08/08,7.4591101170487E+19
2019/08/09,7.3772784045576E+19
2019/08/10,7.123188085072E+19
2019/08/11,7.5029248849969E+19
2019/08/12,7.5133353702521E+19
2019/08/13,7.487634552616E+19
2019/08/14,7.2938788185916E+19
2019/08/15,7.4592044746282E+19
2019/08/16,7.5955158500074E+19
2019/08/17,7.3965404224669E+19
2019/08/18,6.9634373895226E+19
2019/08/19,6.9336133071844E+19
2019/08/20,7.3366489778384E+19
2019/08/21,7.5513611468649E+19
2019/08/22,7.3446946669369E+19
2019/08/23,7.1951146540879E+19
2019/08/24,7.4639770907262E+19
2019/08/25,7.7771488516105E+19
2019/08/26,7.7994187395882E+19
2019/08/27,7.4313103744241E+19
2019/08/28,7.2788477057621E+19
2019/08/29,7.4310313173155E+19
2019/08/30,7.8532765205018E+19
2019/08/31,8.0758880123202E+19
2019/09/01,8.2825664706694E+19
2019/09/02,8.1136509144997E+19
2019/09/03,8.2506368726642E+19
2019/09/04,7.9976054707417E+19
2019/09/05,8.2629866195012E+19
2019/09/06,8.3387346898625E+19
2019/09/07,8.3135746847866E+19
2019/09/08,8.4757749888196E+19
2019/09/09,8.5672721995598E+19
2019/09/10,8.8894676688486E+19
2019/09/11,9.0754090102919E+19
2019/09/12,9.2059542766131E+19
2019/09/13,9.1671109248091E+19
2019/09/14,8.9847249220723E+19
2019/09/15,8.701615248484E+19
2019/09/16,9.1218689213787E+19
2019/09/17,9.1273665274275E+19
2019/09/18,9.4290263302636E+19
2019/09/19,9.3095078282338E+19
2019/09/20,9.3582610935587E+19
2019/09/21,9.3044709679556E+19
2019/09/22,9.3061919876062E+19
2019/09/23,9.0246449469033E+19
2019/09/24,8.6113582639623E+19
2019/09/25,8.5918945334866E+19
2019/09/26,9.2295541281054E+19
2019/09/27,9.7895514328382E+19
2019/09/28,9.6666695102411E+19
2019/09/29,9.2763683478546E+19
2019/09/30,8.9479029095649E+19
2019/10/01,8.7989123901349E+19
2019/10/02,8.9496792884938E+19
2019/10/03,9.126100683091E+19
2019/10/04,9.267589483062E+19
2019/10/05,9.5236866030732E+19
2019/10/06,9.5762562452367E+19
2019/10/07,9.7930351314549E+19
2019/10/08,9.7800324837141E+19
2019/10/09,9.8350340132084E+19
2019/10/10,9.6934263936508E+19
2019/10/11,9.9617026045937E+19
2019/10/12,9.8373499129678E+19
2019/10/13,9.8756301801785E+19
2019/10/14,9.0346000395273E+19
2019/10/15,9.1000238871239E+19
2019/10/16,8.9666548939698E+19
2019/10/17,9.4190788646323E+19
2019/10/18,9.7170872241553E+19
2019/10/19,9.9187256403593E+19
2019/10/20,9.5740032681862E+19
2019/10/21,9.5303882521604E+19
2019/10/22,9.9199842658442E+19
2019/10/23,1.0669058126805E+20
2019/10/24,1.0868101577429E+20
2019/10/25,1.017202072015E+20
2019/10/26,9.7321406015667E+19
2019/10/27,8.9375330414089E+19
2019/10/28,8.9154572137399E+19
2019/10/29,8.7920677152963E+19
2019/10/30,8.9791644182775E+19
2019/10/31,9.3433900940649E+19
2019/11/01,9.0237330028513E+19
2019/11/02,9.1410348131631E+19
2019/11/03,8.9286259531592E+19
2019/11/04,9.1328727756875E+19
2019/11/05,9.1678925516194E+19
2019/11/06,9.3145242857706E+19
2019/11/07,9.3693058076142E+19
2019/11/08,9.0953889976333E+19
2019/11/09,8.6497600946678E+19
2019/11/10,8.8534631803732E+19
2019/11/11,9.3989115473381E+19
2019/11/12,9.9073200481583E+19
2019/11/13,9.2527827918627E+19
2019/11/14,9.241788845787E+19
2019/11/15,9.5490355849586E+19
2019/11/16,1.0060073120763E+20
2019/11/17,9.7474974178978E+19
2019/11/18,9.6226467678512E+19
2019/11/19,9.2650316988981E+19
2019/11/20,9.3620676885796E+19
2019/11/21,8.8186473536069E+19
2019/11/22,8.8376466864228E+19
2019/11/23,9.2110160074073E+19
2019/11/24,9.5218609668802E+19
2019/11/25,9.590481894026E+19
2019/11/26,8.5224441708633E+19
