Date,transactionvalueUSD
2014/01/05,13784
2014/01/06,13829
2014/01/07,12847
2014/01/08,10509
2014/01/09,8291
2014/01/10,8566
2014/01/11,6528
2014/01/12,7062
2014/01/13,8093
2014/01/14,10812
2014/01/15,8200
2014/01/16,8849
2014/01/17,5937
2014/01/18,5569
2014/01/19,9805
2014/01/20,10397
2014/01/21,7158
2014/01/22,6206
2014/01/23,6562
2014/01/24,9157
2014/01/25,7002
2014/01/26,6214
2014/01/27,11137
2014/01/28,7571
2014/01/29,6386
2014/01/30,6873
2014/01/31,5448
2014/02/01,6809
2014/02/02,7529
2014/02/03,6863
2014/02/04,9271
2014/02/05,9515
2014/02/06,7295
2014/02/07,9076
2014/02/08,6215
2014/02/09,6124
2014/02/10,7998
2014/02/11,7071
2014/02/12,6459
2014/02/13,5916
2014/02/14,5922
2014/02/15,10455
