Date,sentinusd3stdUSD
2012/11/14,7155973
2012/11/15,17076468
2012/11/16,22868032
2012/11/17,11403542
2012/11/18,14843944
2012/11/19,12275827
2012/11/20,6861640
2012/11/21,6177486
2012/11/22,6563532
2012/11/23,5284050
2012/11/24,3008604
2012/11/25,4307083
2012/11/26,4218450
2012/11/27,6179159
2012/11/28,7215026
2012/11/29,6486609
2012/11/30,10328587
2012/12/01,5779643
2012/12/02,4134106
2012/12/03,11348975
2012/12/04,15915479
2012/12/05,13480969
2012/12/06,8790162
2012/12/07,12644892
2012/12/08,23904399
2012/12/09,11573336
2012/12/10,4904305
2012/12/11,6349036
2012/12/12,29723965
2012/12/13,27594543
2012/12/14,10549583
2012/12/15,24560501
2012/12/16,15623563
2012/12/17,1315795
2012/12/18,6962957
2012/12/19,13261722
2012/12/20,16628315
2012/12/21,8518382
2012/12/22,8242458
2012/12/23,8768518
2012/12/24,5492923
2012/12/25,4777070
2012/12/26,5349141
2012/12/27,2153506
2012/12/28,4665083
2012/12/29,3042508
2012/12/30,3120189
2012/12/31,4791837
2013/01/01,7563646
2013/01/02,6814308
2013/01/03,4112139
2013/01/04,7145188
2013/01/05,7192534
2013/01/06,13975531
2013/01/07,10986761
2013/01/08,11613709
2013/01/09,7499717
2013/01/10,8438218
2013/01/11,4409682
2013/01/12,4982948
2013/01/13,5391884
2013/01/14,2892088
2013/01/15,13912072
2013/01/16,13829201
2013/01/17,4146120
2013/01/18,5672680
2013/01/19,3164560
2013/01/20,6353781
2013/01/21,4964661
2013/01/22,5179972
2013/01/23,19009500
2013/01/24,15221964
2013/01/25,14120432
2013/01/26,2658175
2013/01/27,2761936
2013/01/28,5268943
2013/01/29,15538921
2013/01/30,11997819
2013/01/31,11062565
2013/02/01,4558139
2013/02/02,8885788
2013/02/03,9893851
2013/02/04,5343468
2013/02/05,11265405
2013/02/06,7186844
2013/02/07,3070369
2013/02/08,9310141
2013/02/09,9352405
2013/02/10,12564296
2013/02/11,6175285
2013/02/12,2207439
2013/02/13,3295002
2013/02/14,8670345
