Date,sentinusd7momUSD
2013/05/12,-6157071
2013/05/13,-9481028
2013/05/14,-22651111
2013/05/15,-14435874
2013/05/16,2590010
2013/05/17,-2093072
2013/05/18,2462647
2013/05/19,-7788855
2013/05/20,-18826878
2013/05/21,-3312471
2013/05/22,11276395
2013/05/23,9778766
2013/05/24,11660329
2013/05/25,14835031
2013/05/26,2094598
2013/05/27,19895661
2013/05/28,10167514
2013/05/29,8083703
2013/05/30,-1245044
2013/05/31,-11487498
2013/06/01,-26469579
2013/06/02,1473342
2013/06/03,8213972
2013/06/04,-9441284
2013/06/05,-10804935
2013/06/06,10065387
2013/06/07,-4852572
2013/06/08,-15934701
2013/06/09,20669185
2013/06/10,-35885455
2013/06/11,-11757760
2013/06/12,-18454806
2013/06/13,-22408199
2013/06/14,-205576
2013/06/15,-558156
2013/06/16,-20393721
2013/06/17,7203794
2013/06/18,3717090
2013/06/19,863523
2013/06/20,11164105
2013/06/21,-2288648
2013/06/22,2039386
2013/06/23,-16402872
2013/06/24,735523
2013/06/25,3768566
2013/06/26,-128127
2013/06/27,-22485288
2013/06/28,-11430624
2013/06/29,1901820
2013/06/30,3058397
2013/07/01,13709152
2013/07/02,-8350818
2013/07/03,7240285
2013/07/04,15415320
2013/07/05,11330070
2013/07/06,1356797
2013/07/07,9310927
2013/07/08,-10605587
2013/07/09,22326979
2013/07/10,14559772
2013/07/11,17242020
2013/07/12,15492053
2013/07/13,29575895
2013/07/14,3621928
2013/07/15,-220143
2013/07/16,186082
2013/07/17,9351963
2013/07/18,-1210655
2013/07/19,-18820583
2013/07/20,-34866510
2013/07/21,-7783120
2013/07/22,12480651
2013/07/23,-2164733
2013/07/24,-15157342
2013/07/25,-13983825
2013/07/26,314709
2013/07/27,-401009
2013/07/28,12042531
2013/07/29,-6139342
2013/07/30,11873036
2013/07/31,4411620
2013/08/01,39275243
2013/08/02,16212183
2013/08/03,21120043
2013/08/04,-6048051
2013/08/05,10395282
2013/08/06,-20821774
2013/08/07,-3944562
2013/08/08,-41610461
2013/08/09,-26507936
2013/08/10,-14581607
2013/08/11,-8011338
2013/08/12,-1281097
2013/08/13,49090247
2013/08/14,50713231
2013/08/15,8790745
2013/08/16,44924735
2013/08/17,43946724
2013/08/18,35721908
2013/08/19,26287062
2013/08/20,-26283241
2013/08/21,4779105
2013/08/22,9572198
2013/08/23,-16262336
2013/08/24,-33423999
2013/08/25,-17981105
2013/08/26,-29926890
2013/08/27,2181252
2013/08/28,-47139612
2013/08/29,-7746283
2013/08/30,9423784
2013/08/31,21839098
2013/09/01,12972679
2013/09/02,7187957
2013/09/03,7053262
2013/09/04,14532298
2013/09/05,8706489
