Date,hashrate3wma
2017/08/04,6506272108211421184
2017/08/05,7207962234035036160
2017/08/06,6992255551588885504
2017/08/07,6745933611405549568
2017/08/08,6824537537432235008
2017/08/09,6681004471085362176
2017/08/10,6401820176879506432
2017/08/11,6356016794987531264
2017/08/12,6239947990352232448
2017/08/13,6479212883400215552
2017/08/14,6442226608292948992
2017/08/15,6549719859375567872
2017/08/16,6371367354927808512
2017/08/17,6806648763059956736
2017/08/18,7195390941159280640
2017/08/19,7241271622225821696
2017/08/20,6897553910102555648
2017/08/21,6072886023515045888
2017/08/22,5208606007040960512
2017/08/23,5313289710350050304
2017/08/24,5714682602169416704
2017/08/25,5230865122084754432
2017/08/26,4692161985302131712
2017/08/27,5170421997354033152
2017/08/28,5989997153486145536
2017/08/29,6091942912437199872
2017/08/30,6616740068946418688
2017/08/31,6899585344126137344
2017/09/01,7340962185216283648
2017/09/02,7545129187432005632
2017/09/03,7222260565462848512
2017/09/04,7401082888555364352
2017/09/05,7591995547954656256
2017/09/06,8115525366690571264
2017/09/07,8047807508820726784
2017/09/08,7980786525305203712
2017/09/09,7945657946876420096
2017/09/10,7648223894284106752
2017/09/11,7265343485676203008
2017/09/12,7615509447296139264
2017/09/13,8171354005218754560
2017/09/14,8560266012160529408
2017/09/15,8490951731021032448
2017/09/16,8051945291493146624
2017/09/17,7925432111386627072
2017/09/18,7943698981137480704
2017/09/19,7796842210769253376
2017/09/20,7424541637685400576
2017/09/21,7887815565164961792
2017/09/22,8538901070658945024
2017/09/23,8466997692547320832
2017/09/24,8574535624521012224
2017/09/25,7880755461854622720
2017/09/26,7508132260916612096
2017/09/27,7672041354434585600
2017/09/28,8261904909767945216
2017/09/29,8830995862881326080
2017/09/30,9146008009500789760
2017/10/01,8040169359899336704
2017/10/02,7684264251049877504
2017/10/03,8650200103356036096
2017/10/04,9196159837651825664
2017/10/05,8135037134948363264
2017/10/06,7872101567533350912
2017/10/07,8088353528320758784
2017/10/08,9102190176225705984
2017/10/09,9.4391470411254E+18
2017/10/10,9.4434265456504E+18
2017/10/11,8606087563441540096
2017/10/12,8542159910775073792
2017/10/13,7903342673429441536
2017/10/14,8084723342809230336
2017/10/15,8993957259502177280
2017/10/16,1.0166026168565E+19
2017/10/17,1.0320329991318E+19
2017/10/18,9.8606532121646E+18
2017/10/19,9.5309246057674E+18
2017/10/20,1.0448988035352E+19
2017/10/21,1.0062661527045E+19
2017/10/22,1.0181946402495E+19
2017/10/23,1.0093672100014E+19
2017/10/24,1.0292751218123E+19
2017/10/25,1.0227469747051E+19
2017/10/26,1.1127847749291E+19
2017/10/27,1.0446640895236E+19
2017/10/28,8879232641243409408
2017/10/29,8257987074125573120
2017/10/30,9.2740334325123E+18
2017/10/31,1.0433464304954E+19
2017/11/01,1.0263636024969E+19
2017/11/02,1.0810060664793E+19
2017/11/03,1.0374954644419E+19
2017/11/04,9.4689719487492E+18
2017/11/05,9.7424434792233E+18
2017/11/06,1.018862753532E+19
2017/11/07,1.019242256857E+19
2017/11/08,1.0622611145476E+19
2017/11/09,1.0585532173231E+19
2017/11/10,1.039488480202E+19
2017/11/11,8538267521818258432
2017/11/12,6409160428640854016
2017/11/13,6756446182520954880
2017/11/14,8094352523667653632
2017/11/15,9034840421234054144
2017/11/16,9.741582981863E+18
2017/11/17,1.0578272295273E+19
2017/11/18,1.0349906296338E+19
2017/11/19,1.0442646250225E+19
2017/11/20,1.0530575434735E+19
2017/11/21,1.1385059693215E+19
2017/11/22,1.1516266179994E+19
2017/11/23,1.0782077285275E+19
2017/11/24,1.0563821169142E+19
2017/11/25,1.0366062508264E+19
2017/11/26,1.0340458927154E+19
2017/11/27,1.0529450999007E+19
2017/11/28,1.0756464175158E+19
2017/11/29,1.1101584186681E+19
2017/11/30,1.1262744408697E+19
2017/12/01,1.1415816218844E+19
2017/12/02,1.1664517389598E+19
2017/12/03,1.1404103132712E+19
2017/12/04,1.1793234655644E+19
2017/12/05,1.1896355634257E+19
2017/12/06,1.2693458271072E+19
2017/12/07,1.294111802221E+19
2017/12/08,1.2666854617146E+19
2017/12/09,1.2732819483927E+19
2017/12/10,1.3235680109567E+19
2017/12/11,1.3404527777975E+19
2017/12/12,1.3289111287912E+19
2017/12/13,1.317452393098E+19
2017/12/14,1.4013784218854E+19
2017/12/15,1.426361720541E+19
2017/12/16,1.3801561850144E+19
2017/12/17,1.3954657163048E+19
2017/12/18,1.4650323644256E+19
2017/12/19,1.5058825382804E+19
2017/12/20,1.4342358163682E+19
2017/12/21,1.3306589695012E+19
2017/12/22,1.2964381089094E+19
2017/12/23,1.3352118416193E+19
2017/12/24,1.3612131796677E+19
2017/12/25,1.3568154211905E+19
2017/12/26,1.3132852435846E+19
2017/12/27,1.3638281760024E+19
2017/12/28,1.4016515866028E+19
2017/12/29,1.4294893547321E+19
2017/12/30,1.4314324063462E+19
2017/12/31,1.4749572498733E+19
2018/01/01,1.4969357414983E+19
2018/01/02,1.5523644861712E+19
2018/01/03,1.5273056379881E+19
2018/01/04,1.584192053959E+19
2018/01/05,1.5472890192595E+19
2018/01/06,1.52193591702E+19
2018/01/07,1.5403192742295E+19
2018/01/08,1.5551520791173E+19
2018/01/09,1.576982060887E+19
2018/01/10,1.613982878547E+19
2018/01/11,1.6589593847463E+19
2018/01/12,1.7258548115212E+19
2018/01/13,1.7671657881695E+19
2018/01/14,1.7296590463721E+19
2018/01/15,1.6659008566103E+19
2018/01/16,1.6701264875619E+19
2018/01/17,1.8083487738475E+19
2018/01/18,1.8633525173933E+19
2018/01/19,1.8047022095805E+19
2018/01/20,1.9199405550721E+19
2018/01/21,1.9811162942771E+19
2018/01/22,1.9957019720549E+19
2018/01/23,1.9914552088019E+19
2018/01/24,1.9302202967214E+19
2018/01/25,2.0219130316762E+19
2018/01/26,1.990857170957E+19
2018/01/27,2.0327489557715E+19
2018/01/28,1.9588002146282E+19
2018/01/29,1.9751484150288E+19
2018/01/30,2.0688074346578E+19
2018/01/31,1.9618847108314E+19
2018/02/01,1.8458486760396E+19
2018/02/02,1.979074277258E+19
2018/02/03,2.0760218757709E+19
2018/02/04,2.1179766061804E+19
2018/02/05,2.2784269047303E+19
2018/02/06,2.3287370197511E+19
2018/02/07,2.2115935005114E+19
2018/02/08,2.1243772793795E+19
2018/02/09,1.9619606011724E+19
2018/02/10,1.9128590186833E+19
2018/02/11,2.0789956125367E+19
