Date,transactions30roc
2012/04/27,-0.409
2012/04/28,-1.383
2012/04/29,13.126
2012/04/30,53.338
2012/05/01,85.169
2012/05/02,54.626
2012/05/03,82.027
2012/05/04,98.929
2012/05/05,85.661
2012/05/06,67.393
2012/05/07,203.764
2012/05/08,204.302
2012/05/09,163.931
2012/05/10,40.043
2012/05/11,145.147
2012/05/12,122.933
2012/05/13,111
2012/05/14,257.632
2012/05/15,204.309
2012/05/16,113.089
2012/05/17,119.283
2012/05/18,188
2012/05/19,355.314
2012/05/20,285.217
2012/05/21,346.687
2012/05/22,276.006
2012/05/23,291.764
2012/05/24,251.821
2012/05/25,288.668
2012/05/26,132.673
2012/05/27,272.351
2012/05/28,308.88
2012/05/29,293.245
2012/05/30,175.601
2012/05/31,107.96
2012/06/01,173.881
2012/06/02,-8.704
2012/06/03,139.994
2012/06/04,256.816
2012/06/05,302.485
2012/06/06,-12.685
2012/06/07,88.474
2012/06/08,39.095
2012/06/09,182.151
2012/06/10,114.373
2012/06/11,77.992
2012/06/12,23.909
2012/06/13,100.794
2012/06/14,179.493
2012/06/15,205.324
2012/06/16,156.412
2012/06/17,79.754
2012/06/18,10.328
2012/06/19,14.345
2012/06/20,1.979
2012/06/21,14.042
2012/06/22,-14.193
2012/06/23,-16.343
2012/06/24,-22.914
2012/06/25,23.434
2012/06/26,14.448
2012/06/27,3.247
2012/06/28,-11.132
2012/06/29,-10.68
2012/06/30,7.717
2012/07/01,-28.915
2012/07/02,97.745
2012/07/03,-32.71
2012/07/04,-49.732
2012/07/05,-51.378
2012/07/06,50.539
2012/07/07,-23.031
2012/07/08,-13.091
2012/07/09,-24.067
2012/07/10,-13.87
2012/07/11,-3.936
2012/07/12,33.538
2012/07/13,-56.936
2012/07/14,-63.378
2012/07/15,-52.204
2012/07/16,-27.587
2012/07/17,-19.925
2012/07/18,-16.616
2012/07/19,-13.723
2012/07/20,14.158
2012/07/21,29.295
2012/07/22,48.141
2012/07/23,47.057
2012/07/24,26.715
2012/07/25,-4.874
2012/07/26,1.502
2012/07/27,-12.161
2012/07/28,32.943
2012/07/29,50.97
2012/07/30,52.179
2012/07/31,116.249
2012/08/01,21.64
2012/08/02,46.825
2012/08/03,20.005
2012/08/04,34.211
2012/08/05,39.489
2012/08/06,38.552
2012/08/07,42.589
2012/08/08,60.226
2012/08/09,-14.767
2012/08/10,-9.31
2012/08/11,36.509
2012/08/12,41.34
2012/08/13,115.292
2012/08/14,31.078
2012/08/15,69.08
2012/08/16,32.242
2012/08/17,24.614
2012/08/18,19.777
2012/08/19,0.336
2012/08/20,3.515
2012/08/21,21.717
2012/08/22,15.852
2012/08/23,12.213
2012/08/24,18.257
2012/08/25,9.048
2012/08/26,8.763
2012/08/27,-6.061
2012/08/28,-13.492
2012/08/29,-0.52
2012/08/30,-18.409
2012/08/31,33.154
2012/09/01,22.898
2012/09/02,21.023
2012/09/03,31.978
2012/09/04,20.061
2012/09/05,16.151
2012/09/06,44.771
2012/09/07,-16.717
2012/09/08,4.219
2012/09/09,10.936
2012/09/10,1.55
2012/09/11,10.45
2012/09/12,-42.64
2012/09/13,-15.878
2012/09/14,-31.904
2012/09/15,-41.489
2012/09/16,-30.092
2012/09/17,-34.403
2012/09/18,-11.191
2012/09/19,-10.019
2012/09/20,-26.306
2012/09/21,-19.99
2012/09/22,-30.948
2012/09/23,-13.341
2012/09/24,-12.804
2012/09/25,-18.074
2012/09/26,-2.058
2012/09/27,-5.056
2012/09/28,-4.204
2012/09/29,-29.431
2012/09/30,-49.34
2012/10/01,-39.438
2012/10/02,-2.07
2012/10/03,-30.317
2012/10/04,-18.368
2012/10/05,-11.525
2012/10/06,-23.703
2012/10/07,3.86
2012/10/08,22.576
2012/10/09,12.787
2012/10/10,-7.183
2012/10/11,-27.663
2012/10/12,2.158
2012/10/13,14.006
2012/10/14,-24.11
2012/10/15,13.743
2012/10/16,21.675
2012/10/17,30.451
2012/10/18,-13.946
2012/10/19,-21.415
2012/10/20,-2.718
2012/10/21,34.774
2012/10/22,96.72
2012/10/23,14.583
2012/10/24,10.314
2012/10/25,11.719
2012/10/26,-32.569
2012/10/27,-42.745
2012/10/28,-45.419
2012/10/29,-10.418
2012/10/30,49.222
2012/10/31,12.258
2012/11/01,-28.202
2012/11/02,8.709
2012/11/03,-26.878
2012/11/04,-33.36
2012/11/05,-1.516
2012/11/06,-7.948
2012/11/07,-4.496
2012/11/08,-8.63
2012/11/09,-19.539
2012/11/10,-2.109
2012/11/11,-17.993
2012/11/12,-27.84
2012/11/13,-1.085
2012/11/14,-3.474
2012/11/15,8.988
2012/11/16,24.091
2012/11/17,15.295
2012/11/18,34.785
2012/11/19,21.44
2012/11/20,-9.739
2012/11/21,-9.496
2012/11/22,-3.589
2012/11/23,0.475
2012/11/24,10.099
2012/11/25,68.137
2012/11/26,121.471
2012/11/27,54.413
2012/11/28,73.761
2012/11/29,21.739
2012/11/30,7.323
2012/12/01,41.802
2012/12/02,-29.064
2012/12/03,-9.435
2012/12/04,33.532
2012/12/05,4.99
2012/12/06,16.248
2012/12/07,-11.858
2012/12/08,2.402
2012/12/09,27.706
2012/12/10,33.796
2012/12/11,56.506
2012/12/12,53.994
2012/12/13,57.03
2012/12/14,30.748
2012/12/15,-13.929
2012/12/16,-10.015
2012/12/17,26.261
2012/12/18,46.181
2012/12/19,21.334
2012/12/20,-2.438
2012/12/21,14.237
2012/12/22,66.163
2012/12/23,13.771
2012/12/24,21.686
2012/12/25,-21.785
2012/12/26,1.933
2012/12/27,58.751
2012/12/28,26.567
2012/12/29,1.903
2012/12/30,52.806
2012/12/31,-10.26
2013/01/01,55.08
2013/01/02,82.596
2013/01/03,30.713
2013/01/04,44.06
2013/01/05,6.56
2013/01/06,2.702
2013/01/07,21.443
2013/01/08,20.537
2013/01/09,19.353
2013/01/10,43.011
2013/01/11,43.78
2013/01/12,7.467
2013/01/13,26.73
2013/01/14,37.688
2013/01/15,26.965
2013/01/16,30.783
2013/01/17,-3.417
2013/01/18,9.849
2013/01/19,56.399
2013/01/20,-7.228
2013/01/21,-21.125
2013/01/22,19.095
2013/01/23,29.387
2013/01/24,60.96
2013/01/25,32.779
2013/01/26,19.663
2013/01/27,17.739
2013/01/28,37.052
2013/01/29,13.834
2013/01/30,37.317
2013/01/31,62.097
2013/02/01,50.802
2013/02/02,28.863
2013/02/03,25.894
2013/02/04,38.996
2013/02/05,61.957
2013/02/06,5.705
2013/02/07,58.694
2013/02/08,41.129
2013/02/09,9.954
2013/02/10,6.935
2013/02/11,26.095
2013/02/12,18.464
2013/02/13,32.691
2013/02/14,13.087
2013/02/15,3.682
2013/02/16,6.783
2013/02/17,0.875
2013/02/18,-10.36
2013/02/19,31.811
2013/02/20,47.746
2013/02/21,27.821
2013/02/22,33.187
2013/02/23,25.306
2013/02/24,17.848
2013/02/25,28.213
2013/02/26,14.495
2013/02/27,16.764
2013/02/28,21.938
2013/03/01,56.779
2013/03/02,8.243
2013/03/03,-8.335
2013/03/04,17.589
2013/03/05,-6.968
2013/03/06,14.157
2013/03/07,25.082
2013/03/08,31.333
2013/03/09,-9.341
2013/03/10,21.213
2013/03/11,2.635
2013/03/12,-14.095
2013/03/13,-1.57
2013/03/14,-0.894
2013/03/15,6.254
2013/03/16,-33.017
2013/03/17,-36.65
2013/03/18,-15.512
2013/03/19,-7.096
2013/03/20,-8.261
2013/03/21,1.814
2013/03/22,1.343
2013/03/23,-5.459
2013/03/24,-17.508
2013/03/25,-15.372
2013/03/26,-14.205
2013/03/27,-20.711
2013/03/28,-3.897
2013/03/29,2.187
2013/03/30,-6.094
2013/03/31,-31.943
2013/04/01,-5.582
2013/04/02,16.201
2013/04/03,-0.155
2013/04/04,17.644
2013/04/05,-2.22
2013/04/06,-22.602
2013/04/07,13.789
2013/04/08,11.102
2013/04/09,-9.31
2013/04/10,7.721
2013/04/11,41.155
2013/04/12,3.509
2013/04/13,-7.842
2013/04/14,-11.638
2013/04/15,59.744
2013/04/16,92.402
2013/04/17,30.581
2013/04/18,1.189
2013/04/19,28.929
2013/04/20,-13.005
2013/04/21,-27.018
2013/04/22,-10.733
2013/04/23,20.244
2013/04/24,32.779
2013/04/25,27.569
2013/04/26,3.8
2013/04/27,-27.274
2013/04/28,-32.831
2013/04/29,-12.573
2013/04/30,8.291
2013/05/01,4.953
2013/05/02,-12.362
2013/05/03,-19.589
2013/05/04,-24.927
2013/05/05,-18.048
2013/05/06,3.14
2013/05/07,-10.745
2013/05/08,-18.287
2013/05/09,-0.289
2013/05/10,6.31
2013/05/11,7.287
2013/05/12,11.523
2013/05/13,14.009
2013/05/14,19.881
