Date,sentinusd30emaUSD
2012/06/06,13553611
2012/06/07,14387132
2012/06/08,15419462
2012/06/09,14908372
2012/06/10,15097877
2012/06/11,15190324
2012/06/12,15130423
2012/06/13,15050101
2012/06/14,15913688
2012/06/15,16254289
2012/06/16,16803298
2012/06/17,16272211
2012/06/18,16214751
2012/06/19,16022579
2012/06/20,15687679
2012/06/21,15099828
2012/06/22,15072589
2012/06/23,15341867
2012/06/24,15114032
2012/06/25,14861940
2012/06/26,14590775
2012/06/27,14465084
2012/06/28,14995790
2012/06/29,15086937
2012/06/30,14690607
2012/07/01,14301266
2012/07/02,13856498
2012/07/03,13552171
2012/07/04,13610143
2012/07/05,13568720
2012/07/06,13263259
2012/07/07,14177714
2012/07/08,13600439
2012/07/09,13649290
2012/07/10,13740485
2012/07/11,13366898
2012/07/12,13130070
2012/07/13,13461841
2012/07/14,13771266
2012/07/15,13513344
2012/07/16,13713618
2012/07/17,14204072
2012/07/18,14175203
2012/07/19,13918537
2012/07/20,13905679
2012/07/21,14313326
2012/07/22,14301163
2012/07/23,14525972
2012/07/24,14516160
2012/07/25,14118443
2012/07/26,14479058
2012/07/27,14758606
2012/07/28,14769895
2012/07/29,14412475
2012/07/30,13996037
2012/07/31,14832085
2012/08/01,15210600
2012/08/02,15336870
2012/08/03,15291318
2012/08/04,15234729
2012/08/05,15586558
2012/08/06,15919475
2012/08/07,16229926
2012/08/08,16308231
2012/08/09,16231453
2012/08/10,16350327
2012/08/11,16394199
2012/08/12,16471852
2012/08/13,16775219
2012/08/14,16816080
2012/08/15,17116504
2012/08/16,17722801
2012/08/17,18727391
2012/08/18,19101010
2012/08/19,21574340
2012/08/20,25739895
2012/08/21,27555010
2012/08/22,30653920
2012/08/23,33505599
2012/08/24,38687594
2012/08/25,39142505
2012/08/26,38834330
2012/08/27,40655425
2012/08/28,42776543
2012/08/29,50317002
2012/08/30,55067492
2012/08/31,57531784
2012/09/01,59437041
2012/09/02,59439347
2012/09/03,58036078
2012/09/04,58602453
2012/09/05,61140028
2012/09/06,72781705
2012/09/07,81212561
2012/09/08,81332363
2012/09/09,78806888
2012/09/10,87183125
2012/09/11,96171124
2012/09/12,97853358
2012/09/13,107951764
2012/09/14,114387919
2012/09/15,112208834
2012/09/16,115579555
2012/09/17,118074359
2012/09/18,120508309
2012/09/19,137733285
2012/09/20,141546492
2012/09/21,153021199
2012/09/22,154818609
2012/09/23,150907840
2012/09/24,147444614
2012/09/25,139251092
2012/09/26,131559644
2012/09/27,124103075
2012/09/28,118101181
2012/09/29,111465568
2012/09/30,105356891
2012/10/01,99795913
2012/10/02,94918810
2012/10/03,89784859
2012/10/04,84930123
2012/10/05,81567021
2012/10/06,77858377
2012/10/07,74181054
2012/10/08,70672234
2012/10/09,67089698
2012/10/10,63378986
2012/10/11,60201114
2012/10/12,58299725
