Date,size30rsi
2012/08/03,48.636
2012/08/04,49.67
2012/08/05,51.647
2012/08/06,52.095
2012/08/07,48.379
2012/08/08,51.616
2012/08/09,49.085
2012/08/10,48.729
2012/08/11,49.228
2012/08/12,50.465
2012/08/13,54.727
2012/08/14,50.941
2012/08/15,55.718
2012/08/16,53.927
2012/08/17,53.729
2012/08/18,50.99
2012/08/19,50.937
2012/08/20,50.026
2012/08/21,50.812
2012/08/22,50.959
2012/08/23,48.384
2012/08/24,49.577
2012/08/25,50.83
2012/08/26,47.506
2012/08/27,50.451
2012/08/28,49.223
2012/08/29,49.032
2012/08/30,50.119
2012/08/31,52.996
2012/09/01,51.366
2012/09/02,49.439
2012/09/03,51.292
2012/09/04,52.584
2012/09/05,50.682
2012/09/06,51.219
2012/09/07,48.917
2012/09/08,49.896
2012/09/09,48.681
2012/09/10,50.281
2012/09/11,52.067
2012/09/12,48.375
2012/09/13,50.759
2012/09/14,50.74
2012/09/15,48.709
2012/09/16,48.692
2012/09/17,46.89
2012/09/18,49.318
2012/09/19,50.906
2012/09/20,49.275
2012/09/21,48.868
2012/09/22,47.865
2012/09/23,48.877
2012/09/24,49.467
2012/09/25,47.737
2012/09/26,51.574
2012/09/27,48.651
2012/09/28,50.427
2012/09/29,47.613
2012/09/30,47.195
2012/10/01,50.76
2012/10/02,51.756
2012/10/03,51.473
2012/10/04,53.38
2012/10/05,53.068
2012/10/06,50.966
2012/10/07,54.241
2012/10/08,50.454
2012/10/09,52.333
2012/10/10,50.188
2012/10/11,49.744
2012/10/12,49.578
2012/10/13,51.046
2012/10/14,50.969
2012/10/15,49.115
2012/10/16,51.222
2012/10/17,52.025
2012/10/18,49.707
2012/10/19,49.913
2012/10/20,49.775
2012/10/21,52.398
2012/10/22,52.994
2012/10/23,53.141
2012/10/24,49.756
2012/10/25,49.494
2012/10/26,46.286
2012/10/27,44.144
2012/10/28,45.046
2012/10/29,47.592
2012/10/30,50.595
2012/10/31,50.034
2012/11/01,48.664
2012/11/02,50.113
2012/11/03,48.003
2012/11/04,47.884
2012/11/05,50.706
2012/11/06,52.164
2012/11/07,51.849
2012/11/08,50.873
2012/11/09,48.162
2012/11/10,49.643
2012/11/11,47.515
2012/11/12,49.091
2012/11/13,49.59
2012/11/14,50.344
2012/11/15,53.701
2012/11/16,54.078
2012/11/17,53.432
2012/11/18,51.597
2012/11/19,52.617
2012/11/20,52.406
2012/11/21,53.599
2012/11/22,50.454
2012/11/23,50.536
2012/11/24,49.176
2012/11/25,52.939
2012/11/26,51.464
2012/11/27,48.927
2012/11/28,50.33
2012/11/29,51.039
2012/11/30,51.279
2012/12/01,49.185
2012/12/02,46.098
2012/12/03,46.431
2012/12/04,54.957
2012/12/05,54.626
2012/12/06,54.061
2012/12/07,51.51
2012/12/08,50.745
2012/12/09,52.128
2012/12/10,52.46
2012/12/11,52.285
2012/12/12,53.917
2012/12/13,56.321
2012/12/14,58.283
2012/12/15,52.133
2012/12/16,54.289
2012/12/17,52.815
2012/12/18,58.106
2012/12/19,52.61
2012/12/20,54.371
2012/12/21,54.182
2012/12/22,52.582
2012/12/23,51.977
2012/12/24,52.12
2012/12/25,48.278
2012/12/26,50.108
2012/12/27,51.572
2012/12/28,51.046
2012/12/29,50.863
2012/12/30,49.701
2012/12/31,46.764
2013/01/01,46.834
2013/01/02,49.822
2013/01/03,49.131
2013/01/04,52.9
