Date,activeaddresses90roc
2013/05/13,59.656
2013/05/14,57.49
2013/05/15,64.661
2013/05/16,67.847
2013/05/17,66.524
2013/05/18,50.019
2013/05/19,35.968
2013/05/20,45.093
2013/05/21,62.6
2013/05/22,47.734
2013/05/23,53.291
2013/05/24,65.376
2013/05/25,33.764
2013/05/26,23.008
2013/05/27,25.821
2013/05/28,38.466
2013/05/29,34.701
2013/05/30,24.034
2013/05/31,53.322
2013/06/01,47.212
2013/06/02,22.956
2013/06/03,39.133
2013/06/04,13.709
2013/06/05,18.533
2013/06/06,29.458
2013/06/07,36.299
2013/06/08,2.216
2013/06/09,5.741
2013/06/10,2.045
2013/06/11,5.656
2013/06/12,4.333
2013/06/13,4.479
2013/06/14,48.792
2013/06/15,3.592
2013/06/16,-17.125
2013/06/17,-17.225
2013/06/18,1.136
2013/06/19,-0.835
2013/06/20,-9.774
2013/06/21,3.151
2013/06/22,-15.139
2013/06/23,-21.337
2013/06/24,-11.164
2013/06/25,-15.636
2013/06/26,-31.194
2013/06/27,-26.719
2013/06/28,-12.089
2013/06/29,-5.104
2013/06/30,-33.349
2013/07/01,-25.251
2013/07/02,-40.119
2013/07/03,-39.366
2013/07/04,-39.153
2013/07/05,-27.173
2013/07/06,-35.09
2013/07/07,-57.112
2013/07/08,-43.747
2013/07/09,-49.056
2013/07/10,-47.952
2013/07/11,-28.754
2013/07/12,-5.295
2013/07/13,-11.599
2013/07/14,-51.718
2013/07/15,-37.902
2013/07/16,-37.085
2013/07/17,-23.269
2013/07/18,-39.839
2013/07/19,-21.13
2013/07/20,-25.01
2013/07/21,-44.26
2013/07/22,-35.265
2013/07/23,-37.293
2013/07/24,-27.412
2013/07/25,-22.928
2013/07/26,-19.644
2013/07/27,-55.965
2013/07/28,-43.449
2013/07/29,-12.277
2013/07/30,-16.438
2013/07/31,-1.303
2013/08/01,37.955
2013/08/02,6.808
2013/08/03,-16.168
2013/08/04,-29.289
2013/08/05,-32.944
2013/08/06,-30.157
2013/08/07,-7.656
2013/08/08,-14.186
2013/08/09,-20.128
2013/08/10,-14.802
2013/08/11,-34.618
2013/08/12,23.493
2013/08/13,-11.521
2013/08/14,-7.066
2013/08/15,-3.436
2013/08/16,20.692
2013/08/17,-4.383
2013/08/18,-19.711
2013/08/19,-4.871
2013/08/20,6.74
2013/08/21,-0.709
2013/08/22,-1.265
2013/08/23,17.615
2013/08/24,-7.564
2013/08/25,-7.268
2013/08/26,-0.597
2013/08/27,17.942
2013/08/28,7.219
2013/08/29,-0.788
2013/08/30,32.158
2013/08/31,33.929
2013/09/01,-28.621
2013/09/02,-20.146
2013/09/03,-8.348
2013/09/04,4.929
2013/09/05,-4.532
2013/09/06,25.769
2013/09/07,10.588
2013/09/08,-7.345
2013/09/09,11.089
2013/09/10,10.832
2013/09/11,12.562
2013/09/12,1.672
2013/09/13,23.717
2013/09/14,10.798
2013/09/15,-3.692
2013/09/16,9.773
2013/09/17,5.642
2013/09/18,16.927
2013/09/19,14.504
2013/09/20,31.625
2013/09/21,27.496
2013/09/22,-1.969
2013/09/23,31.21
2013/09/24,20.624
2013/09/25,28.633
2013/09/26,13.942
2013/09/27,28.071
2013/09/28,36.511
2013/09/29,3.834
2013/09/30,25.401
2013/10/01,35.994
2013/10/02,73.712
2013/10/03,49.184
2013/10/04,37.695
2013/10/05,34.583
2013/10/06,-3.074
2013/10/07,12.664
2013/10/08,17.603
2013/10/09,8.399
2013/10/10,2.735
2013/10/11,26.426
2013/10/12,38.383
2013/10/13,40.64
2013/10/14,24.554
2013/10/15,35.837
2013/10/16,47.631
2013/10/17,38.62
2013/10/18,64.171
2013/10/19,81.034
2013/10/20,21.896
2013/10/21,49.957
2013/10/22,66.275
2013/10/23,62.584
2013/10/24,78.288
2013/10/25,94.651
2013/10/26,50.342
2013/10/27,-3.229
2013/10/28,23.939
2013/10/29,5.637
2013/10/30,-16.061
2013/10/31,29.668
2013/11/01,43.927
2013/11/02,29.247
2013/11/03,13.888
2013/11/04,40.57
2013/11/05,55.582
2013/11/06,81.545
2013/11/07,101.902
2013/11/08,120.454
2013/11/09,139.794
2013/11/10,13.185
2013/11/11,55.019
2013/11/12,48.827
2013/11/13,62.36
2013/11/14,61.707
2013/11/15,95.411
2013/11/16,80.528
2013/11/17,37.147
2013/11/18,106.271
2013/11/19,151.287
2013/11/20,97.301
2013/11/21,130.545
2013/11/22,156.914
2013/11/23,119.915
2013/11/24,64.53
2013/11/25,50.523
2013/11/26,114.021
2013/11/27,166.096
2013/11/28,125.458
2013/11/29,115.088
2013/11/30,187.623
2013/12/01,164.862
2013/12/02,146.925
2013/12/03,126.529
2013/12/04,161.67
2013/12/05,151.192
2013/12/06,170.692
2013/12/07,167.149
