Date,confirmationtime
2012/12/08,10.435
2012/12/09,11.429
2012/12/10,10.07
2012/12/11,10
2012/12/12,11.077
2012/12/13,10.992
2012/12/14,13.585
2012/12/15,12.414
2012/12/16,12.973
2012/12/17,10.746
2012/12/18,11.52
2012/12/19,10.141
2012/12/20,13.585
2012/12/21,11.429
2012/12/22,9.412
2012/12/23,11.803
2012/12/24,10.909
2012/12/25,11.613
2012/12/26,9.351
2012/12/27,9.231
2012/12/28,8.521
2012/12/29,10
2012/12/30,8.675
2012/12/31,9.114
2013/01/01,8.889
2013/01/02,9.412
2013/01/03,8.889
2013/01/04,9.412
2013/01/05,10.213
2013/01/06,9.931
2013/01/07,8.571
2013/01/08,10.827
2013/01/09,11.077
2013/01/10,9.796
2013/01/11,12.308
2013/01/12,11.803
2013/01/13,10.827
2013/01/14,9.172
2013/01/15,11.901
2013/01/16,10.992
2013/01/17,12.973
2013/01/18,11.901
2013/01/19,9.351
2013/01/20,11.077
2013/01/21,10.909
2013/01/22,10
2013/01/23,11.429
2013/01/24,9.231
2013/01/25,10.511
2013/01/26,9.231
2013/01/27,9.536
2013/01/28,9.796
2013/01/29,9.114
2013/01/30,9.412
2013/01/31,7.461
2013/02/01,9.796
2013/02/02,9.412
2013/02/03,7.742
2013/02/04,8.78
2013/02/05,8.623
2013/02/06,9.863
2013/02/07,9.351
2013/02/08,9.536
2013/02/09,10.07
2013/02/10,8.944
2013/02/11,9.057
2013/02/12,10.36
2013/02/13,8.421
2013/02/14,9.536
2013/02/15,8.045
2013/02/16,7.619
2013/02/17,7.66
2013/02/18,8.944
2013/02/19,9.057
2013/02/20,7.461
2013/02/21,8.182
2013/02/22,8.471
2013/02/23,8.78
2013/02/24,9.231
2013/02/25,7.059
2013/02/26,8.675
2013/02/27,7.461
2013/02/28,8.571
2013/03/01,9.474
2013/03/02,9.931
2013/03/03,8.944
2013/03/04,8.045
2013/03/05,10.36
2013/03/06,9.29
2013/03/07,9
2013/03/08,9
2013/03/09,8.521
2013/03/10,7.869
2013/03/11,8.78
2013/03/12,10.667
2013/03/13,9.172
2013/03/14,8.045
2013/03/15,8.372
2013/03/16,8.229
2013/03/17,6.89
2013/03/18,7.579
2013/03/19,8.471
2013/03/20,6.825
2013/03/21,6.606
2013/03/22,6.288
2013/03/23,6.636
2013/03/24,7.619
2013/03/25,10
2013/03/26,9.536
2013/03/27,10.992
2013/03/28,7.869
2013/03/29,8.276
2013/03/30,8.324
2013/03/31,8.521
2013/04/01,7.273
2013/04/02,7.956
2013/04/03,8.229
2013/04/04,9.351
2013/04/05,9.114
2013/04/06,8.834
2013/04/07,8.78
2013/04/08,9.29
2013/04/09,8.182
2013/04/10,7.539
2013/04/11,9
2013/04/12,8.324
2013/04/13,8.623
2013/04/14,9.412
2013/04/15,8.78
2013/04/16,8.136
2013/04/17,8.421
2013/04/18,9.796
2013/04/19,10.511
2013/04/20,9.351
2013/04/21,8.182
2013/04/22,9.412
2013/04/23,8.571
2013/04/24,8.889
2013/04/25,8.372
2013/04/26,8.421
2013/04/27,9.796
2013/04/28,8.136
2013/04/29,8.276
