Date,size3mom
2013/10/07,15450
2013/10/08,31078
2013/10/09,20108
2013/10/10,-7887
2013/10/11,252.472
2013/10/12,-25513
2013/10/13,-19302
2013/10/14,-14279
2013/10/15,-6675
2013/10/16,-876.474
2013/10/17,20031
2013/10/18,42363
2013/10/19,12470
2013/10/20,-11741
2013/10/21,-3337
2013/10/22,4539
2013/10/23,13130
2013/10/24,19133
2013/10/25,-7336
2013/10/26,-7923
2013/10/27,-42379
2013/10/28,8451
2013/10/29,18771
2013/10/30,8035
2013/10/31,-322.206
2013/11/01,-39351
2013/11/02,-18975
2013/11/03,-31301
2013/11/04,13808
2013/11/05,51042
2013/11/06,81140
2013/11/07,99313
2013/11/08,73093
2013/11/09,14457
2013/11/10,-45359
2013/11/11,-79075
2013/11/12,-58072
2013/11/13,11022
2013/11/14,32920
2013/11/15,34128
2013/11/16,-67656
2013/11/17,-43391
2013/11/18,79530
2013/11/19,195056
2013/11/20,92999
2013/11/21,18815
2013/11/22,-85512
2013/11/23,-23804
2013/11/24,-90585
2013/11/25,-36707
2013/11/26,41935
2013/11/27,81601
2013/11/28,58341
2013/11/29,-1347
2013/11/30,-64726
2013/12/01,-59879
2013/12/02,-18983
2013/12/03,-14902
2013/12/04,44162
2013/12/05,7183
2013/12/06,-16446
2013/12/07,-68121
2013/12/08,-117690
2013/12/09,3619
2013/12/10,26970
2013/12/11,75373
2013/12/12,-2023
2013/12/13,-14519
2013/12/14,-28629
2013/12/15,1434
2013/12/16,2512
2013/12/17,1619
2013/12/18,32067
2013/12/19,-31329
2013/12/20,14298
2013/12/21,-30157
2013/12/22,13655
2013/12/23,-14695
2013/12/24,-6614
2013/12/25,14241
2013/12/26,-2261
2013/12/27,-21010
2013/12/28,1450
2013/12/29,8507
2013/12/30,28865
2013/12/31,-33254
2014/01/01,-69586
2014/01/02,37897
2014/01/03,52123
2014/01/04,79832
2014/01/05,-46894
2014/01/06,6450
2014/01/07,-8492
2014/01/08,-8259
2014/01/09,-61252
2014/01/10,-29785
2014/01/11,-17550
2014/01/12,-15417
2014/01/13,19745
2014/01/14,34199
2014/01/15,35800
2014/01/16,-6939
2014/01/17,15390
2014/01/18,-17668
2014/01/19,-16946
2014/01/20,-5629
2014/01/21,75440
2014/01/22,29234
2014/01/23,1181
2014/01/24,-49058
2014/01/25,-5599
2014/01/26,-7439
2014/01/27,16468
2014/01/28,49599
2014/01/29,14476
2014/01/30,-12847
2014/01/31,-48272
2014/02/01,-40913
2014/02/02,-16016
2014/02/03,13285
2014/02/04,69522
2014/02/05,62400
2014/02/06,29184
2014/02/07,24025
