Date,mediantransactionvalue90stdUSD
2012/05/24,57.591
2012/05/25,58.162
2012/05/26,58.822
2012/05/27,59.504
2012/05/28,60.045
2012/05/29,60.536
2012/05/30,60.929
2012/05/31,61.246
2012/06/01,61.716
2012/06/02,61.916
2012/06/03,62.447
2012/06/04,62.961
2012/06/05,63.28
2012/06/06,63.205
2012/06/07,63.326
2012/06/08,63.584
2012/06/09,63.926
2012/06/10,63.861
2012/06/11,64.035
2012/06/12,63.618
2012/06/13,63.635
2012/06/14,63.403
2012/06/15,63.722
2012/06/16,63.85
2012/06/17,63.843
2012/06/18,63.709
2012/06/19,63.336
2012/06/20,62.965
2012/06/21,62.889
2012/06/22,62.479
2012/06/23,62.399
2012/06/24,62.286
2012/06/25,62.102
2012/06/26,61.759
2012/06/27,61.133
2012/06/28,59.702
2012/06/29,58.614
2012/06/30,57.858
2012/07/01,57.469
2012/07/02,56.785
2012/07/03,55.97
2012/07/04,55.172
2012/07/05,54.047
2012/07/06,53.449
2012/07/07,52.951
2012/07/08,52.01
2012/07/09,51.874
2012/07/10,51.127
2012/07/11,49.791
2012/07/12,47.459
2012/07/13,46.64
2012/07/14,46.195
2012/07/15,44.695
2012/07/16,41.63
2012/07/17,39.86
2012/07/18,37.552
2012/07/19,32.017
2012/07/20,29.249
2012/07/21,27.597
2012/07/22,25.68
2012/07/23,21.729
2012/07/24,20.297
2012/07/25,19.525
2012/07/26,15.552
2012/07/27,13.544
2012/07/28,12.801
2012/07/29,11.875
2012/07/30,11.642
2012/07/31,11.042
2012/08/01,11.343
2012/08/02,11.582
2012/08/03,16.464
2012/08/04,17.742
2012/08/05,18.335
2012/08/06,18.529
2012/08/07,20.037
2012/08/08,20.074
2012/08/09,20.169
2012/08/10,20.492
2012/08/11,20.52
2012/08/12,20.501
2012/08/13,20.49
2012/08/14,20.539
2012/08/15,20.504
2012/08/16,21.529
2012/08/17,22.867
2012/08/18,23.528
2012/08/19,23.589
2012/08/20,24.015
2012/08/21,24.71
2012/08/22,25.622
2012/08/23,27.844
2012/08/24,28.387
2012/08/25,28.385
2012/08/26,28.477
2012/08/27,28.494
2012/08/28,28.413
2012/08/29,28.403
2012/08/30,28.314
2012/08/31,28.312
2012/09/01,28.209
2012/09/02,28.046
2012/09/03,27.93
2012/09/04,27.941
2012/09/05,27.859
2012/09/06,27.763
2012/09/07,27.661
2012/09/08,28.014
2012/09/09,28.354
2012/09/10,28.26
2012/09/11,28.14
2012/09/12,27.943
2012/09/13,27.795
2012/09/14,27.662
2012/09/15,27.515
2012/09/16,27.398
2012/09/17,27.253
2012/09/18,27.083
2012/09/19,26.939
2012/09/20,26.809
2012/09/21,26.689
2012/09/22,26.515
2012/09/23,26.372
2012/09/24,26.237
2012/09/25,26.181
2012/09/26,26.09
2012/09/27,25.964
2012/09/28,25.86
2012/09/29,25.703
2012/09/30,25.584
2012/10/01,25.614
2012/10/02,25.615
2012/10/03,25.621
2012/10/04,25.502
2012/10/05,25.446
2012/10/06,25.448
2012/10/07,25.512
2012/10/08,25.511
2012/10/09,25.428
2012/10/10,25.467
2012/10/11,25.499
2012/10/12,25.516
2012/10/13,25.534
2012/10/14,25.562
2012/10/15,25.484
2012/10/16,25.449
2012/10/17,25.352
2012/10/18,25.219
2012/10/19,25.078
2012/10/20,24.97
2012/10/21,25.101
2012/10/22,25.151
2012/10/23,25.209
2012/10/24,25.141
2012/10/25,25.127
2012/10/26,25.814
2012/10/27,26.887
2012/10/28,26.975
2012/10/29,26.968
2012/10/30,27.021
2012/10/31,27.018
2012/11/01,25.504
2012/11/02,25.196
2012/11/03,25.099
2012/11/04,25.124
2012/11/05,24.621
2012/11/06,24.685
2012/11/07,24.733
2012/11/08,24.674
2012/11/09,24.718
2012/11/10,24.757
2012/11/11,24.624
2012/11/12,24.658
2012/11/13,24.67
2012/11/14,24.263
2012/11/15,23.515
2012/11/16,23.181
2012/11/17,23.183
2012/11/18,22.965
2012/11/19,22.488
2012/11/20,21.692
2012/11/21,19.158
2012/11/22,18.387
2012/11/23,18.35
2012/11/24,18.108
2012/11/25,18.039
2012/11/26,18.063
2012/11/27,18.177
2012/11/28,18.153
2012/11/29,18.202
