Date,size14std
2013/09/15,38387
2013/09/16,40762
2013/09/17,44742
2013/09/18,47137
2013/09/19,46917
2013/09/20,46292
2013/09/21,44319
2013/09/22,45155
2013/09/23,45339
2013/09/24,45301
2013/09/25,44119
2013/09/26,45680
2013/09/27,42375
2013/09/28,36474
2013/09/29,38189
2013/09/30,35344
2013/10/01,30832
2013/10/02,30206
2013/10/03,30935
2013/10/04,30948
2013/10/05,35905
2013/10/06,35885
2013/10/07,36554
2013/10/08,36578
2013/10/09,35904
2013/10/10,32256
2013/10/11,32097
2013/10/12,33119
2013/10/13,32731
2013/10/14,33700
2013/10/15,35853
2013/10/16,29755
2013/10/17,27708
2013/10/18,29611
2013/10/19,25970
2013/10/20,25193
2013/10/21,24033
2013/10/22,24502
2013/10/23,24675
2013/10/24,29568
2013/10/25,29567
2013/10/26,27482
2013/10/27,27688
2013/10/28,26571
2013/10/29,22130
2013/10/30,20955
2013/10/31,20968
2013/11/01,24603
2013/11/02,27938
2013/11/03,30704
2013/11/04,30261
2013/11/05,33808
2013/11/06,44700
2013/11/07,62430
2013/11/08,78431
2013/11/09,82800
2013/11/10,81677
2013/11/11,81129
2013/11/12,81278
2013/11/13,81046
2013/11/14,80986
2013/11/15,75134
2013/11/16,72610
2013/11/17,65646
2013/11/18,72832
2013/11/19,98518
2013/11/20,100828
2013/11/21,108376
2013/11/22,108150
2013/11/23,108314
2013/11/24,107815
2013/11/25,104608
2013/11/26,101714
2013/11/27,104442
2013/11/28,104121
2013/11/29,102050
2013/11/30,84357
2013/12/01,72193
2013/12/02,71323
2013/12/03,60122
2013/12/04,60107
2013/12/05,54148
2013/12/06,60376
2013/12/07,66166
2013/12/08,80834
2013/12/09,82546
2013/12/10,79343
2013/12/11,71835
2013/12/12,67644
2013/12/13,60319
2013/12/14,60867
2013/12/15,61272
2013/12/16,55687
2013/12/17,55985
2013/12/18,49848
2013/12/19,39189
2013/12/20,39597
2013/12/21,39358
2013/12/22,27472
2013/12/23,27707
2013/12/24,26567
2013/12/25,23765
2013/12/26,23985
2013/12/27,27312
2013/12/28,27514
2013/12/29,27578
2013/12/30,27273
2013/12/31,30492
2014/01/01,39409
2014/01/02,46427
