Date,price90wmaUSD
2013/01/29,14.113
2013/01/30,14.239
2013/01/31,14.38
2013/02/01,14.53
2013/02/02,14.673
2013/02/03,14.813
2013/02/04,14.954
2013/02/05,15.092
2013/02/06,15.235
2013/02/07,15.393
2013/02/08,15.566
2013/02/09,15.753
2013/02/10,15.947
2013/02/11,16.149
2013/02/12,16.356
2013/02/13,16.563
2013/02/14,16.786
2013/02/15,17.033
2013/02/16,17.281
2013/02/17,17.524
2013/02/18,17.764
2013/02/19,18.025
2013/02/20,18.311
2013/02/21,18.599
2013/02/22,18.883
2013/02/23,19.157
2013/02/24,19.422
2013/02/25,19.684
2013/02/26,19.949
2013/02/27,20.226
2013/02/28,20.531
2013/03/01,20.873
2013/03/02,21.208
2013/03/03,21.523
2013/03/04,21.853
2013/03/05,22.249
2013/03/06,22.692
2013/03/07,23.151
2013/03/08,23.632
2013/03/09,24.147
2013/03/10,24.683
2013/03/11,25.226
2013/03/12,25.739
2013/03/13,26.216
2013/03/14,26.698
2013/03/15,27.178
2013/03/16,27.663
2013/03/17,28.136
2013/03/18,28.653
2013/03/19,29.274
2013/03/20,30.026
2013/03/21,30.904
2013/03/22,31.808
2013/03/23,32.653
2013/03/24,33.511
2013/03/25,34.453
2013/03/26,35.437
2013/03/27,36.572
2013/03/28,37.835
2013/03/29,39.098
2013/03/30,40.363
2013/03/31,41.644
2013/04/01,43.032
2013/04/02,44.686
2013/04/03,46.586
2013/04/04,48.539
2013/04/05,50.576
2013/04/06,52.706
2013/04/07,54.981
2013/04/08,57.696
2013/04/09,61.074
2013/04/10,64.037
2013/04/11,65.564
2013/04/12,66.571
2013/04/13,67.69
2013/04/14,68.643
2013/04/15,69.473
2013/04/16,70.021
2013/04/17,70.612
2013/04/18,71.561
2013/04/19,72.755
2013/04/20,74.097
2013/04/21,75.411
2013/04/22,76.684
2013/04/23,78.093
2013/04/24,79.784
2013/04/25,81.556
2013/04/26,83.147
2013/04/27,84.565
2013/04/28,85.907
2013/04/29,87.366
2013/04/30,88.883
2013/05/01,90.156
2013/05/02,91.105
2013/05/03,91.848
2013/05/04,92.622
2013/05/05,93.561
2013/05/06,94.466
2013/05/07,95.292
2013/05/08,96.078
2013/05/09,96.817
2013/05/10,97.581
2013/05/11,98.367
2013/05/12,99.114
2013/05/13,99.851
2013/05/14,100.487
2013/05/15,101.013
2013/05/16,101.574
2013/05/17,102.191
2013/05/18,102.839
2013/05/19,103.467
2013/05/20,104.081
2013/05/21,104.72
2013/05/22,105.369
2013/05/23,106.041
2013/05/24,106.82
2013/05/25,107.645
2013/05/26,108.468
2013/05/27,109.258
2013/05/28,109.967
2013/05/29,110.667
2013/05/30,111.362
2013/05/31,112.015
2013/06/01,112.657
2013/06/02,113.215
2013/06/03,113.667
2013/06/04,114.084
2013/06/05,114.491
2013/06/06,114.862
2013/06/07,115.119
2013/06/08,115.26
2013/06/09,115.283
2013/06/10,115.25
2013/06/11,115.257
2013/06/12,115.282
2013/06/13,115.266
2013/06/14,115.145
2013/06/15,114.953
2013/06/16,114.749
2013/06/17,114.542
2013/06/18,114.385
2013/06/19,114.249
2013/06/20,114.119
2013/06/21,113.984
2013/06/22,113.786
2013/06/23,113.535
2013/06/24,113.206
2013/06/25,112.843
2013/06/26,112.492
2013/06/27,112.107
2013/06/28,111.625
2013/06/29,111.076
2013/06/30,110.538
2013/07/01,109.91
2013/07/02,109.234
2013/07/03,108.527
2013/07/04,107.766
2013/07/05,106.898
2013/07/06,105.89
2013/07/07,104.983
2013/07/08,104.183
2013/07/09,103.389
2013/07/10,102.698
2013/07/11,102.138
2013/07/12,101.657
2013/07/13,101.247
2013/07/14,100.84
2013/07/15,100.458
2013/07/16,100.085
2013/07/17,99.685
2013/07/18,99.236
2013/07/19,98.733
2013/07/20,98.239
2013/07/21,97.752
2013/07/22,97.277
2013/07/23,96.837
2013/07/24,96.434
2013/07/25,96.077
2013/07/26,95.759
2013/07/27,95.436
2013/07/28,95.117
2013/07/29,94.873
2013/07/30,94.679
2013/07/31,94.557
2013/08/01,94.436
2013/08/02,94.309
2013/08/03,94.181
2013/08/04,94.04
2013/08/05,93.923
2013/08/06,93.841
2013/08/07,93.773
2013/08/08,93.676
2013/08/09,93.544
2013/08/10,93.399
2013/08/11,93.251
2013/08/12,93.128
2013/08/13,93.03
2013/08/14,92.964
2013/08/15,92.915
2013/08/16,92.86
2013/08/17,92.815
2013/08/18,92.777
2013/08/19,92.766
2013/08/20,92.828
2013/08/21,92.981
2013/08/22,93.186
2013/08/23,93.369
2013/08/24,93.551
2013/08/25,93.779
2013/08/26,94.035
2013/08/27,94.364
2013/08/28,94.773
2013/08/29,95.195
2013/08/30,95.676
2013/08/31,96.241
2013/09/01,96.864
2013/09/02,97.506
2013/09/03,98.13
2013/09/04,98.663
2013/09/05,99.121
2013/09/06,99.528
2013/09/07,99.933
2013/09/08,100.37
2013/09/09,100.832
2013/09/10,101.338
2013/09/11,101.879
2013/09/12,102.46
2013/09/13,103.044
2013/09/14,103.62
2013/09/15,104.184
2013/09/16,104.746
2013/09/17,105.312
2013/09/18,105.891
2013/09/19,106.41
2013/09/20,106.891
2013/09/21,107.371
2013/09/22,107.855
2013/09/23,108.328
2013/09/24,108.795
2013/09/25,109.276
2013/09/26,109.761
2013/09/27,110.233
2013/09/28,110.714
2013/09/29,111.191
2013/09/30,111.652
2013/10/01,112.11
2013/10/02,112.326
2013/10/03,112.439
2013/10/04,112.731
2013/10/05,113.06
2013/10/06,113.379
2013/10/07,113.709
2013/10/08,114.054
2013/10/09,114.416
2013/10/10,114.782
2013/10/11,115.145
2013/10/12,115.506
2013/10/13,115.918
2013/10/14,116.392
2013/10/15,116.959
2013/10/16,117.546
2013/10/17,118.177
2013/10/18,118.904
2013/10/19,119.839
2013/10/20,120.834
2013/10/21,121.975
2013/10/22,123.437
2013/10/23,125.121
2013/10/24,126.651
2013/10/25,127.803
2013/10/26,129.013
2013/10/27,130.321
2013/10/28,131.82
2013/10/29,133.407
2013/10/30,135.024
2013/10/31,136.621
2013/11/01,138.24
2013/11/02,139.871
2013/11/03,141.543
2013/11/04,143.435
2013/11/05,145.686
2013/11/06,148.274
2013/11/07,151.392
2013/11/08,154.994
2013/11/09,159.358
2013/11/10,162.715
2013/11/11,166.509
2013/11/12,170.748
2013/11/13,175.64
2013/11/14,181.168
2013/11/15,186.858
2013/11/16,192.616
2013/11/17,199.062
2013/11/18,207.559
2013/11/19,217.076
2013/11/20,224.115
2013/11/21,233.365
2013/11/22,244.155
2013/11/23,256.202
2013/11/24,267.301
2013/11/25,278.708
2013/11/26,291.581
2013/11/27,306.368
2013/11/28,321.917
2013/11/29,338.302
2013/11/30,356.028
2013/12/01,370.524
2013/12/02,384.878
2013/12/03,400.506
2013/12/04,417.068
2013/12/05,432.4
2013/12/06,445.875
2013/12/07,454.856
2013/12/08,463.972
2013/12/09,475.636
2013/12/10,488.45
2013/12/11,500.43
2013/12/12,511.474
2013/12/13,522.703
2013/12/14,533.412
2013/12/15,543.497
2013/12/16,552.088
2013/12/17,558.291
2013/12/18,561.756
2013/12/19,566.467
2013/12/20,572.102
2013/12/21,576.522
2013/12/22,581.273
2013/12/23,586.234
2013/12/24,591.52
2013/12/25,596.665
2013/12/26,602.995
2013/12/27,609.674
2013/12/28,615.871
2013/12/29,621.734
2013/12/30,628.129
2013/12/31,634.278
2014/01/01,640.59
2014/01/02,646.929
2014/01/03,653.411
2014/01/04,660.631
2014/01/05,668.621
2014/01/06,678.273
2014/01/07,686.689
2014/01/08,693.45
2014/01/09,700.068
2014/01/10,706.429
2014/01/11,713.783
2014/01/12,720.827
2014/01/13,726.442
2014/01/14,732.038
2014/01/15,737.758
2014/01/16,743.22
2014/01/17,747.819
2014/01/18,752.567
2014/01/19,757.267
