Date,sentbyaddress3std
2012/08/17,8259
2012/08/18,6137
2012/08/19,7436
2012/08/20,5312
2012/08/21,6589
2012/08/22,6054
2012/08/23,5224
2012/08/24,3119
2012/08/25,5240
2012/08/26,6252
2012/08/27,2622
2012/08/28,3020
2012/08/29,1348
2012/08/30,2943
2012/08/31,8534
2012/09/01,8777
2012/09/02,8662
2012/09/03,7824
2012/09/04,4646
2012/09/05,5962
2012/09/06,3709
2012/09/07,3697
2012/09/08,8091
2012/09/09,4608
2012/09/10,3358
2012/09/11,4803
2012/09/12,6520
2012/09/13,7666
2012/09/14,2721
2012/09/15,4725
2012/09/16,5316
2012/09/17,856.234
2012/09/18,5982
2012/09/19,5963
2012/09/20,2854
2012/09/21,6143
2012/09/22,11112
2012/09/23,5280
2012/09/24,4077
2012/09/25,8578
2012/09/26,7834
2012/09/27,3646
2012/09/28,4036
2012/09/29,6728
2012/09/30,9828
2012/10/01,3127
2012/10/02,11517
2012/10/03,8459
2012/10/04,4620
2012/10/05,3032
2012/10/06,4300
2012/10/07,3403
2012/10/08,5059
2012/10/09,4208
2012/10/10,2138
2012/10/11,4341
2012/10/12,2693
2012/10/13,1680
2012/10/14,2705
2012/10/15,4566
2012/10/16,4368
2012/10/17,2192
2012/10/18,2154
2012/10/19,4032
2012/10/20,3866
2012/10/21,1970
2012/10/22,1700
2012/10/23,2183
2012/10/24,2040
2012/10/25,1562
2012/10/26,2229
2012/10/27,5635
2012/10/28,5631
2012/10/29,955.409
2012/10/30,5237
2012/10/31,4117
2012/11/01,3044
2012/11/02,1912
2012/11/03,1328
2012/11/04,1984
2012/11/05,3155
2012/11/06,5086
2012/11/07,4186
2012/11/08,3607
2012/11/09,4350
2012/11/10,3329
2012/11/11,3684
2012/11/12,953.985
2012/11/13,2256
2012/11/14,3925
2012/11/15,7869
2012/11/16,6593
2012/11/17,2436
2012/11/18,2862
2012/11/19,416.334
2012/11/20,779.71
2012/11/21,902.25
2012/11/22,1919
