Date,mining_profitability30var
2012/07/03,116858
2012/07/04,112742
2012/07/05,110822
2012/07/06,104401
2012/07/07,101808
2012/07/08,99327
2012/07/09,100194
2012/07/10,98734
2012/07/11,73192
2012/07/12,88780
2012/07/13,98188
2012/07/14,103317
2012/07/15,103271
2012/07/16,124700
2012/07/17,166621
2012/07/18,177469
2012/07/19,159000
2012/07/20,183406
2012/07/21,191178
2012/07/22,212524
2012/07/23,211746
2012/07/24,193054
2012/07/25,198133
2012/07/26,197843
2012/07/27,220857
2012/07/28,208674
2012/07/29,240639
2012/07/30,225968
2012/07/31,224253
2012/08/01,219628
2012/08/02,248277
2012/08/03,234230
2012/08/04,238341
2012/08/05,232817
2012/08/06,233822
2012/08/07,258250
2012/08/08,267754
2012/08/09,269043
2012/08/10,241337
2012/08/11,263439
2012/08/12,265846
2012/08/13,265687
2012/08/14,235142
2012/08/15,261308
2012/08/16,281676
2012/08/17,280921
2012/08/18,270554
2012/08/19,269496
2012/08/20,315542
2012/08/21,336131
2012/08/22,322512
2012/08/23,328925
2012/08/24,345837
2012/08/25,357534
2012/08/26,360649
2012/08/27,368548
2012/08/28,371612
2012/08/29,360998
2012/08/30,348602
2012/08/31,371055
2012/09/01,388185
2012/09/02,397986
2012/09/03,426570
2012/09/04,428203
2012/09/05,429963
2012/09/06,401288
2012/09/07,395788
2012/09/08,402094
2012/09/09,392229
2012/09/10,366388
2012/09/11,368467
2012/09/12,337005
2012/09/13,330492
2012/09/14,258766
2012/09/15,193074
2012/09/16,158152
2012/09/17,102534
2012/09/18,77016
2012/09/19,69883
2012/09/20,73465
2012/09/21,71771
2012/09/22,75896
2012/09/23,76600
2012/09/24,76643
2012/09/25,77835
2012/09/26,76362
2012/09/27,82121
2012/09/28,79435
2012/09/29,81751
2012/09/30,81102
2012/10/01,87122
2012/10/02,90616
2012/10/03,90002
2012/10/04,84470
2012/10/05,83283
2012/10/06,86943
2012/10/07,103360
2012/10/08,98739
2012/10/09,112121
2012/10/10,114098
2012/10/11,118715
2012/10/12,115705
2012/10/13,111356
2012/10/14,125544
2012/10/15,125264
2012/10/16,121946
2012/10/17,126265
2012/10/18,125175
2012/10/19,146863
2012/10/20,137520
2012/10/21,133563
2012/10/22,134003
2012/10/23,147148
2012/10/24,146271
2012/10/25,149934
2012/10/26,148682
2012/10/27,142477
2012/10/28,147812
2012/10/29,146274
2012/10/30,162367
2012/10/31,168971
2012/11/01,155235
2012/11/02,165279
2012/11/03,165098
2012/11/04,164494
2012/11/05,138065
2012/11/06,149018
2012/11/07,125249
2012/11/08,131998
2012/11/09,129243
2012/11/10,137899
2012/11/11,131274
2012/11/12,131152
2012/11/13,131170
2012/11/14,110793
2012/11/15,107440
