Date,activeaddresses
2013/10/27,65295
2013/10/28,86596
2013/10/29,85460
2013/10/30,95946
2013/10/31,96937
2013/11/01,87053
2013/11/02,77875
2013/11/03,83333
2013/11/04,100572
2013/11/05,117724
2013/11/06,131395
2013/11/07,130493
2013/11/08,130738
2013/11/09,129810
2013/11/10,117024
2013/11/11,116255
2013/11/12,116405
2013/11/13,122999
2013/11/14,133437
2013/11/15,120004
2013/11/16,103890
2013/11/17,107730
2013/11/18,164695
2013/11/19,207754
2013/11/20,165510
2013/11/21,188789
2013/11/22,165422
2013/11/23,150897
2013/11/24,124668
2013/11/25,143015
2013/11/26,179510
2013/11/27,199263
2013/11/28,202035
2013/11/29,189628
2013/11/30,163942
2013/12/01,166307
2013/12/02,178033
2013/12/03,174151
2013/12/04,184281
2013/12/05,184046
2013/12/06,169434
2013/12/07,150899
2013/12/08,114536
2013/12/09,156258
2013/12/10,154546
2013/12/11,152924
2013/12/12,130824
2013/12/13,146004
2013/12/14,148107
2013/12/15,141315
2013/12/16,177669
2013/12/17,158826
2013/12/18,181244
2013/12/19,157747
2013/12/20,153561
2013/12/21,127412
2013/12/22,124083
2013/12/23,152463
2013/12/24,130524
2013/12/25,130234
2013/12/26,122662
2013/12/27,126404
2013/12/28,115924
2013/12/29,129269
2013/12/30,152686
2013/12/31,119176
2014/01/01,97260
2014/01/02,137758
2014/01/03,143112
2014/01/04,116602
2014/01/05,136208
2014/01/06,178917
2014/01/07,142545
2014/01/08,147459
2014/01/09,134119
2014/01/10,127459
2014/01/11,130048
2014/01/12,117030
2014/01/13,152204
2014/01/14,131569
2014/01/15,132995
2014/01/16,132515
2014/01/17,129347
2014/01/18,106595
2014/01/19,108928
2014/01/20,179150
2014/01/21,159738
2014/01/22,152991
2014/01/23,150325
2014/01/24,142626
2014/01/25,126987
2014/01/26,125577
2014/01/27,170535
2014/01/28,158246
2014/01/29,141296
2014/01/30,151812
2014/01/31,149083
2014/02/01,135027
2014/02/02,135504
2014/02/03,172514
2014/02/04,169184
2014/02/05,156878
2014/02/06,163457
2014/02/07,165518
2014/02/08,148302
2014/02/09,129205
2014/02/10,171464
2014/02/11,154904
2014/02/12,215136
2014/02/13,164040
2014/02/14,177305
2014/02/15,150516
2014/02/16,127690
2014/02/17,180407
2014/02/18,158221
2014/02/19,177581
2014/02/20,181061
2014/02/21,178725
2014/02/22,155997
2014/02/23,162909
2014/02/24,215155
2014/02/25,209217
2014/02/26,201441
2014/02/27,184914
2014/02/28,196558
2014/03/01,181806
2014/03/02,159534
2014/03/03,237402
2014/03/04,232504
2014/03/05,202159
2014/03/06,195791
2014/03/07,181085
2014/03/08,171425
2014/03/09,173671
2014/03/10,208180
2014/03/11,190830
2014/03/12,203575
2014/03/13,193770
2014/03/14,192350
2014/03/15,146940
2014/03/16,140615
2014/03/17,189544
2014/03/18,143022
2014/03/19,165259
2014/03/20,166842
2014/03/21,189900
2014/03/22,169700
2014/03/23,149541
2014/03/24,192846
2014/03/25,166956
2014/03/26,169416
2014/03/27,183194
2014/03/28,183067
2014/03/29,145688
2014/03/30,166899
2014/03/31,170327
2014/04/01,179703
2014/04/02,179902
2014/04/03,168624
2014/04/04,178186
2014/04/05,153960
2014/04/06,183764
2014/04/07,159168
2014/04/08,165531
2014/04/09,179274
2014/04/10,182996
2014/04/11,169622
2014/04/12,132283
2014/04/13,172708
2014/04/14,183291
2014/04/15,199054
2014/04/16,185075
2014/04/17,157751
2014/04/18,149452
2014/04/19,141149
2014/04/20,164288
2014/04/21,142367
2014/04/22,183641
2014/04/23,156727
2014/04/24,168337
2014/04/25,181970
2014/04/26,135298
2014/04/27,171950
2014/04/28,167559
2014/04/29,169787
2014/04/30,166103
2014/05/01,154675
2014/05/02,143742
2014/05/03,117096
2014/05/04,156696
2014/05/05,148135
2014/05/06,168404
2014/05/07,161847
2014/05/08,166794
2014/05/09,163287
2014/05/10,135616
2014/05/11,165515
2014/05/12,154800
2014/05/13,149516
2014/05/14,160924
2014/05/15,177032
2014/05/16,155531
2014/05/17,148446
2014/05/18,177716
2014/05/19,185595
2014/05/20,191122
2014/05/21,157967
2014/05/22,163160
2014/05/23,176498
2014/05/24,125130
