Date,mediantransactionvalue3rsiUSD
2013/09/25,76.84
2013/09/26,54.993
2013/09/27,84.077
2013/09/28,61.081
2013/09/29,55.487
2013/09/30,82.165
2013/10/01,46.882
2013/10/02,49.432
2013/10/03,28.385
2013/10/04,30.096
2013/10/05,19.589
2013/10/06,17.263
2013/10/07,63.143
2013/10/08,44.847
2013/10/09,54.391
2013/10/10,37.602
2013/10/11,52.188
2013/10/12,27.291
2013/10/13,39.49
2013/10/14,51.893
2013/10/15,78.972
2013/10/16,89.052
2013/10/17,51.493
2013/10/18,35.772
2013/10/19,62.988
2013/10/20,39.622
2013/10/21,59.341
2013/10/22,74.813
2013/10/23,81.68
2013/10/24,47.48
2013/10/25,31.954
2013/10/26,22.769
2013/10/27,28.514
2013/10/28,55.502
2013/10/29,65.953
2013/10/30,82.045
2013/10/31,34.75
2013/11/01,71.841
2013/11/02,49.321
2013/11/03,56.576
2013/11/04,77.63
2013/11/05,83.08
2013/11/06,72.195
2013/11/07,84.585
2013/11/08,88.944
2013/11/09,92.397
2013/11/10,24.247
2013/11/11,21.355
2013/11/12,46.615
2013/11/13,45.798
2013/11/14,59.021
2013/11/15,63.268
2013/11/16,83.574
2013/11/17,57.138
2013/11/18,89.721
2013/11/19,91.5
2013/11/20,48.012
2013/11/21,40.506
2013/11/22,45.082
2013/11/23,44.47
2013/11/24,18.196
2013/11/25,17.646
2013/11/26,71.354
2013/11/27,86.402
2013/11/28,87.866
2013/11/29,73.361
2013/11/30,42.511
2013/12/01,37.616
2013/12/02,31.989
2013/12/03,21.913
2013/12/04,42.211
2013/12/05,76.078
2013/12/06,39.163
2013/12/07,51.799
2013/12/08,24.676
2013/12/09,28.416
2013/12/10,28.403
2013/12/11,23.328
2013/12/12,18.66
2013/12/13,31.669
2013/12/14,27.987
2013/12/15,14.971
2013/12/16,62.955
2013/12/17,56.277
2013/12/18,73.63
2013/12/19,38.708
2013/12/20,31.46
2013/12/21,15.366
2013/12/22,13.316
2013/12/23,20.027
2013/12/24,43.496
2013/12/25,75.101
2013/12/26,56.846
2013/12/27,41.603
2013/12/28,26.01
2013/12/29,20.637
2013/12/30,61.578
2013/12/31,50.844
