Date,mining_profitability30mom
2013/09/01,-692.324
2013/09/02,-333.41
2013/09/03,-389.227
2013/09/04,-624.113
2013/09/05,-641.425
2013/09/06,-621.553
2013/09/07,-795.123
2013/09/08,-486.66
2013/09/09,-582.723
2013/09/10,-582.055
2013/09/11,-497.931
2013/09/12,-406.665
2013/09/13,-234.684
2013/09/14,-254.035
2013/09/15,-452.546
2013/09/16,-499.228
2013/09/17,-354.586
2013/09/18,-336.365
2013/09/19,-483.577
2013/09/20,-457.46
2013/09/21,-601.543
2013/09/22,-418.528
2013/09/23,-382.395
2013/09/24,-245.029
2013/09/25,-380.528
2013/09/26,-510.162
2013/09/27,-541.609
2013/09/28,-442.812
2013/09/29,-540.597
2013/09/30,-590.49
2013/10/01,-494.481
2013/10/02,-526.936
2013/10/03,-597.409
2013/10/04,-280.086
2013/10/05,-274.57
2013/10/06,-354.403
2013/10/07,-279.81
2013/10/08,-362.775
2013/10/09,-432.804
2013/10/10,-338.255
2013/10/11,-406.981
2013/10/12,-358.959
2013/10/13,-379.546
2013/10/14,-374.546
2013/10/15,-132.691
2013/10/16,-218.952
2013/10/17,-387.335
2013/10/18,-312.983
2013/10/19,-253.255
2013/10/20,-282.636
2013/10/21,-222.756
2013/10/22,-192.86
2013/10/23,-173.264
2013/10/24,-196.821
2013/10/25,-157.233
2013/10/26,-163.084
2013/10/27,-194.044
2013/10/28,-205.845
2013/10/29,-159.677
2013/10/30,-146.549
2013/10/31,-164.753
2013/11/01,-142.047
2013/11/02,-120.923
2013/11/03,-123.596
2013/11/04,-175.762
2013/11/05,-46.624
2013/11/06,-62.892
2013/11/07,-76.889
2013/11/08,-33.511
2013/11/09,14.264
2013/11/10,-20.905
2013/11/11,-56.771
2013/11/12,14.663
2013/11/13,-39.566
2013/11/14,51.427
2013/11/15,132.226
2013/11/16,172.305
2013/11/17,112.245
2013/11/18,120.455
2013/11/19,238.103
2013/11/20,95.056
2013/11/21,126.568
2013/11/22,233.918
2013/11/23,257.236
2013/11/24,259.359
2013/11/25,396.917
2013/11/26,361.27
2013/11/27,567.836
2013/11/28,542.506
2013/11/29,462.264
2013/11/30,565.143
2013/12/01,381.714
2013/12/02,345.338
2013/12/03,530.422
2013/12/04,409.603
2013/12/05,429.132
2013/12/06,463.608
2013/12/07,247.816
2013/12/08,256.84
2013/12/09,181.75
2013/12/10,285.996
2013/12/11,177.486
2013/12/12,114.262
2013/12/13,174.818
2013/12/14,96.639
2013/12/15,16.038
2013/12/16,50.16
2013/12/17,-32.822
2013/12/18,-123.677
2013/12/19,-172.043
2013/12/20,-95.274
2013/12/21,-195.776
2013/12/22,-315.384
2013/12/23,-326.999
2013/12/24,-301.231
2013/12/25,-317.386
2013/12/26,-271.474
2013/12/27,-474.725
2013/12/28,-506.657
2013/12/29,-399.36
2013/12/30,-507.659
