Date,transactionvalue7smaUSD
2013/08/30,1948
2013/08/31,2104
2013/09/01,2226
2013/09/02,2313
2013/09/03,2403
2013/09/04,2504
2013/09/05,2009
2013/09/06,1972
2013/09/07,1851
2013/09/08,1680
2013/09/09,1696
2013/09/10,1582
2013/09/11,1575
2013/09/12,1568
2013/09/13,1638
2013/09/14,1673
2013/09/15,1663
2013/09/16,1600
2013/09/17,1558
2013/09/18,1513
2013/09/19,1519
2013/09/20,1478
2013/09/21,1390
2013/09/22,1425
2013/09/23,1453
2013/09/24,1551
2013/09/25,1575
2013/09/26,1562
2013/09/27,1602
2013/09/28,1682
2013/09/29,1751
2013/09/30,1800
2013/10/01,1869
2013/10/02,1911
2013/10/03,1923
2013/10/04,1926
2013/10/05,1866
2013/10/06,1795
2013/10/07,1749
2013/10/08,1694
2013/10/09,1693
2013/10/10,1687
2013/10/11,1708
2013/10/12,1789
2013/10/13,1877
2013/10/14,1906
2013/10/15,1949
2013/10/16,2029
2013/10/17,2155
2013/10/18,2202
2013/10/19,2353
2013/10/20,2426
2013/10/21,2545
2013/10/22,2703
2013/10/23,2851
2013/10/24,2927
2013/10/25,3788
2013/10/26,3744
2013/10/27,3712
2013/10/28,3640
2013/10/29,4092
2013/10/30,3977
2013/10/31,3873
2013/11/01,3085
2013/11/02,3202
2013/11/03,3384
2013/11/04,3728
2013/11/05,3516
2013/11/06,3685
2013/11/07,4171
2013/11/08,4567
2013/11/09,4883
2013/11/10,4988
2013/11/11,4891
2013/11/12,5099
2013/11/13,5540
2013/11/14,5677
2013/11/15,7376
2013/11/16,8538
2013/11/17,9460
2013/11/18,10985
2013/11/19,12159
2013/11/20,12711
2013/11/21,14397
2013/11/22,14908
2013/11/23,15213
2013/11/24,16213
2013/11/25,16204
2013/11/26,19693
2013/11/27,22558
2013/11/28,24576
2013/11/29,25683
2013/11/30,27252
2013/12/01,27492
2013/12/02,27901
2013/12/03,24466
2013/12/04,22528
2013/12/05,20519
2013/12/06,18560
2013/12/07,18343
2013/12/08,18300
2013/12/09,18183
2013/12/10,17660
2013/12/11,17247
2013/12/12,16530
2013/12/13,16314
2013/12/14,14152
2013/12/15,12507
2013/12/16,13501
2013/12/17,14125
2013/12/18,13988
2013/12/19,13775
2013/12/20,13280
2013/12/21,13344
2013/12/22,13845
2013/12/23,11659
2013/12/24,10867
2013/12/25,10389
2013/12/26,9896
2013/12/27,9634
2013/12/28,9459
2013/12/29,9561
2013/12/30,9899
2013/12/31,9517
2014/01/01,9346
2014/01/02,9523
2014/01/03,10015
2014/01/04,10085
2014/01/05,10394
2014/01/06,10828
2014/01/07,11579
2014/01/08,11763
2014/01/09,11544
2014/01/10,11093
2014/01/11,10622
2014/01/12,9662
2014/01/13,8842
2014/01/14,8552
2014/01/15,8222
2014/01/16,8301
2014/01/17,7926
2014/01/18,7789
2014/01/19,8181
2014/01/20,8510
2014/01/21,7988
2014/01/22,7703
2014/01/23,7376
2014/01/24,7836
2014/01/25,8041
2014/01/26,7528
2014/01/27,7634
2014/01/28,7693
2014/01/29,7719
2014/01/30,7763
2014/01/31,7233
2014/02/01,7206
2014/02/02,7393
2014/02/03,6783
2014/02/04,7026
2014/02/05,7473
2014/02/06,7533
2014/02/07,8051
2014/02/08,7966
2014/02/09,7766
2014/02/10,7928
2014/02/11,7613
2014/02/12,7177
2014/02/13,6980
