Date,transactionfees7rsiUSD
2013/03/24,49.726
2013/03/25,57.213
2013/03/26,59.48
2013/03/27,70.881
2013/03/28,67.654
2013/03/29,66.02
2013/03/30,71.309
2013/03/31,69.161
2013/04/01,52.805
2013/04/02,68.067
2013/04/03,77.254
2013/04/04,79.215
2013/04/05,62.801
2013/04/06,51.393
2013/04/07,60.132
2013/04/08,60.972
2013/04/09,68.882
2013/04/10,78.021
2013/04/11,46.241
2013/04/12,41.56
2013/04/13,37.809
2013/04/14,43.551
2013/04/15,54.07
2013/04/16,37.605
2013/04/17,52.533
2013/04/18,46.465
2013/04/19,49.868
2013/04/20,52.736
2013/04/21,45.612
2013/04/22,53.595
2013/04/23,55.889
2013/04/24,58.708
2013/04/25,60.479
2013/04/26,45.597
2013/04/27,50.665
2013/04/28,45.556
2013/04/29,52.798
2013/04/30,57.831
2013/05/01,43.411
2013/05/02,48.686
2013/05/03,43.48
2013/05/04,45.676
2013/05/05,40.57
2013/05/06,54.218
2013/05/07,45.485
2013/05/08,54.394
2013/05/09,51.681
2013/05/10,50.569
2013/05/11,45.553
2013/05/12,46.809
2013/05/13,53.523
2013/05/14,45.161
2013/05/15,48.379
2013/05/16,66.242
2013/05/17,49.398
2013/05/18,41.905
2013/05/19,53.313
2013/05/20,48.731
2013/05/21,48.119
2013/05/22,54.372
2013/05/23,54.428
2013/05/24,52.142
2013/05/25,57.717
2013/05/26,45.458
2013/05/27,56.862
2013/05/28,57.77
2013/05/29,57.017
2013/05/30,45.87
2013/05/31,45.603
2013/06/01,39.577
2013/06/02,58.626
2013/06/03,61.696
2013/06/04,50.311
2013/06/05,59.509
2013/06/06,38.659
2013/06/07,37.093
2013/06/08,49.148
2013/06/09,40.021
2013/06/10,37.51
2013/06/11,50.769
2013/06/12,49.651
2013/06/13,50.312
2013/06/14,36.266
2013/06/15,47.718
2013/06/16,38.951
2013/06/17,43.761
2013/06/18,46.425
2013/06/19,45.523
2013/06/20,70.788
2013/06/21,50.059
2013/06/22,60.113
2013/06/23,45.962
2013/06/24,46.063
2013/06/25,41.778
2013/06/26,47.232
2013/06/27,39.776
2013/06/28,50.169
2013/06/29,40.48
2013/06/30,49.898
2013/07/01,40.396
2013/07/02,48.31
2013/07/03,45.11
2013/07/04,41.073
2013/07/05,46.418
2013/07/06,44.477
2013/07/07,38.284
2013/07/08,47.732
2013/07/09,48.13
2013/07/10,43.056
2013/07/11,51.577
2013/07/12,45.243
2013/07/13,57.283
2013/07/14,47.106
2013/07/15,45.398
2013/07/16,58.666
2013/07/17,54.061
2013/07/18,56.427
2013/07/19,41.179
2013/07/20,46.241
2013/07/21,46.791
2013/07/22,53.225
2013/07/23,41.561
2013/07/24,55.048
2013/07/25,53.393
2013/07/26,42.447
2013/07/27,56.487
2013/07/28,46.844
2013/07/29,51.473
2013/07/30,58.616
2013/07/31,63.19
2013/08/01,50.718
2013/08/02,42.919
2013/08/03,43.627
2013/08/04,51.436
2013/08/05,43.029
2013/08/06,54.216
2013/08/07,44.56
2013/08/08,56.567
2013/08/09,57.367
2013/08/10,43.849
2013/08/11,54.784
2013/08/12,42.8
2013/08/13,45.27
2013/08/14,56.503
2013/08/15,63.444
2013/08/16,47.458
2013/08/17,43.167
2013/08/18,53.399
2013/08/19,49.132
2013/08/20,44.948
2013/08/21,45.479
2013/08/22,48.6
2013/08/23,50.086
2013/08/24,45.538
2013/08/25,54.924
2013/08/26,57.828
2013/08/27,52.699
2013/08/28,92.707
2013/08/29,45.59
2013/08/30,47.843
2013/08/31,47.638
2013/09/01,46.462
2013/09/02,51.563
2013/09/03,47.165
2013/09/04,45.723
2013/09/05,45.921
2013/09/06,45.971
2013/09/07,44.48
2013/09/08,46.998
2013/09/09,46.304
2013/09/10,45.125
2013/09/11,44.681
2013/09/12,50.233
2013/09/13,45.641
2013/09/14,45.499
2013/09/15,48.318
2013/09/16,61.59
2013/09/17,92.234
2013/09/18,54.967
2013/09/19,52.434
2013/09/20,43.345
2013/09/21,43.888
2013/09/22,43.994
2013/09/23,45.172
2013/09/24,43.751
2013/09/25,45.226
2013/09/26,43.702
2013/09/27,63.321
2013/09/28,46.514
2013/09/29,46.74
2013/09/30,45.541
2013/10/01,48.152
2013/10/02,46.376
2013/10/03,45.391
2013/10/04,43.427
2013/10/05,46.567
2013/10/06,44.41
2013/10/07,52.308
2013/10/08,42.226
2013/10/09,49.658
2013/10/10,48.031
2013/10/11,44.432
2013/10/12,52.735
2013/10/13,51.206
2013/10/14,50.704
2013/10/15,57.489
2013/10/16,67.003
2013/10/17,58.495
2013/10/18,51.96
2013/10/19,55.148
2013/10/20,50.491
2013/10/21,55.612
2013/10/22,60.724
2013/10/23,72.871
2013/10/24,66.987
2013/10/25,67.756
2013/10/26,54.982
2013/10/27,78.031
2013/10/28,46.692
2013/10/29,50.249
2013/10/30,47.608
2013/10/31,43.708
2013/11/01,55.282
2013/11/02,48.021
2013/11/03,65.758
2013/11/04,67.269
2013/11/05,59.702
2013/11/06,85.848
2013/11/07,76.03
2013/11/08,70.572
2013/11/09,51.312
2013/11/10,43.724
2013/11/11,52.032
2013/11/12,38.954
2013/11/13,39.039
2013/11/14,39.294
2013/11/15,38.101
2013/11/16,39.348
2013/11/17,42.748
2013/11/18,48.113
2013/11/19,50.227
2013/11/20,44.144
2013/11/21,53.332
2013/11/22,50.561
2013/11/23,52.173
2013/11/24,49.904
2013/11/25,48.809
2013/11/26,58.037
2013/11/27,65.192
2013/11/28,66.242
2013/11/29,64.185
2013/11/30,63.516
2013/12/01,49.059
2013/12/02,53.92
2013/12/03,54.541
2013/12/04,58.443
2013/12/05,57.061
2013/12/06,46.754
2013/12/07,77.437
2013/12/08,39.375
2013/12/09,46.674
2013/12/10,47.765
2013/12/11,46.741
2013/12/12,43.765
2013/12/13,45.568
2013/12/14,41.541
2013/12/15,39.342
2013/12/16,37.727
2013/12/17,33.234
2013/12/18,29.163
2013/12/19,35.871
2013/12/20,43.269
2013/12/21,36.413
2013/12/22,36.983
2013/12/23,40.239
2013/12/24,40.162
2013/12/25,42.374
2013/12/26,59.891
2013/12/27,53.158
2013/12/28,54.618
2013/12/29,64.462
2013/12/30,45.285
2013/12/31,48.98
2014/01/01,48.071
2014/01/02,58.998
