Date,hashrate14rsi
2012/12/19,51.371
2012/12/20,43.487
2012/12/21,45.406
2012/12/22,49.92
2012/12/23,56.329
2012/12/24,47.048
2012/12/25,48.636
2012/12/26,47.337
2012/12/27,53.013
2012/12/28,54.265
2012/12/29,50.057
2012/12/30,49.656
2012/12/31,55.912
2013/01/01,53.334
2013/01/02,49.9
2013/01/03,51.91
2013/01/04,49.324
2013/01/05,49.282
2013/01/06,45.035
2013/01/07,50.089
2013/01/08,54.529
2013/01/09,46.464
2013/01/10,50.741
2013/01/11,47.013
2013/01/12,42.48
2013/01/13,46.056
2013/01/14,52.126
2013/01/15,49.728
2013/01/16,45.168
2013/01/17,47.649
2013/01/18,43.77
2013/01/19,50.599
2013/01/20,49.633
2013/01/21,52.057
2013/01/22,49.572
2013/01/23,49.251
2013/01/24,48.454
2013/01/25,49.193
2013/01/26,47.485
2013/01/27,52.494
2013/01/28,51.784
2013/01/29,51.553
2013/01/30,52.435
2013/01/31,60.531
2013/02/01,57.779
2013/02/02,54.255
2013/02/03,53.439
2013/02/04,60.915
2013/02/05,60.56
2013/02/06,56.065
2013/02/07,52.163
2013/02/08,53.928
2013/02/09,50.587
2013/02/10,55.257
2013/02/11,59.732
2013/02/12,49.56
2013/02/13,52.579
2013/02/14,57.446
2013/02/15,58.095
2013/02/16,64.362
2013/02/17,65.79
2013/02/18,68.158
2013/02/19,57.166
2013/02/20,61.544
2013/02/21,66.794
2013/02/22,55.644
2013/02/23,56.977
2013/02/24,54.98
2013/02/25,60.484
2013/02/26,55.949
2013/02/27,61.042
2013/02/28,56.674
2013/03/01,54.344
2013/03/02,56.066
2013/03/03,57.359
2013/03/04,64.525
2013/03/05,57.209
2013/03/06,56.056
2013/03/07,53.124
2013/03/08,57.274
2013/03/09,58.713
2013/03/10,63.729
2013/03/11,62.967
2013/03/12,45.031
2013/03/13,52.201
2013/03/14,59.25
2013/03/15,62.115
2013/03/16,59.713
2013/03/17,65.346
2013/03/18,66.233
2013/03/19,62.312
2013/03/20,61.027
2013/03/21,68.372
2013/03/22,69.938
2013/03/23,65.934
2013/03/24,71.817
2013/03/25,60.224
2013/03/26,57.917
2013/03/27,52.646
2013/03/28,59.461
2013/03/29,63.522
2013/03/30,62.364
2013/03/31,58.146
2013/04/01,65.815
2013/04/02,61.746
2013/04/03,60.024
2013/04/04,54.803
2013/04/05,51.468
2013/04/06,59.21
2013/04/07,59.818
2013/04/08,60.28
2013/04/09,61.592
2013/04/10,65.173
2013/04/11,60.06
2013/04/12,57.585
2013/04/13,56.697
2013/04/14,55.189
2013/04/15,55.546
2013/04/16,61.186
2013/04/17,60.636
2013/04/18,64.481
2013/04/19,50.14
2013/04/20,54.46
2013/04/21,62.903
2013/04/22,58.858
2013/04/23,59.158
2013/04/24,60.084
2013/04/25,56.967
2013/04/26,62.662
2013/04/27,56.27
2013/04/28,54.532
2013/04/29,60.299
2013/04/30,60.497
2013/05/01,56.044
2013/05/02,51.79
2013/05/03,51.819
2013/05/04,55.377
2013/05/05,56.038
2013/05/06,64.673
2013/05/07,61.481
2013/05/08,62.389
2013/05/09,59.497
2013/05/10,59.993
2013/05/11,63.099
2013/05/12,65.946
2013/05/13,68.636
2013/05/14,62.535
2013/05/15,52.635
2013/05/16,52.044
2013/05/17,56.417
2013/05/18,51.791
2013/05/19,58.711
2013/05/20,48.792
2013/05/21,48.335
2013/05/22,55.938
2013/05/23,57.258
2013/05/24,60.375
2013/05/25,60.126
2013/05/26,63.036
2013/05/27,66.101
2013/05/28,57.758
2013/05/29,60.492
2013/05/30,62.169
2013/05/31,66.05
2013/06/01,69.019
2013/06/02,73.671
2013/06/03,70.726
2013/06/04,71.119
2013/06/05,76.321
2013/06/06,77.392
2013/06/07,61.946
2013/06/08,64.86
2013/06/09,66.449
2013/06/10,66.544
2013/06/11,62.647
2013/06/12,70.458
2013/06/13,71.992
2013/06/14,59.248
2013/06/15,59.463
2013/06/16,63.363
2013/06/17,67.567
2013/06/18,58.57
2013/06/19,47.873
2013/06/20,56.147
2013/06/21,58.936
2013/06/22,63.93
2013/06/23,63.59
2013/06/24,54.154
2013/06/25,54.839
2013/06/26,60.776
2013/06/27,54.876
2013/06/28,58.591
2013/06/29,58.4
2013/06/30,61.327
2013/07/01,57.306
2013/07/02,57.384
2013/07/03,61.317
2013/07/04,63.58
2013/07/05,63.664
2013/07/06,64.366
2013/07/07,69.455
2013/07/08,65.04
2013/07/09,66.53
2013/07/10,62.386
2013/07/11,73.009
2013/07/12,66.97
2013/07/13,53.402
2013/07/14,60.322
2013/07/15,59.252
2013/07/16,59.899
2013/07/17,58.687
2013/07/18,61.499
2013/07/19,58.332
2013/07/20,62.976
2013/07/21,63.865
2013/07/22,67.944
2013/07/23,60.019
2013/07/24,54.407
2013/07/25,57.942
2013/07/26,61.413
2013/07/27,62.931
2013/07/28,67.061
2013/07/29,58.332
2013/07/30,64.779
2013/07/31,66.676
2013/08/01,65.371
2013/08/02,61.804
2013/08/03,67.714
2013/08/04,66.053
2013/08/05,71.573
2013/08/06,67.386
2013/08/07,68.948
2013/08/08,69.878
2013/08/09,74.434
2013/08/10,66.627
2013/08/11,70.634
2013/08/12,72.289
2013/08/13,64.962
2013/08/14,70.462
2013/08/15,68.095
2013/08/16,68.953
