Date,sentinusd30smaUSD
2013/08/01,67234828
2013/08/02,67819909
2013/08/03,67643718
2013/08/04,66882766
2013/08/05,67931900
2013/08/06,68784192
2013/08/07,69245761
2013/08/08,68734258
2013/08/09,67950415
2013/08/10,66713437
2013/08/11,65169038
2013/08/12,65189606
2013/08/13,67557509
2013/08/14,69716857
2013/08/15,69492176
2013/08/16,69894092
2013/08/17,70162360
2013/08/18,70436044
2013/08/19,72495064
2013/08/20,74246297
2013/08/21,76148926
2013/08/22,76315477
2013/08/23,76680559
2013/08/24,76300821
2013/08/25,75964645
2013/08/26,77039469
2013/08/27,78461992
2013/08/28,78997946
2013/08/29,78510519
2013/08/30,79042674
2013/08/31,78081731
2013/09/01,77637572
2013/09/02,78247993
2013/09/03,80107227
2013/09/04,80781081
2013/09/05,81277930
2013/09/06,81339726
2013/09/07,81453044
2013/09/08,81038094
2013/09/09,81672116
2013/09/10,82631505
2013/09/11,82596123
2013/09/12,81201232
2013/09/13,79519811
2013/09/14,79087795
2013/09/15,77259057
2013/09/16,76856918
2013/09/17,76813466
2013/09/18,76296473
2013/09/19,76427277
2013/09/20,74893276
2013/09/21,73833698
2013/09/22,72865931
2013/09/23,74741924
2013/09/24,76410461
2013/09/25,77021377
2013/09/26,76645267
2013/09/27,76541804
2013/09/28,76090068
2013/09/29,75040161
2013/09/30,75621537
2013/10/01,77586725
2013/10/02,79094181
2013/10/03,78744052
2013/10/04,78403122
2013/10/05,77195852
2013/10/06,76242429
2013/10/07,76593635
2013/10/08,77763130
2013/10/09,78876143
2013/10/10,79387002
2013/10/11,79866894
2013/10/12,79845220
2013/10/13,80031702
2013/10/14,81563683
2013/10/15,83779499
2013/10/16,85520053
2013/10/17,86726268
2013/10/18,88056072
2013/10/19,89699050
2013/10/20,90488324
2013/10/21,94153208
2013/10/22,98893054
2013/10/23,101612319
2013/10/24,103995056
2013/10/25,116528301
2013/10/26,117385808
2013/10/27,117467621
2013/10/28,119021098
2013/10/29,127477084
2013/10/30,128561707
2013/10/31,128199887
2013/11/01,127616538
2013/11/02,127777204
2013/11/03,128119120
2013/11/04,132530221
2013/11/05,138175475
2013/11/06,142104054
2013/11/07,149089360
2013/11/08,155108402
2013/11/09,161120568
2013/11/10,164702718
2013/11/11,168336920
2013/11/12,176220992
2013/11/13,185680671
2013/11/14,194545466
2013/11/15,222715471
2013/11/16,238529942
2013/11/17,250172778
2013/11/18,278645586
2013/11/19,315693225
2013/11/20,336575409
2013/11/21,370261557
2013/11/22,415297553
2013/11/23,444933597
2013/11/24,463067883
2013/11/25,492718503
2013/11/26,593789568
2013/11/27,684794276
2013/11/28,774679409
2013/11/29,851828505
2013/11/30,910742390
2013/12/01,950758302
2013/12/02,989267806
2013/12/03,1023346261
2013/12/04,1061515145
2013/12/05,1101353022
2013/12/06,1128574501
2013/12/07,1174284050
2013/12/08,1193903585
2013/12/09,1218154461
2013/12/10,1235708509
2013/12/11,1260640793
2013/12/12,1275208774
2013/12/13,1287608213
2013/12/14,1291876356
2013/12/15,1271292240
2013/12/16,1304519250
2013/12/17,1323200367
2013/12/18,1325210670
2013/12/19,1311563316
2013/12/20,1304958091
2013/12/21,1283993441
2013/12/22,1251258921
2013/12/23,1230575170
2013/12/24,1215698559
2013/12/25,1201167823
2013/12/26,1111450465
2013/12/27,1031003658
2013/12/28,944785613
2013/12/29,883020914
2013/12/30,839198573
2013/12/31,806646700
2014/01/01,777870621
2014/01/02,757401696
2014/01/03,735834466
2014/01/04,705492562
2014/01/05,697841113
2014/01/06,672543691
2014/01/07,669975875
2014/01/08,656512752
2014/01/09,646681116
2014/01/10,629961842
2014/01/11,615934888
2014/01/12,601510393
2014/01/13,597673731
2014/01/14,604625249
2014/01/15,567503868
2014/01/16,548283302
2014/01/17,522850286
2014/01/18,504773207
2014/01/19,499677360
2014/01/20,500962469
2014/01/21,498153257
2014/01/22,495469920
2014/01/23,489842258
2014/01/24,489907643
2014/01/25,487473312
2014/01/26,483678068
2014/01/27,493779420
2014/01/28,489482671
2014/01/29,482251428
