Date,hashrate7mom
2012/11/06,-1144078203682
2012/11/07,802363215104
2012/11/08,3976457281536
2012/11/09,913976876189
2012/11/10,2004594007699
2012/11/11,-2395831210944
2012/11/12,-1566968136842
2012/11/13,-1591018741725
2012/11/14,388359285870
2012/11/15,-3109673957194
2012/11/16,-1224157203680
2012/11/17,-1349174859633
2012/11/18,2427496308864
2012/11/19,-1578456422342
2012/11/20,3368560243365
2012/11/21,281980514388
2012/11/22,2374779593527
2012/11/23,1002737053048
2012/11/24,2602930231326
2012/11/25,-911779871858
2012/11/26,4519278857525
2012/11/27,324522298996
2012/11/28,2791441448223
2012/11/29,3272816095824
2012/11/30,-483341629494
2012/12/01,-1309463133720
2012/12/02,1322292991239
2012/12/03,-1374750089200
2012/12/04,-3893483791100
2012/12/05,-7633529858577
2012/12/06,-6616651328099
2012/12/07,-1594891305473
2012/12/08,-1637557115192
2012/12/09,-3911495847266
2012/12/10,-2377376520183
2012/12/11,1688349308653
2012/12/12,3948955918042
2012/12/13,-578854276322
2012/12/14,-2376337640525
2012/12/15,-5879669370264
2012/12/16,-2695401891433
2012/12/17,-2861303697357
2012/12/18,-2052246893928
2012/12/19,-698424004130
2012/12/20,-2324438165314
2012/12/21,667518462625
2012/12/22,4168807833081
2012/12/23,5696588994136
2012/12/24,911648035781
2012/12/25,124440284710
2012/12/26,-2177633817863
2012/12/27,4206350209633
2012/12/28,4093595970904
2012/12/29,284020158769
2012/12/30,-3019549848811
2012/12/31,4493512166229
2013/01/01,2614534560935
2013/01/02,1747945849735
2013/01/03,-106683184535
2013/01/04,-1877849104882
2013/01/05,21908039723
2013/01/06,-1616915179717
2013/01/07,-2676370059795
2013/01/08,387641286955
2013/01/09,-1641327797112
2013/01/10,-622999646243
2013/01/11,-1293098388721
2013/01/12,-3684683678888
2013/01/13,-322312069612
2013/01/14,600724119943
2013/01/15,-2521154319227
2013/01/16,-1327380394531
2013/01/17,-2132339388609
2013/01/18,-2407346219716
2013/01/19,3252430484878
2013/01/20,1230717458175
2013/01/21,-492778747795
2013/01/22,-484445265132
2013/01/23,1731952162947
2013/01/24,254440231930
2013/01/25,2603169002528
2013/01/26,-1316527069417
2013/01/27,1053436946785
2013/01/28,-387826207558
2013/01/29,685590710566
2013/01/30,1130370283441
2013/01/31,4602757958559
2013/02/01,3503032064467
2013/02/02,3093449794135
2013/02/03,956435309753
2013/02/04,4168535559174
2013/02/05,4145877780602
2013/02/06,2564487398303
2013/02/07,-1763863495744
2013/02/08,-337574468474
2013/02/09,-278596245965
2013/02/10,1566609299887
2013/02/11,347566642607
2013/02/12,-2870409546503
2013/02/13,-436295139953
2013/02/14,2807684452840
2013/02/15,2480433151271
2013/02/16,6566438176753
2013/02/17,5766233284788
2013/02/18,5394292959677
2013/02/19,5179756539635
2013/02/20,6343679513209
2013/02/21,7626093231633
2013/02/22,2806155135129
2013/02/23,521162857616
2013/02/24,-1150381175695
2013/02/25,716237068837
2013/02/26,2256751023666
2013/02/27,3166591650771
2013/02/28,-2156290340552
2013/03/01,1266196000729
2013/03/02,1468383061697
2013/03/03,3079669302016
2013/03/04,4522246506800
2013/03/05,3208323539704
2013/03/06,-574236444564
2013/03/07,5931408214
2013/03/08,3559242322482
2013/03/09,3468293841534
2013/03/10,6138444352288
2013/03/11,1144915245362
2013/03/12,-5287550936816
2013/03/13,31607069766
2013/03/14,7312236986606
2013/03/15,7662340395530
2013/03/16,5285964178843
2013/03/17,7672031584368
2013/03/18,8997404572718
2013/03/19,16429859156781
2013/03/20,10906128303894
2013/03/21,13006451287941
2013/03/22,12258048069751
2013/03/23,11413516629548
2013/03/24,13506139433483
2013/03/25,4336700038458
2013/03/26,4773482879285
2013/03/27,998373591681
2013/03/28,815876910502
2013/03/29,4361940220589
2013/03/30,5727614732083
2013/03/31,-5710137149638
2013/04/01,13397517677322
2013/04/02,11610334523600
2013/04/03,14571769384665
2013/04/04,1791589943283
2013/04/05,-7255263677346
2013/04/06,3720072498166
2013/04/07,8156539106339
2013/04/08,-2153978562288
2013/04/09,3266046873820
2013/04/10,9936136292429
2013/04/11,10614323468051
2013/04/12,11872824980999
2013/04/13,1084656577772
2013/04/14,-1073343484471
2013/04/15,-1353747264139
2013/04/16,2943012412377
2013/04/17,-2553885906906
2013/04/18,6264392475735
2013/04/19,-3769482394850
2013/04/20,1850831492606
2013/04/21,14944159270288
2013/04/22,10518932650208
2013/04/23,4890236734373
2013/04/24,6566744868456
2013/04/25,-788142069154
2013/04/26,19242444143769
2013/04/27,8182520926964
2013/04/28,-5438109653450
2013/04/29,6503493854254
2013/04/30,6361431561756
2013/05/01,812327765545
2013/05/02,-761358466481
2013/05/03,-8527314662305
