Date,top100cap
2013/06/14,19.998
2013/06/15,20.004
2013/06/16,20.032
2013/06/17,20.043
2013/06/18,20.043
2013/06/19,20.077
2013/06/20,20.07
2013/06/21,20.083
2013/06/22,20.048
2013/06/23,20.08
2013/06/24,20.082
2013/06/25,20.03
2013/06/26,20.052
2013/06/27,20.083
2013/06/28,20.103
2013/06/29,20.145
2013/06/30,20.147
2013/07/01,20.211
2013/07/02,20.251
2013/07/03,20.262
2013/07/04,20.347
2013/07/05,20.429
2013/07/06,20.543
2013/07/07,20.535
2013/07/08,20.592
2013/07/09,20.6
2013/07/10,20.575
2013/07/11,20.594
2013/07/12,20.506
2013/07/13,20.417
2013/07/14,20.359
2013/07/15,20.322
2013/07/16,20.283
2013/07/17,20.35
2013/07/18,20.664
2013/07/19,20.55
2013/07/20,20.518
2013/07/21,20.528
2013/07/22,20.539
2013/07/23,20.479
2013/07/24,20.503
2013/07/25,20.506
2013/07/26,20.476
2013/07/27,20.494
2013/07/28,20.501
2013/07/29,20.592
2013/07/30,20.625
2013/07/31,20.743
2013/08/01,20.665
2013/08/02,20.675
2013/08/03,20.597
2013/08/04,20.589
2013/08/05,20.528
2013/08/06,20.558
2013/08/07,20.595
2013/08/08,20.619
2013/08/09,20.583
2013/08/10,20.516
2013/08/11,20.635
2013/08/12,20.871
2013/08/13,20.953
2013/08/14,20.879
2013/08/15,20.792
2013/08/16,20.712
2013/08/17,20.564
2013/08/18,20.559
2013/08/19,20.571
2013/08/20,20.438
2013/08/21,20.385
2013/08/22,20.39
2013/08/23,20.244
2013/08/24,20.235
2013/08/25,20.252
2013/08/26,20.216
2013/08/27,20.163
2013/08/28,20.189
2013/08/29,20.029
2013/08/30,20.025
2013/08/31,20.002
2013/09/01,19.939
2013/09/02,19.903
2013/09/03,19.894
2013/09/04,19.955
2013/09/05,19.834
2013/09/06,19.831
2013/09/07,19.805
2013/09/08,19.807
2013/09/09,19.654
2013/09/10,19.665
2013/09/11,19.616
2013/09/12,19.582
2013/09/13,19.549
2013/09/14,19.537
2013/09/15,19.514
2013/09/16,19.451
2013/09/17,19.45
2013/09/18,19.421
2013/09/19,19.554
2013/09/20,19.554
2013/09/21,19.548
2013/09/22,19.385
2013/09/23,19.422
2013/09/24,19.38
2013/09/25,19.349
2013/09/26,19.382
2013/09/27,19.417
2013/09/28,19.409
2013/09/29,19.453
2013/09/30,19.454
2013/10/01,19.487
2013/10/02,19.674
2013/10/03,19.869
2013/10/04,19.85
2013/10/05,19.864
2013/10/06,19.828
2013/10/07,19.819
2013/10/08,19.818
2013/10/09,19.771
2013/10/10,19.766
2013/10/11,19.864
2013/10/12,19.881
2013/10/13,19.893
2013/10/14,19.854
2013/10/15,19.839
2013/10/16,19.788
2013/10/17,19.773
2013/10/18,19.869
2013/10/19,19.899
2013/10/20,19.882
2013/10/21,19.775
2013/10/22,19.693
2013/10/23,19.69
2013/10/24,19.644
2013/10/25,20.693
2013/10/26,20.742
2013/10/27,20.743
2013/10/28,20.72
2013/10/29,20.719
2013/10/30,20.753
2013/10/31,20.772
2013/11/01,20.807
2013/11/02,20.786
2013/11/03,20.834
2013/11/04,21.31
2013/11/05,21.381
2013/11/06,21.43
2013/11/07,21.453
2013/11/08,21.453
2013/11/09,21.443
2013/11/10,21.464
2013/11/11,21.431
2013/11/12,21.412
2013/11/13,21.349
2013/11/14,21.361
2013/11/15,21.328
2013/11/16,21.35
2013/11/17,21.373
2013/11/18,21.375
2013/11/19,21.43
2013/11/20,21.418
2013/11/21,21.348
2013/11/22,22.081
2013/11/23,21.765
2013/11/24,21.754
2013/11/25,21.7
2013/11/26,21.635
2013/11/27,21.553
2013/11/28,21.628
2013/11/29,21.463
2013/11/30,21.376
2013/12/01,21.399
2013/12/02,21.355
2013/12/03,21.368
2013/12/04,21.36
2013/12/05,21.305
2013/12/06,21.435
2013/12/07,21.444
2013/12/08,21.404
2013/12/09,21.422
2013/12/10,21.646
2013/12/11,21.823
2013/12/12,21.861
2013/12/13,21.927
2013/12/14,21.852
2013/12/15,21.836
2013/12/16,21.829
2013/12/17,21.827
2013/12/18,21.837
2013/12/19,21.824
2013/12/20,21.807
2013/12/21,21.728
2013/12/22,21.686
2013/12/23,21.666
2013/12/24,21.707
2013/12/25,21.323
2013/12/26,21.319
2013/12/27,21.304
2013/12/28,21.303
2013/12/29,21.282
2013/12/30,21.335
2013/12/31,21.301
2014/01/01,21.061
2014/01/02,21.074
2014/01/03,21.089
2014/01/04,21.149
2014/01/05,21.093
