Date,price14emaUSD
2013/01/19,14.249
2013/01/20,14.393
2013/01/21,14.584
2013/01/22,14.858
2013/01/23,15.147
2013/01/24,15.386
2013/01/25,15.578
2013/01/26,15.789
2013/01/27,15.989
2013/01/28,16.219
2013/01/29,16.528
2013/01/30,16.854
2013/01/31,17.236
2013/02/01,17.634
2013/02/02,17.952
2013/02/03,18.228
2013/02/04,18.48
2013/02/05,18.698
2013/02/06,18.934
2013/02/07,19.239
2013/02/08,19.606
2013/02/09,20.031
2013/02/10,20.462
2013/02/11,20.894
2013/02/12,21.323
2013/02/13,21.713
2013/02/14,22.173
2013/02/15,22.732
2013/02/16,23.24
2013/02/17,23.681
2013/02/18,24.06
2013/02/19,24.544
2013/02/20,25.131
2013/02/21,25.684
2013/02/22,26.16
2013/02/23,26.54
2013/02/24,26.837
2013/02/25,27.099
2013/02/26,27.371
2013/02/27,27.702
2013/02/28,28.19
2013/03/01,28.863
2013/03/02,29.43
2013/03/03,29.834
2013/03/04,30.303
2013/03/05,31.146
2013/03/06,32.192
2013/03/07,33.232
2013/03/08,34.306
2013/03/09,35.487
2013/03/10,36.678
2013/03/11,37.803
2013/03/12,38.644
2013/03/13,39.196
2013/03/14,39.744
2013/03/15,40.257
2013/03/16,40.778
2013/03/17,41.198
2013/03/18,41.873
2013/03/19,43.141
2013/03/20,45.089
2013/03/21,47.609
2013/03/22,50.026
2013/03/23,51.838
2013/03/24,53.562
2013/03/25,55.64
2013/03/26,57.782
2013/03/27,60.643
2013/03/28,63.99
2013/03/29,67.004
2013/03/30,69.73
2013/03/31,72.306
2013/04/01,75.294
2013/04/02,79.621
2013/04/03,85.006
2013/04/04,90.146
2013/04/05,95.282
2013/04/06,100.46
2013/04/07,106.009
2013/04/08,113.683
2013/04/09,124.578
2013/04/10,131.767
2013/04/11,129.532
2013/04/12,124.587
2013/04/13,121.1
2013/04/14,117.2
2013/04/15,113.187
2013/04/16,108.101
2013/04/17,104.052
2013/04/18,102.803
2013/04/19,103.322
2013/04/20,104.81
2013/04/21,106.075
2013/04/22,107.069
2013/04/23,108.897
2013/04/24,112.351
