Date,transactions7var
2013/10/01,39694310
2013/10/02,56930894
2013/10/03,61294760
2013/10/04,58630100
2013/10/05,52229954
2013/10/06,47411494
2013/10/07,52047196
2013/10/08,51726496
2013/10/09,29446558
2013/10/10,21923620
2013/10/11,21899172
2013/10/12,20696723
2013/10/13,15118685
2013/10/14,15418828
2013/10/15,9005437
2013/10/16,8914913
2013/10/17,11098357
2013/10/18,18416300
2013/10/19,16609620
2013/10/20,18415646
2013/10/21,22838106
2013/10/22,37832962
2013/10/23,34471557
2013/10/24,25229315
2013/10/25,25023970
2013/10/26,37936202
2013/10/27,54279885
2013/10/28,53565788
2013/10/29,37633876
2013/10/30,38303834
2013/10/31,23423838
2013/11/01,18890303
2013/11/02,31493500
2013/11/03,48356585
2013/11/04,45411373
2013/11/05,47579367
2013/11/06,56910550
2013/11/07,65170607
2013/11/08,79969113
2013/11/09,63743811
2013/11/10,22490473
2013/11/11,7672621
2013/11/12,3477606
2013/11/13,8069761
2013/11/14,21535707
2013/11/15,21388902
2013/11/16,41579698
2013/11/17,49582833
2013/11/18,100304985
2013/11/19,214662229
2013/11/20,228426573
2013/11/21,229904133
2013/11/22,225824116
2013/11/23,131988622
2013/11/24,79587419
2013/11/25,79636878
2013/11/26,41789454
2013/11/27,101838340
2013/11/28,158394993
2013/11/29,168071667
2013/11/30,161891129
2013/12/01,108631230
2013/12/02,97319969
2013/12/03,103031853
2013/12/04,79698244
2013/12/05,30995582
2013/12/06,14078112
2013/12/07,23774946
2013/12/08,121594323
2013/12/09,126546591
2013/12/10,117539178
2013/12/11,97890646
2013/12/12,58211608
2013/12/13,46202590
2013/12/14,45740447
2013/12/15,31562169
2013/12/16,40764252
2013/12/17,40957198
2013/12/18,89918292
2013/12/19,90096518
2013/12/20,86138893
2013/12/21,79758413
2013/12/22,77459817
2013/12/23,91389737
2013/12/24,95891734
2013/12/25,36007369
2013/12/26,16795269
2013/12/27,2920367
2013/12/28,6220931
2013/12/29,6531797
2013/12/30,7357068
2013/12/31,7423379
2014/01/01,13655261
2014/01/02,16360399
2014/01/03,29723174
2014/01/04,27363091
2014/01/05,31703733
2014/01/06,55873090
2014/01/07,54907647
2014/01/08,22341016
2014/01/09,18585320
2014/01/10,23041650
2014/01/11,16981346
2014/01/12,28011850
2014/01/13,17455685
2014/01/14,11479804
2014/01/15,11767550
2014/01/16,10437129
2014/01/17,11262086
2014/01/18,14126298
2014/01/19,18628629
2014/01/20,24466016
2014/01/21,55487383
2014/01/22,60883788
2014/01/23,61102856
2014/01/24,63599990
2014/01/25,57759492
2014/01/26,39590865
2014/01/27,39990341
2014/01/28,26585654
2014/01/29,24147440
2014/01/30,22993078
2014/01/31,18776190
2014/02/01,17285970
2014/02/02,19483250
2014/02/03,16143953
2014/02/04,26167175
2014/02/05,34468994
2014/02/06,46063466
2014/02/07,54450825
2014/02/08,42564167
2014/02/09,30156354
2014/02/10,20217340
2014/02/11,18709838
2014/02/12,20352960
2014/02/13,17583906
2014/02/14,26622309
2014/02/15,28454802
2014/02/16,26338072
2014/02/17,28232564
2014/02/18,27238621
2014/02/19,30117440
2014/02/20,33963208
2014/02/21,23731614
2014/02/22,28039742
2014/02/23,23544130
2014/02/24,28347641
2014/02/25,48323175
2014/02/26,50398668
