Date,difficulty30std
2013/05/25,1554366
2013/05/26,1579043
2013/05/27,1575075
2013/05/28,1542242
2013/05/29,1478621
2013/05/30,1503711
2013/05/31,1532907
2013/06/01,1549228
2013/06/02,1553082
2013/06/03,1544561
2013/06/04,1523457
2013/06/05,1651231
2013/06/06,2178480
2013/06/07,2548180
2013/06/08,2822924
2013/06/09,3028666
2013/06/10,3178831
2013/06/11,3301942
2013/06/12,3449419
2013/06/13,3566600
2013/06/14,3656398
2013/06/15,3720798
2013/06/16,3792079
2013/06/17,4302806
2013/06/18,4696563
2013/06/19,5001056
2013/06/20,5231893
2013/06/21,5398530
2013/06/22,5506800
2013/06/23,5560113
2013/06/24,5585746
2013/06/25,5626064
2013/06/26,5625447
2013/06/27,5583881
2013/06/28,5500436
2013/06/29,5438446
2013/06/30,5432833
2013/07/01,5357729
2013/07/02,5210128
2013/07/03,4983594
2013/07/04,4666646
2013/07/05,4465205
2013/07/06,4459405
2013/07/07,4420714
2013/07/08,4348254
2013/07/09,4240294
2013/07/10,4094027
2013/07/11,4522294
2013/07/12,4821899
2013/07/13,5005954
2013/07/14,5087015
2013/07/15,5070025
2013/07/16,5006246
2013/07/17,5215479
2013/07/18,5378296
2013/07/19,5498821
2013/07/20,5579795
2013/07/21,5622927
2013/07/22,5720734
2013/07/23,6312043
2013/07/24,6759768
2013/07/25,7091160
2013/07/26,7322030
2013/07/27,7461716
2013/07/28,7515303
2013/07/29,7571808
2013/07/30,7661649
2013/07/31,7693793
2013/08/01,7668966
2013/08/02,7586607
2013/08/03,7718281
2013/08/04,8184913
2013/08/05,8492458
2013/08/06,8657883
2013/08/07,8689311
2013/08/08,8588212
2013/08/09,8349774
2013/08/10,8525812
2013/08/11,8637414
2013/08/12,8683283
2013/08/13,8902764
2013/08/14,10870919
2013/08/15,12316436
2013/08/16,13409411
2013/08/17,14231306
2013/08/18,14827267
2013/08/19,15223851
2013/08/20,15436433
2013/08/21,15577928
2013/08/22,15911486
2013/08/23,16133208
2013/08/24,16792721
2013/08/25,18636802
2013/08/26,20052170
2013/08/27,21125173
2013/08/28,21906176
2013/08/29,22425708
2013/08/30,22701728
2013/08/31,22743104
2013/09/01,22551127
2013/09/02,22438110
2013/09/03,22441738
2013/09/04,24167428
2013/09/05,26221984
2013/09/06,27736345
2013/09/07,28795865
2013/09/08,29449675
2013/09/09,29724560
2013/09/10,29631067
2013/09/11,29165654
2013/09/12,28628053
2013/09/13,28902478
2013/09/14,28994386
2013/09/15,32134071
2013/09/16,34504402
2013/09/17,36256589
2013/09/18,37477432
2013/09/19,38217885
2013/09/20,38505672
2013/09/21,38350984
2013/09/22,37748383
2013/09/23,37326702
2013/09/24,37492568
2013/09/25,38711173
2013/09/26,42767615
2013/09/27,45806607
2013/09/28,48021704
2013/09/29,49523582
2013/09/30,50376072
2013/10/01,50612000
2013/10/02,50240052
2013/10/03,49246456
2013/10/04,49432713
2013/10/05,49678654
2013/10/06,51070920
2013/10/07,55279081
2013/10/08,58396937
2013/10/09,60593029
2013/10/10,61965438
2013/10/11,62568390
2013/10/12,62424183
2013/10/13,61527566
2013/10/14,59876361
2013/10/15,60282702
2013/10/16,63661847
2013/10/17,73934618
2013/10/18,81645491
2013/10/19,87474602
2013/10/20,91781191
2013/10/21,94773042
2013/10/22,96572425
2013/10/23,97245558
2013/10/24,96815934
2013/10/25,96741993
2013/10/26,113228538
2013/10/27,128917778
2013/10/28,141059721
2013/10/29,150515301
2013/10/30,157768267
2013/10/31,163112710
2013/11/01,166732257
2013/11/02,168737946
2013/11/03,169187184
2013/11/04,168092448
2013/11/05,168967036
2013/11/06,182826498
2013/11/07,193343149
2013/11/08,201042268
2013/11/09,206239641
2013/11/10,209121881
2013/11/11,209784432
2013/11/12,208248483
2013/11/13,204464492
2013/11/14,198303813
2013/11/15,193586124
2013/11/16,192103285
2013/11/17,191805406
2013/11/18,196856664
2013/11/19,199192393
