Date,size3ema
2012/09/09,86960
2012/09/10,91042
2012/09/11,101179
2012/09/12,89615
2012/09/13,94812
2012/09/14,97324
2012/09/15,89314
2012/09/16,85233
2012/09/17,74875
2012/09/18,80104
2012/09/19,89836
2012/09/20,87431
2012/09/21,84402
2012/09/22,78409
2012/09/23,79590
2012/09/24,82608
2012/09/25,76748
2012/09/26,89957
2012/09/27,83795
2012/09/28,88517
2012/09/29,77988
2012/09/30,70747
2012/10/01,82888
2012/10/02,93618
2012/10/03,97759
2012/10/04,108682
2012/10/05,112865
2012/10/06,106223
2012/10/07,118154
2012/10/08,107551
2012/10/09,111292
2012/10/10,103310
2012/10/11,97246
2012/10/12,93452
2012/10/13,98148
2012/10/14,100164
2012/10/15,93175
2012/10/16,98864
2012/10/17,105293
2012/10/18,98683
2012/10/19,96257
2012/10/20,94471
2012/10/21,104630
2012/10/22,112300
2012/10/23,116765
2012/10/24,105786
2012/10/25,99238
2012/10/26,82460
2012/10/27,64303
2012/10/28,58572
2012/10/29,65448
2012/10/30,81242
2012/10/31,86804
2012/11/01,83847
2012/11/02,88249
2012/11/03,81597
2012/11/04,77765
2012/11/05,87125
2012/11/06,97946
2012/11/07,102136
2012/11/08,100489
2012/11/09,88850
2012/11/10,88800
2012/11/11,80030
2012/11/12,81751
2012/11/13,84556
2012/11/14,88871
2012/11/15,104679
2012/11/16,114185
2012/11/17,116639
2012/11/18,111247
2012/11/19,112563
2012/11/20,112480
2012/11/21,117028
2012/11/22,108269
2012/11/23,104190
2012/11/24,97280
2012/11/25,107809
2012/11/26,107840
2012/11/27,98444
2012/11/28,98961
2012/11/29,101873
2012/11/30,104215
2012/12/01,97948
2012/12/02,83017
2012/12/03,76679
2012/12/04,106960
2012/12/05,120870
2012/12/06,125762
2012/12/07,118649
2012/12/08,112141
2012/12/09,114436
2012/12/10,116919
2012/12/11,117538
2012/12/12,124237
2012/12/13,137524
2012/12/14,152829
2012/12/15,138494
2012/12/16,140825
2012/12/17,136302
2012/12/18,159629
2012/12/19,148247
2012/12/20,151646
2012/12/21,152522
2012/12/22,145979
2012/12/23,140048
2012/12/24,137750
2012/12/25,119364
2012/12/26,118461
2012/12/27,124860
2012/12/28,125733
2012/12/29,125378
2012/12/30,120201
2012/12/31,104335
2013/01/01,96684
2013/01/02,105380
2013/01/03,106702
2013/01/04,124256
2013/01/05,121248
2013/01/06,110928
2013/01/07,108165
2013/01/08,128734
2013/01/09,138535
2013/01/10,151109
2013/01/11,169143
2013/01/12,166120
2013/01/13,164244
2013/01/14,145677
2013/01/15,151987
2013/01/16,166362
2013/01/17,183172
2013/01/18,184187
2013/01/19,171914
2013/01/20,156247
2013/01/21,147875
2013/01/22,146330
2013/01/23,160315
2013/01/24,155553
2013/01/25,159848
2013/01/26,155971
2013/01/27,159046
2013/01/28,163693
2013/01/29,160495
2013/01/30,143932
2013/01/31,134208
2013/02/01,156626
2013/02/02,157624
2013/02/03,153421
2013/02/04,153441
2013/02/05,147533
2013/02/06,138407
2013/02/07,158065
2013/02/08,169190
2013/02/09,174242
2013/02/10,164091
2013/02/11,164465
2013/02/12,178460
2013/02/13,168399
2013/02/14,163111
2013/02/15,154484
2013/02/16,139682
2013/02/17,132847
2013/02/18,138393
2013/02/19,149415
2013/02/20,149381
2013/02/21,145795
2013/02/22,156385
2013/02/23,159738
2013/02/24,159563
2013/02/25,154644
2013/02/26,164666
2013/02/27,155210
2013/02/28,164396
2013/03/01,180467
2013/03/02,180412
2013/03/03,168747
2013/03/04,166714
2013/03/05,180605
2013/03/06,187562
2013/03/07,194695
2013/03/08,178064
2013/03/09,167448
2013/03/10,176402
2013/03/11,173433
2013/03/12,176672
2013/03/13,172092
2013/03/14,164025
2013/03/15,168301
2013/03/16,134625
2013/03/17,107761
2013/03/18,107655
2013/03/19,120054
2013/03/20,112046
2013/03/21,119535
2013/03/22,125091
2013/03/23,125139
2013/03/24,127539
2013/03/25,148055
2013/03/26,154717
2013/03/27,172703
2013/03/28,173981
2013/03/29,175901
2013/03/30,181822
2013/03/31,164826
2013/04/01,152041
2013/04/02,163742
2013/04/03,173975
2013/04/04,197772
2013/04/05,193919
2013/04/06,176243
2013/04/07,190827
2013/04/08,192973
2013/04/09,186051
2013/04/10,177246
2013/04/11,196870
2013/04/12,180323
2013/04/13,162756
2013/04/14,168962
2013/04/15,165425
2013/04/16,173308
2013/04/17,168555
2013/04/18,156487
2013/04/19,184039
2013/04/20,170724
2013/04/21,146888
2013/04/22,146969
2013/04/23,160710
2013/04/24,185135
2013/04/25,180384
2013/04/26,168988
2013/04/27,158064
2013/04/28,140001
2013/04/29,143742
2013/04/30,162577
2013/05/01,166437
2013/05/02,181641
2013/05/03,182018
2013/05/04,169952
2013/05/05,161258
2013/05/06,162180
2013/05/07,166570
2013/05/08,161541
2013/05/09,175292
2013/05/10,182926
2013/05/11,186739
2013/05/12,184417
2013/05/13,176565
2013/05/14,189200
2013/05/15,203555
2013/05/16,202307
2013/05/17,188116
2013/05/18,177791
2013/05/19,159640
2013/05/20,170266
2013/05/21,172098
2013/05/22,165457
2013/05/23,163825
2013/05/24,161375
2013/05/25,155156
2013/05/26,144235
2013/05/27,146370
2013/05/28,157939
2013/05/29,158965
2013/05/30,157602
2013/05/31,152440
2013/06/01,138612
2013/06/02,129936
2013/06/03,128171
2013/06/04,128941
2013/06/05,138339
2013/06/06,140893
2013/06/07,147833
2013/06/08,135337
2013/06/09,134652
2013/06/10,126653
2013/06/11,124885
2013/06/12,115538
2013/06/13,111786
2013/06/14,121199
2013/06/15,108870
2013/06/16,107647
2013/06/17,125397
2013/06/18,137433
2013/06/19,148837
2013/06/20,153585
2013/06/21,142830
2013/06/22,130218
2013/06/23,118490
2013/06/24,126941
2013/06/25,127441
2013/06/26,124063
2013/06/27,125730
2013/06/28,130532
2013/06/29,118122
2013/06/30,105356
2013/07/01,109323
2013/07/02,113306
2013/07/03,99649
2013/07/04,98441
2013/07/05,94328
2013/07/06,89298
2013/07/07,82683
2013/07/08,88574
2013/07/09,95921
2013/07/10,94438
2013/07/11,104817
2013/07/12,128381
2013/07/13,121927
2013/07/14,109628
2013/07/15,107268
2013/07/16,109076
2013/07/17,104951
2013/07/18,110995
2013/07/19,103930
2013/07/20,93457
2013/07/21,88217
2013/07/22,99035
2013/07/23,111609
2013/07/24,118271
2013/07/25,129232
2013/07/26,117423
2013/07/27,106062
2013/07/28,105013
2013/07/29,107872
2013/07/30,103917
2013/07/31,114476
2013/08/01,124954
2013/08/02,122295
2013/08/03,123807
2013/08/04,118558
2013/08/05,120131
2013/08/06,122988
2013/08/07,129096
2013/08/08,127746
2013/08/09,119914
2013/08/10,116244
2013/08/11,98552
2013/08/12,116312
2013/08/13,127515
2013/08/14,136487
2013/08/15,149795
2013/08/16,166127
2013/08/17,147912
2013/08/18,139231
2013/08/19,158554
2013/08/20,154971
2013/08/21,146514
2013/08/22,139609
2013/08/23,136316
2013/08/24,133722
2013/08/25,138300
2013/08/26,144530
2013/08/27,160268
2013/08/28,160062
2013/08/29,146548
2013/08/30,142721
2013/08/31,120388
2013/09/01,107707
2013/09/02,106889
2013/09/03,118839
2013/09/04,132890
2013/09/05,137706
2013/09/06,142321
2013/09/07,149503
2013/09/08,140428
2013/09/09,131962
2013/09/10,128719
2013/09/11,117930
2013/09/12,116114
2013/09/13,108490
2013/09/14,99238
2013/09/15,119505
2013/09/16,140511
2013/09/17,153054
2013/09/18,158539
2013/09/19,147667
2013/09/20,139349
2013/09/21,131865
2013/09/22,122274
2013/09/23,130257
2013/09/24,131105
2013/09/25,124276
2013/09/26,142537
2013/09/27,132963
2013/09/28,123225
2013/09/29,119055
2013/09/30,126284
2013/10/01,132907
2013/10/02,147402
2013/10/03,146306
2013/10/04,138187
2013/10/05,117230
2013/10/06,115030
2013/10/07,130274
2013/10/08,128813
2013/10/09,130875
2013/10/10,134253
2013/10/11,130929
2013/10/12,119176
2013/10/13,118753
2013/10/14,116039
2013/10/15,108394
2013/10/16,112924
2013/10/17,123140
2013/10/18,133126
2013/10/19,131525
2013/10/20,126570
2013/10/21,133172
2013/10/22,133817
2013/10/23,134282
2013/10/24,146594
2013/10/25,136861
2013/10/26,131842
2013/10/27,124185
2013/10/28,129881
2013/10/29,137738
2013/10/30,131150
2013/10/31,133203
2013/11/01,119723
2013/11/02,112655
2013/11/03,108305
2013/11/04,114178
2013/11/05,135404
2013/11/06,160249
2013/11/07,189806
2013/11/08,209764
2013/11/09,204658
2013/11/10,189331
2013/11/11,169989
2013/11/12,155735
2013/11/13,170381
2013/11/14,176974
2013/11/15,176291
2013/11/16,146831
2013/11/17,143504
2013/11/18,199321
2013/11/19,255874
2013/11/20,244525
2013/11/21,259239
2013/11/22,243077
2013/11/23,226224
2013/11/24,204796
2013/11/25,197502
2013/11/26,224404
2013/11/27,244686
2013/11/28,246618
2013/11/29,248288
2013/11/30,224266
2013/12/01,206468
2013/12/02,218722
2013/12/03,202031
2013/12/04,217432
2013/12/05,227795
2013/12/06,198345
2013/12/07,181528
2013/12/08,150998
2013/12/09,161756
2013/12/10,176718
2013/12/11,186280
2013/12/12,178386
2013/12/13,177774
2013/12/14,172494
2013/12/15,172209
2013/12/16,175942
2013/12/17,172387
2013/12/18,188190
2013/12/19,168267
2013/12/20,175699
2013/12/21,174767
2013/12/22,168384
2013/12/23,168409
2013/12/24,167815
2013/12/25,172029
2013/12/26,169101
2013/12/27,157656
2013/12/28,167674
2013/12/29,171177
2013/12/30,173127
2013/12/31,158782
2014/01/01,131939
2014/01/02,172456
2014/01/03,184508
2014/01/04,184718
2014/01/05,175399
2014/01/06,189205
2014/01/07,182820
2014/01/08,170320
2014/01/09,156039
2014/01/10,151345
2014/01/11,145807
2014/01/12,136075
2014/01/13,151235
2014/01/14,162852
2014/01/15,162497
2014/01/16,160977
2014/01/17,175418
2014/01/18,159946
2014/01/19,151228
2014/01/20,167729
2014/01/21,193821
2014/01/22,182783
2014/01/23,184096
2014/01/24,177476
2014/01/25,171810
2014/01/26,174891
2014/01/27,181107
2014/01/28,198425
2014/01/29,195436
2014/01/30,184957
2014/01/31,176214
2014/02/01,163874
2014/02/02,161168
2014/02/03,170962
2014/02/04,196009
2014/02/05,208435
2014/02/06,209188
2014/02/07,227134
2014/02/08,206955
2014/02/09,208692
2014/02/10,209622
2014/02/11,204436
2014/02/12,227629
2014/02/13,222635
2014/02/14,223649
2014/02/15,201851
2014/02/16,173647
2014/02/17,195158
2014/02/18,210331
2014/02/19,208019
2014/02/20,217218
2014/02/21,236325
2014/02/22,210607
2014/02/23,210513
2014/02/24,218192
2014/02/25,249879
2014/02/26,241411
2014/02/27,224592
2014/02/28,230572
2014/03/01,245867
2014/03/02,242524
2014/03/03,287422
2014/03/04,322347
2014/03/05,302868
2014/03/06,273929
2014/03/07,261445
2014/03/08,236229
2014/03/09,217959
2014/03/10,248028
2014/03/11,249679
2014/03/12,244579
2014/03/13,250659
2014/03/14,278216
2014/03/15,232116
2014/03/16,199762
2014/03/17,205610
2014/03/18,190510
2014/03/19,206653
2014/03/20,211613
2014/03/21,222879
2014/03/22,232914
2014/03/23,188874
2014/03/24,203046
2014/03/25,224750
2014/03/26,234203
2014/03/27,236491
2014/03/28,228238
2014/03/29,200569
2014/03/30,216468
2014/03/31,212932
2014/04/01,215436
2014/04/02,205799
2014/04/03,190460
2014/04/04,194219
2014/04/05,193097
2014/04/06,202732
2014/04/07,223176
2014/04/08,257887
2014/04/09,250814
2014/04/10,252574
2014/04/11,238115
2014/04/12,204040
2014/04/13,183150
2014/04/14,199599
2014/04/15,220569
2014/04/16,245776
2014/04/17,234704
2014/04/18,220091
2014/04/19,206664
2014/04/20,188088
2014/04/21,189352
2014/04/22,238696
2014/04/23,240324
2014/04/24,260040
2014/04/25,243318
2014/04/26,211639
2014/04/27,196282
2014/04/28,217587
