Date,confirmationtime3trx
2012/09/24,0.162
2012/09/25,1.769
2012/09/26,2.338
2012/09/27,0.417
2012/09/28,-0.65
2012/09/29,-1.721
2012/09/30,-1.426
2012/10/01,1.698
2012/10/02,1.85
2012/10/03,2.58
2012/10/04,2.855
2012/10/05,2.045
2012/10/06,-0.311
2012/10/07,1.081
2012/10/08,-2.048
2012/10/09,-1.472
2012/10/10,-1.106
2012/10/11,0.16
2012/10/12,-0.082
2012/10/13,-0.301
2012/10/14,1.664
2012/10/15,-0.838
2012/10/16,-1.577
2012/10/17,-0.466
2012/10/18,-0.844
2012/10/19,0.806
2012/10/20,-0.216
2012/10/21,-1.25
2012/10/22,-1.336
2012/10/23,1.414
2012/10/24,0.091
2012/10/25,0.458
2012/10/26,-0.946
2012/10/27,-2.417
2012/10/28,-2.326
2012/10/29,-1.194
2012/10/30,0.999
2012/10/31,1.987
2012/11/01,2.735
2012/11/02,2.112
2012/11/03,1.114
2012/11/04,-0.436
2012/11/05,-1.449
2012/11/06,0.423
2012/11/07,-0.25
2012/11/08,-0.645
2012/11/09,-0.572
2012/11/10,0.283
2012/11/11,0.506
2012/11/12,1.916
2012/11/13,1.691
2012/11/14,0.899
2012/11/15,0.971
2012/11/16,0.179
2012/11/17,0.092
2012/11/18,-0.393
2012/11/19,-0.639
2012/11/20,-0.738
2012/11/21,-1.081
2012/11/22,-0.494
2012/11/23,-1.491
2012/11/24,-1.13
2012/11/25,-0.205
2012/11/26,-0.541
2012/11/27,-0.075
2012/11/28,-1.509
2012/11/29,-1.907
2012/11/30,2.104
2012/12/01,0.48
2012/12/02,0.854
2012/12/03,0.81
2012/12/04,4.615
2012/12/05,4.831
2012/12/06,2.316
2012/12/07,1.287
2012/12/08,-0.047
2012/12/09,0.392
2012/12/10,-0.769
2012/12/11,-1.544
2012/12/12,-0.455
2012/12/13,0.297
2012/12/14,3.621
2012/12/15,3.651
2012/12/16,3.398
2012/12/17,0.438
2012/12/18,-0.564
2012/12/19,-2.223
2012/12/20,0.794
2012/12/21,0.495
2012/12/22,-2.276
2012/12/23,-1.167
2012/12/24,-0.925
2012/12/25,-0.021
2012/12/26,-1.997
2012/12/27,-3.295
2012/12/28,-4.367
2012/12/29,-2.637
2012/12/30,-2.674
2012/12/31,-2.067
2013/01/01,-1.714
2013/01/02,-0.659
2013/01/03,-0.657
2013/01/04,0.001
2013/01/05,1.506
2013/01/06,1.765
2013/01/07,-0.286
2013/01/08,1.433
2013/01/09,2.872
2013/01/10,1.498
2013/01/11,3.459
2013/01/12,3.669
2013/01/13,1.924
2013/01/14,-1.269
2013/01/15,0.237
2013/01/16,0.506
2013/01/17,2.695
2013/01/18,2.398
2013/01/19,-1.137
2013/01/20,-1.269
2013/01/21,-0.943
2013/01/22,-1.629
2013/01/23,-0.281
2013/01/24,-1.832
2013/01/25,-1.292
2013/01/26,-2.105
