Date,activeaddresses3ema
2012/08/31,43044
2012/09/01,44012
2012/09/02,39469
2012/09/03,36231
2012/09/04,41134
2012/09/05,41339
2012/09/06,44091
2012/09/07,44097
2012/09/08,38898
2012/09/09,39544
2012/09/10,38451
2012/09/11,41846
2012/09/12,38031
2012/09/13,36553
2012/09/14,37414
2012/09/15,33720
2012/09/16,32647
2012/09/17,32853
2012/09/18,35819
2012/09/19,39350
2012/09/20,43311
2012/09/21,41255
2012/09/22,34285
2012/09/23,31462
2012/09/24,32450
2012/09/25,37860
2012/09/26,43064
2012/09/27,42573
2012/09/28,46300
2012/09/29,42374
2012/09/30,38522
2012/10/01,38249
2012/10/02,45711
2012/10/03,47904
2012/10/04,49855
2012/10/05,47194
2012/10/06,43077
2012/10/07,43237
2012/10/08,45439
2012/10/09,48858
2012/10/10,48107
2012/10/11,44670
2012/10/12,44642
2012/10/13,42037
2012/10/14,40311
2012/10/15,43299
2012/10/16,43179
2012/10/17,44000
2012/10/18,47526
2012/10/19,46359
2012/10/20,44791
2012/10/21,41797
2012/10/22,41640
2012/10/23,41546
2012/10/24,41702
2012/10/25,40639
2012/10/26,39223
2012/10/27,34485
2012/10/28,31066
2012/10/29,33379
2012/10/30,33919
2012/10/31,33047
2012/11/01,32391
2012/11/02,32766
2012/11/03,32742
2012/11/04,31702
2012/11/05,34642
2012/11/06,37895
2012/11/07,40700
2012/11/08,39186
2012/11/09,37958
2012/11/10,36344
2012/11/11,33252
2012/11/12,32402
2012/11/13,32545
2012/11/14,35154
2012/11/15,40728
2012/11/16,44513
2012/11/17,48712
2012/11/18,45824
2012/11/19,44116
2012/11/20,43936
2012/11/21,44030
2012/11/22,42703
2012/11/23,38955
2012/11/24,38028
2012/11/25,37150
2012/11/26,39243
2012/11/27,38903
2012/11/28,41377
2012/11/29,41667
2012/11/30,39388
2012/12/01,37060
2012/12/02,32428
2012/12/03,31287
2012/12/04,36850
2012/12/05,40668
2012/12/06,40846
2012/12/07,40871
2012/12/08,39593
2012/12/09,39245
2012/12/10,37590
2012/12/11,37316
2012/12/12,40016
2012/12/13,43095
2012/12/14,42384
2012/12/15,38491
2012/12/16,37118
2012/12/17,39056
2012/12/18,43597
2012/12/19,43678
2012/12/20,41610
2012/12/21,43868
2012/12/22,49505
2012/12/23,44718
2012/12/24,42371
2012/12/25,36328
2012/12/26,37218
2012/12/27,36893
2012/12/28,39650
2012/12/29,39823
2012/12/30,42801
2012/12/31,38769
2013/01/01,38307
2013/01/02,40706
2013/01/03,45987
2013/01/04,46664
2013/01/05,50040
2013/01/06,46126
2013/01/07,50091
2013/01/08,53056
2013/01/09,54609
2013/01/10,57897
2013/01/11,59475
2013/01/12,55106
2013/01/13,55304
2013/01/14,49808
2013/01/15,53718
2013/01/16,56070
2013/01/17,57494
2013/01/18,57275
2013/01/19,53316
2013/01/20,49702
2013/01/21,47819
2013/01/22,50651
2013/01/23,48999
2013/01/24,54849
2013/01/25,52203
2013/01/26,53425
2013/01/27,51502
2013/01/28,52898
2013/01/29,54257
2013/01/30,49396
2013/01/31,48620
2013/02/01,56515
2013/02/02,56548
2013/02/03,57026
2013/02/04,57198
2013/02/05,58568
2013/02/06,56113
2013/02/07,57211
2013/02/08,58707
2013/02/09,57528
2013/02/10,57556
2013/02/11,54923
2013/02/12,53391
2013/02/13,53276
2013/02/14,52375
2013/02/15,51259
2013/02/16,49185
2013/02/17,47380
2013/02/18,47308
2013/02/19,48354
2013/02/20,49569
2013/02/21,50101
2013/02/22,52210
2013/02/23,51792
2013/02/24,51921
2013/02/25,54275
2013/02/26,56542
2013/02/27,55796
2013/02/28,57801
2013/03/01,60435
2013/03/02,54832
2013/03/03,50446
2013/03/04,51992
2013/03/05,54693
2013/03/06,61922
2013/03/07,64145
2013/03/08,60370
2013/03/09,57246
2013/03/10,57120
2013/03/11,55323
2013/03/12,57532
2013/03/13,60288
2013/03/14,60701
2013/03/15,62099
2013/03/16,56509
2013/03/17,54226
2013/03/18,56546
2013/03/19,62645
2013/03/20,62746
2013/03/21,66237
2013/03/22,70604
2013/03/23,68796
2013/03/24,68911
2013/03/25,67543
2013/03/26,70278
2013/03/27,71518
2013/03/28,82990
2013/03/29,83132
2013/03/30,80590
2013/03/31,72426
2013/04/01,74091
2013/04/02,82983
2013/04/03,95062
2013/04/04,101976
2013/04/05,101005
2013/04/06,92046
2013/04/07,89571
2013/04/08,101733
2013/04/09,106904
2013/04/10,120178
2013/04/11,122395
2013/04/12,112679
2013/04/13,97758
2013/04/14,84577
2013/04/15,92413
2013/04/16,96389
2013/04/17,100821
2013/04/18,91468
2013/04/19,98241
2013/04/20,86371
2013/04/21,78123
2013/04/22,84920
2013/04/23,89049
2013/04/24,95793
2013/04/25,93282
2013/04/26,89743
2013/04/27,84001
2013/04/28,101031
2013/04/29,93998
2013/04/30,85457
2013/05/01,84536
2013/05/02,83252
2013/05/03,83055
2013/05/04,76524
2013/05/05,74336
2013/05/06,79773
2013/05/07,94447
2013/05/08,98443
2013/05/09,90191
2013/05/10,87266
2013/05/11,84093
2013/05/12,76850
2013/05/13,79823
2013/05/14,81773
2013/05/15,83266
2013/05/16,83714
2013/05/17,81083
2013/05/18,74727
2013/05/19,69477
2013/05/20,70576
2013/05/21,76575
2013/05/22,75688
2013/05/23,79477
2013/05/24,82220
2013/05/25,75922
2013/05/26,72789
2013/05/27,73392
2013/05/28,74809
2013/05/29,77684
2013/05/30,77956
2013/05/31,76717
2013/06/01,72262
2013/06/02,69045
2013/06/03,74449
2013/06/04,76540
2013/06/05,77604
2013/06/06,75435
2013/06/07,74602
2013/06/08,66429
2013/06/09,61515
2013/06/10,61239
2013/06/11,63924
2013/06/12,63843
2013/06/13,65092
2013/06/14,70427
2013/06/15,62119
2013/06/16,55452
2013/06/17,56177
2013/06/18,59869
2013/06/19,64507
2013/06/20,66076
2013/06/21,67587
2013/06/22,63082
2013/06/23,57568
2013/06/24,61215
2013/06/25,61298
2013/06/26,63147
2013/06/27,62086
2013/06/28,65349
2013/06/29,63165
2013/06/30,56829
2013/07/01,62752
2013/07/02,63455
2013/07/03,64740
2013/07/04,62804
2013/07/05,61656
2013/07/06,59096
2013/07/07,53971
2013/07/08,58508
2013/07/09,63247
2013/07/10,64053
2013/07/11,68705
2013/07/12,73578
2013/07/13,68347
2013/07/14,58374
2013/07/15,60350
2013/07/16,63285
2013/07/17,63146
2013/07/18,63162
2013/07/19,60961
2013/07/20,56680
2013/07/21,53901
2013/07/22,57110
2013/07/23,60704
2013/07/24,63296
2013/07/25,64868
2013/07/26,63877
2013/07/27,57933
2013/07/28,53556
2013/07/29,60515
2013/07/30,65193
2013/07/31,73046
2013/08/01,93676
2013/08/02,84217
2013/08/03,72350
2013/08/04,66302
2013/08/05,69736
2013/08/06,70641
2013/08/07,73154
2013/08/08,72765
2013/08/09,68699
2013/08/10,64001
2013/08/11,59068
2013/08/12,81230
2013/08/13,78112
2013/08/14,78163
2013/08/15,76960
2013/08/16,79739
2013/08/17,70575
2013/08/18,64062
2013/08/19,71306
2013/08/20,75575
2013/08/21,79126
2013/08/22,81506
2013/08/23,81697
2013/08/24,73043
2013/08/25,70829
2013/08/26,73301
2013/08/27,84156
2013/08/28,84016
2013/08/29,79450
2013/08/30,84530
2013/08/31,86347
2013/09/01,71673
2013/09/02,67231
2013/09/03,69666
2013/09/04,73272
2013/09/05,71848
2013/09/06,72559
2013/09/07,67576
2013/09/08,62030
2013/09/09,68013
2013/09/10,69341
2013/09/11,72008
2013/09/12,74519
2013/09/13,70545
2013/09/14,62299
2013/09/15,58550
2013/09/16,64162
2013/09/17,68604
2013/09/18,73849
2013/09/19,76485
2013/09/20,76793
2013/09/21,71581
2013/09/22,67583
2013/09/23,74060
2013/09/24,76231
2013/09/25,77364
2013/09/26,77771
2013/09/27,77935
2013/09/28,73431
2013/09/29,72370
2013/09/30,76413
2013/10/01,83101
2013/10/02,94418
2013/10/03,92344
2013/10/04,85095
2013/10/05,75417
2013/10/06,68262
2013/10/07,72429
2013/10/08,74352
2013/10/09,76935
2013/10/10,78766
2013/10/11,79281
2013/10/12,73130
2013/10/13,80392
2013/10/14,81437
2013/10/15,83512
2013/10/16,88391
2013/10/17,84921
2013/10/18,85473
2013/10/19,89011
2013/10/20,81268
2013/10/21,88845
2013/10/22,99200
2013/10/23,103610
2013/10/24,107864
2013/10/25,104530
2013/10/26,89234
2013/10/27,77264
2013/10/28,81930
2013/10/29,83695
2013/10/30,89821
2013/10/31,93379
2013/11/01,90216
2013/11/02,84045
2013/11/03,83689
2013/11/04,92131
2013/11/05,104927
2013/11/06,118161
2013/11/07,124327
2013/11/08,127533
2013/11/09,128671
2013/11/10,122848
2013/11/11,119551
2013/11/12,117978
2013/11/13,120489
2013/11/14,126963
2013/11/15,123483
2013/11/16,113687
2013/11/17,110708
2013/11/18,137702
2013/11/19,172728
2013/11/20,169119
2013/11/21,178954
2013/11/22,172188
2013/11/23,161542
2013/11/24,143105
2013/11/25,143060
2013/11/26,161285
2013/11/27,180274
2013/11/28,191155
2013/11/29,190391
2013/11/30,177167
2013/12/01,171737
2013/12/02,174885
2013/12/03,174518
2013/12/04,179399
2013/12/05,181723
2013/12/06,175578
2013/12/07,163239
2013/12/08,138887
2013/12/09,147573
2013/12/10,151059
2013/12/11,151992
2013/12/12,141408
2013/12/13,143706
2013/12/14,145906
2013/12/15,143611
2013/12/16,160640
2013/12/17,159733
2013/12/18,170488
2013/12/19,164118
2013/12/20,158839
2013/12/21,143126
2013/12/22,133604
2013/12/23,143034
2013/12/24,136779
