Date,size
2013/05/05,152564
2013/05/06,163102
2013/05/07,170960
2013/05/08,156512
2013/05/09,189043
2013/05/10,190560
2013/05/11,190552
2013/05/12,182095
2013/05/13,168713
2013/05/14,201835
2013/05/15,217910
2013/05/16,201059
2013/05/17,173925
2013/05/18,167466
2013/05/19,141489
2013/05/20,180891
2013/05/21,173930
2013/05/22,158817
2013/05/23,162192
2013/05/24,158925
2013/05/25,148936
2013/05/26,133314
2013/05/27,148505
2013/05/28,169509
2013/05/29,159992
2013/05/30,156239
2013/05/31,147277
2013/06/01,124785
2013/06/02,121260
2013/06/03,126405
2013/06/04,129712
2013/06/05,147738
2013/06/06,143446
2013/06/07,154774
2013/06/08,122841
2013/06/09,133968
2013/06/10,118654
2013/06/11,123117
2013/06/12,106190
2013/06/13,108034
2013/06/14,130612
2013/06/15,96541
2013/06/16,106424
2013/06/17,143147
2013/06/18,149470
2013/06/19,160240
2013/06/20,158334
2013/06/21,132074
2013/06/22,117606
2013/06/23,106761
2013/06/24,135393
2013/06/25,127941
2013/06/26,120686
2013/06/27,127398
2013/06/28,135333
2013/06/29,105713
2013/06/30,92590
2013/07/01,113290
2013/07/02,117288
2013/07/03,85993
2013/07/04,97233
2013/07/05,90214
2013/07/06,84268
2013/07/07,76067
2013/07/08,94466
2013/07/09,103268
2013/07/10,92955
2013/07/11,115196
2013/07/12,151944
2013/07/13,115473
2013/07/14,97329
2013/07/15,104907
2013/07/16,110884
2013/07/17,100827
2013/07/18,117039
2013/07/19,96865
2013/07/20,82983
2013/07/21,82978
2013/07/22,109853
2013/07/23,124183
2013/07/24,124933
2013/07/25,140194
2013/07/26,105614
2013/07/27,94701
2013/07/28,103965
2013/07/29,110731
2013/07/30,99962
2013/07/31,125035
2013/08/01,135432
2013/08/02,119636
2013/08/03,125320
2013/08/04,113308
2013/08/05,121705
2013/08/06,125845
2013/08/07,135204
2013/08/08,126397
2013/08/09,112082
2013/08/10,112574
2013/08/11,80861
2013/08/12,134072
2013/08/13,138718
2013/08/14,145460
2013/08/15,163102
2013/08/16,182460
2013/08/17,129696
2013/08/18,130550
2013/08/19,177877
2013/08/20,151387
2013/08/21,138057
2013/08/22,132705
2013/08/23,133022
2013/08/24,131128
2013/08/25,142878
2013/08/26,150760
2013/08/27,176006
2013/08/28,159856
2013/08/29,133034
2013/08/30,138894
2013/08/31,98055
2013/09/01,95026
2013/09/02,106071
2013/09/03,130789
2013/09/04,146942
2013/09/05,142522
2013/09/06,146935
2013/09/07,156686
2013/09/08,131353
2013/09/09,123496
2013/09/10,125476
2013/09/11,107141
2013/09/12,114298
2013/09/13,100867
