Date,sentbyaddress3rsi
2012/09/17,39.072
2012/09/18,73.934
2012/09/19,76.31
2012/09/20,84.365
2012/09/21,34.511
2012/09/22,19.862
2012/09/23,30.07
2012/09/24,52.245
2012/09/25,75.527
2012/09/26,80.428
2012/09/27,51.252
2012/09/28,67.427
2012/09/29,33.598
2012/09/30,25.496
2012/10/01,43.77
2012/10/02,74.649
2012/10/03,51.66
2012/10/04,62.621
2012/10/05,58.012
2012/10/06,37.556
2012/10/07,46.831
2012/10/08,69.681
2012/10/09,67.701
2012/10/10,46.881
2012/10/11,28.083
2012/10/12,36.21
2012/10/13,23.886
2012/10/14,18.092
2012/10/15,67.723
2012/10/16,46.535
2012/10/17,57.528
2012/10/18,65.764
2012/10/19,29.966
2012/10/20,50.545
2012/10/21,41.501
2012/10/22,60.112
2012/10/23,38.166
2012/10/24,51.578
2012/10/25,34.788
2012/10/26,28.909
2012/10/27,10.321
2012/10/28,9.097
2012/10/29,28.062
2012/10/30,69.187
2012/10/31,55.648
2012/11/01,37.427
2012/11/02,52.773
2012/11/03,40.482
2012/11/04,30.529
2012/11/05,68.232
2012/11/06,79.079
2012/11/07,86.754
2012/11/08,46.025
2012/11/09,42.929
2012/11/10,24.669
2012/11/11,20.541
2012/11/12,35.887
2012/11/13,57.569
2012/11/14,77.395
2012/11/15,90.943
2012/11/16,92.078
2012/11/17,59.806
2012/11/18,57.89
2012/11/19,53.461
2012/11/20,65.213
2012/11/21,46.818
2012/11/22,29.391
2012/11/23,8.425
2012/11/24,30.155
2012/11/25,28.799
2012/11/26,65.617
2012/11/27,48.25
2012/11/28,70.461
2012/11/29,50.871
2012/11/30,31.011
2012/12/01,24.591
2012/12/02,11.337
2012/12/03,34.173
2012/12/04,68.552
2012/12/05,76.088
2012/12/06,70.34
2012/12/07,62.207
2012/12/08,56.536
2012/12/09,38.986
2012/12/10,19.824
2012/12/11,57.092
2012/12/12,72.004
2012/12/13,83.955
2012/12/14,56.549
2012/12/15,30.151
2012/12/16,37.333
2012/12/17,69.127
2012/12/18,83.346
2012/12/19,50.934
2012/12/20,34.116
2012/12/21,59.671
2012/12/22,78.712
2012/12/23,35.81
2012/12/24,34.356
2012/12/25,25.549
2012/12/26,27.58
2012/12/27,48.668
2012/12/28,71.275
2012/12/29,46.69
2012/12/30,72.468
2012/12/31,38.9
2013/01/01,42.448
2013/01/02,63.85
2013/01/03,77.854
2013/01/04,60.271
2013/01/05,69.875
2013/01/06,35.658
2013/01/07,60.195
2013/01/08,57.52
2013/01/09,66.733
2013/01/10,78.692
2013/01/11,85.009
2013/01/12,33.687
2013/01/13,50.213
2013/01/14,29.806
2013/01/15,63.478
2013/01/16,66.269
2013/01/17,51.995
2013/01/18,52.716
2013/01/19,27.718
2013/01/20,21.229
2013/01/21,17.164
2013/01/22,55.526
2013/01/23,45.788
2013/01/24,65.547
2013/01/25,57.452
2013/01/26,70.121
2013/01/27,69.417
2013/01/28,47.602
2013/01/29,59.812
2013/01/30,16.496
2013/01/31,43.752
2013/02/01,81.514
2013/02/02,52.437
2013/02/03,53.697
2013/02/04,46.894
2013/02/05,72.165
2013/02/06,40.553
2013/02/07,56.308
2013/02/08,57.559
2013/02/09,35.716
2013/02/10,56.116
2013/02/11,32.268
2013/02/12,41.58
2013/02/13,38.679
2013/02/14,25.494
2013/02/15,30.509
2013/02/16,13.79
2013/02/17,28.838
2013/02/18,55.62
2013/02/19,64.689
2013/02/20,65.382
2013/02/21,80.509
2013/02/22,89.984
2013/02/23,57.935
2013/02/24,62.928
2013/02/25,76.226
2013/02/26,85.194
2013/02/27,37.05
2013/02/28,57.518
2013/03/01,77.975
2013/03/02,25.204
2013/03/03,21.401
2013/03/04,51.925
2013/03/05,64.541
2013/03/06,79.421
2013/03/07,66.343
2013/03/08,41.027
2013/03/09,26.542
2013/03/10,51.491
2013/03/11,35.887
2013/03/12,54.783
2013/03/13,72.32
2013/03/14,54.76
2013/03/15,70.159
2013/03/16,27.629
2013/03/17,31.7
2013/03/18,59.673
2013/03/19,73.614
2013/03/20,54.752
2013/03/21,63.589
2013/03/22,78.652
2013/03/23,42.622
2013/03/24,63.424
2013/03/25,47.048
2013/03/26,59.839
2013/03/27,67.121
2013/03/28,81.037
2013/03/29,83.297
2013/03/30,44.687
2013/03/31,17.986
2013/04/01,51.264
2013/04/02,74.062
2013/04/03,80.919
2013/04/04,83.383
2013/04/05,70.456
2013/04/06,26.67
2013/04/07,25.859
2013/04/08,66.354
2013/04/09,76.304
2013/04/10,84.374
2013/04/11,59.548
2013/04/12,36.257
2013/04/13,23.02
2013/04/14,15.24
2013/04/15,50.72
2013/04/16,63.822
2013/04/17,49.797
2013/04/18,35.675
2013/04/19,64.124
2013/04/20,33.206
2013/04/21,29.278
2013/04/22,50.452
2013/04/23,67.466
2013/04/24,67.352
2013/04/25,63.674
2013/04/26,42.542
2013/04/27,17.52
2013/04/28,16.453
2013/04/29,56.699
2013/04/30,31.491
2013/05/01,58.37
2013/05/02,52.733
2013/05/03,41.964
2013/05/04,24.113
2013/05/05,36.719
2013/05/06,61.384
2013/05/07,78.036
2013/05/08,65.961
2013/05/09,69.625
2013/05/10,63.29
2013/05/11,45.35
2013/05/12,17.624
2013/05/13,51.511
2013/05/14,65.033
2013/05/15,65.758
2013/05/16,56.963
2013/05/17,28.864
2013/05/18,14.47
2013/05/19,10.682
2013/05/20,46.643
2013/05/21,73.285
2013/05/22,49.977
2013/05/23,70.912
2013/05/24,59.588
2013/05/25,26.829
2013/05/26,22.501
2013/05/27,47.397
2013/05/28,63.038
2013/05/29,71.988
2013/05/30,58.506
2013/05/31,54.162
2013/06/01,25.426
2013/06/02,17.227
2013/06/03,61.344
2013/06/04,67.573
2013/06/05,48.964
2013/06/06,58.073
2013/06/07,62.381
2013/06/08,17.435
2013/06/09,15.11
2013/06/10,45.917
2013/06/11,59.927
2013/06/12,48.04
2013/06/13,63.276
2013/06/14,85.074
2013/06/15,31.334
2013/06/16,26.76
2013/06/17,49.998
2013/06/18,60.176
2013/06/19,69.456
2013/06/20,60.27
2013/06/21,68.304
2013/06/22,29.506
2013/06/23,19.321
2013/06/24,58.588
2013/06/25,54.641
2013/06/26,60.503
2013/06/27,49.517
2013/06/28,74.811
2013/06/29,32.741
2013/06/30,24.008
2013/07/01,65.325
2013/07/02,55.001
2013/07/03,59.93
2013/07/04,41.225
2013/07/05,44.403
2013/07/06,21.075
2013/07/07,14.745
2013/07/08,66.648
2013/07/09,71.131
2013/07/10,64.849
2013/07/11,82.011
2013/07/12,87.667
2013/07/13,34.465
2013/07/14,21.899
2013/07/15,47.223
2013/07/16,60.72
2013/07/17,52.847
2013/07/18,50.614
2013/07/19,43.312
2013/07/20,17.782
2013/07/21,33.502
2013/07/22,62.252
2013/07/23,69.517
2013/07/24,70.553
2013/07/25,73.83
2013/07/26,49.267
2013/07/27,17.614
2013/07/28,15.633
2013/07/29,71.435
