Date,sentinusd90wmaUSD
2013/11/02,109003454
2013/11/03,109008362
2013/11/04,110857673
2013/11/05,113461168
2013/11/06,115607994
2013/11/07,119713925
2013/11/08,123565481
2013/11/09,127002795
2013/11/10,128922060
2013/11/11,130580415
2013/11/12,135095674
2013/11/13,141208405
2013/11/14,146960305
2013/11/15,165763931
2013/11/16,175737976
2013/11/17,183214307
2013/11/18,202135640
2013/11/19,225633968
2013/11/20,239416446
2013/11/21,262249332
2013/11/22,292220333
2013/11/23,311303570
2013/11/24,328897131
2013/11/25,346017292
2013/11/26,409396856
2013/11/27,466005291
2013/11/28,525745848
2013/11/29,572250818
2013/11/30,605907333
2013/12/01,626430677
2013/12/02,645435310
2013/12/03,661249011
2013/12/04,681359380
2013/12/05,703048382
2013/12/06,715670812
2013/12/07,742243687
2013/12/08,751022073
2013/12/09,762300759
2013/12/10,767475273
2013/12/11,777124787
2013/12/12,782604725
2013/12/13,788133284
2013/12/14,787845714
2013/12/15,784179101
2013/12/16,807310623
2013/12/17,818109992
2013/12/18,829221972
2013/12/19,834573449
2013/12/20,834940979
2013/12/21,834931793
2013/12/22,834446865
2013/12/23,831273292
2013/12/24,830602679
2013/12/25,829800177
2013/12/26,825787179
2013/12/27,821772015
2013/12/28,817669805
2013/12/29,817079036
2013/12/30,815926686
2013/12/31,809407683
2014/01/01,804109022
2014/01/02,801304923
2014/01/03,802220791
2014/01/04,799078951
2014/01/05,802046578
2014/01/06,807388570
2014/01/07,810116524
2014/01/08,808188026
2014/01/09,802652114
2014/01/10,797125446
2014/01/11,789326684
2014/01/12,781418556
2014/01/13,774792186
2014/01/14,771944199
2014/01/15,766797116
2014/01/16,761401405
2014/01/17,752372736
2014/01/18,742631989
2014/01/19,736604567
2014/01/20,734471832
2014/01/21,729189113
2014/01/22,721341245
2014/01/23,714092138
2014/01/24,710597846
2014/01/25,702250697
2014/01/26,693022510
2014/01/27,692909053
2014/01/28,686801729
2014/01/29,678237416
2014/01/30,670708254
2014/01/31,661035990
2014/02/01,652305264
2014/02/02,644279273
2014/02/03,635595773
2014/02/04,632056580
2014/02/05,627068405
2014/02/06,621256705
