Date,mining_profitability7roc
2013/08/06,-14.415
2013/08/07,-15.05
2013/08/08,-3.548
2013/08/09,-26.908
2013/08/10,5.469
2013/08/11,-6.134
2013/08/12,-3.757
2013/08/13,-17.096
2013/08/14,-27.164
2013/08/15,-28.728
2013/08/16,-18.992
2013/08/17,-25.829
2013/08/18,-22.212
2013/08/19,-23.354
2013/08/20,-8.112
2013/08/21,8.393
2013/08/22,15.14
2013/08/23,1.384
2013/08/24,-7.661
2013/08/25,-19.726
2013/08/26,-8.782
2013/08/27,-16.273
2013/08/28,-4.915
2013/08/29,-22.538
2013/08/30,-2.214
2013/08/31,9.639
2013/09/01,16.089
2013/09/02,8.733
2013/09/03,10.439
2013/09/04,-32.47
2013/09/05,-18.034
2013/09/06,-28.382
2013/09/07,-41.092
2013/09/08,-24.8
2013/09/09,-19.156
2013/09/10,-28.675
2013/09/11,11.844
2013/09/12,0.196
2013/09/13,5.022
2013/09/14,23.968
2013/09/15,-27.43
2013/09/16,-34.663
2013/09/17,-7.894
2013/09/18,-17.206
2013/09/19,-23.274
2013/09/20,-20.153
2013/09/21,-26.876
2013/09/22,9.415
2013/09/23,8.192
2013/09/24,-13.455
2013/09/25,-20.869
2013/09/26,-35.203
2013/09/27,-23.687
2013/09/28,-18.232
2013/09/29,-26.148
2013/09/30,-22.291
2013/10/01,-22.334
2013/10/02,-14.724
2013/10/03,1.006
2013/10/04,-12.709
2013/10/05,2.062
2013/10/06,-20.298
2013/10/07,-24.767
2013/10/08,-22.663
2013/10/09,-20.81
2013/10/10,-4.541
2013/10/11,-12.923
2013/10/12,-18.484
2013/10/13,2.749
2013/10/14,15.141
2013/10/15,12.341
2013/10/16,-15.073
2013/10/17,-29.704
2013/10/18,-9.931
2013/10/19,-17.217
2013/10/20,-14
2013/10/21,-12.713
2013/10/22,-3.512
2013/10/23,31.185
2013/10/24,43.207
2013/10/25,9.602
2013/10/26,-34.866
2013/10/27,-16.103
2013/10/28,-25.754
2013/10/29,-30.993
2013/10/30,-25.571
2013/10/31,-25.733
2013/11/01,-17.172
2013/11/02,23.207
2013/11/03,6.412
2013/11/04,16.735
