Date,transactions3wma
2013/02/20,56266
2013/02/21,56782
2013/02/22,59506
2013/02/23,58818
2013/02/24,58078
2013/02/25,62093
2013/02/26,63451
2013/02/27,62625
2013/02/28,62224
2013/03/01,63269
2013/03/02,59777
2013/03/03,56440
2013/03/04,59312
2013/03/05,58703
2013/03/06,60856
2013/03/07,63628
2013/03/08,60486
2013/03/09,57356
2013/03/10,64572
2013/03/11,63346
2013/03/12,56160
2013/03/13,54237
2013/03/14,55848
2013/03/15,60021
2013/03/16,47522
2013/03/17,39341
2013/03/18,39029
2013/03/19,43257
2013/03/20,45561
2013/03/21,50684
2013/03/22,56304
2013/03/23,55691
2013/03/24,53198
2013/03/25,50256
2013/03/26,49262
2013/03/27,50983
2013/03/28,56247
2013/03/29,60157
2013/03/30,60341
2013/03/31,51930
2013/04/01,50729
2013/04/02,56374
2013/04/03,61677
2013/04/04,65140
2013/04/05,63481
2013/04/06,57306
2013/04/07,59076
2013/04/08,60481
2013/04/09,64473
2013/04/10,64367
2013/04/11,66487
2013/04/12,62623
2013/04/13,57555
2013/04/14,55195
2013/04/15,54497
2013/04/16,61134
2013/04/17,59859
2013/04/18,53355
2013/04/19,54613
2013/04/20,51618
2013/04/21,47972
2013/04/22,46228
2013/04/23,53772
2013/04/24,60771
2013/04/25,63067
2013/04/26,59155
2013/04/27,50874
2013/04/28,44774
2013/04/29,47072
2013/04/30,47876
2013/05/01,52005
2013/05/02,53948
2013/05/03,53265
2013/05/04,51359
2013/05/05,50330
2013/05/06,51660
2013/05/07,54369
2013/05/08,52855
2013/05/09,59491
2013/05/10,64437
2013/05/11,70281
2013/05/12,68322
2013/05/13,64369
2013/05/14,64309
2013/05/15,64258
2013/05/16,62901
2013/05/17,60293
2013/05/18,55725
2013/05/19,50949
2013/05/20,48912
2013/05/21,51070
2013/05/22,51963
2013/05/23,56051
2013/05/24,56127
2013/05/25,53904
2013/05/26,46523
2013/05/27,48330
2013/05/28,52743
2013/05/29,55180
2013/05/30,56406
2013/05/31,55317
2013/06/01,54647
2013/06/02,51935
2013/06/03,53430
2013/06/04,55550
2013/06/05,56601
2013/06/06,55589
2013/06/07,53562
2013/06/08,50437
2013/06/09,46840
2013/06/10,45190
2013/06/11,47069
2013/06/12,46817
2013/06/13,44985
2013/06/14,46949
2013/06/15,41658
2013/06/16,41607
2013/06/17,43102
2013/06/18,45335
2013/06/19,46373
2013/06/20,49458
2013/06/21,48699
2013/06/22,46556
2013/06/23,41787
2013/06/24,42231
2013/06/25,43325
2013/06/26,44900
2013/06/27,45544
2013/06/28,47587
2013/06/29,42309
2013/06/30,35756
2013/07/01,35815
2013/07/02,37872
2013/07/03,37334
2013/07/04,35929
2013/07/05,36026
2013/07/06,34731
2013/07/07,32289
2013/07/08,35306
2013/07/09,38498
2013/07/10,39643
2013/07/11,41419
2013/07/12,44980
2013/07/13,42152
2013/07/14,38003
2013/07/15,36184
2013/07/16,37604
2013/07/17,39404
2013/07/18,40529
2013/07/19,38707
2013/07/20,35789
2013/07/21,34899
2013/07/22,37245
2013/07/23,38293
2013/07/24,40500
2013/07/25,41641
2013/07/26,39766
2013/07/27,37823
2013/07/28,37006
2013/07/29,39314
2013/07/30,41035
2013/07/31,45585
2013/08/01,48798
2013/08/02,50876
2013/08/03,48406
2013/08/04,45157
2013/08/05,47258
2013/08/06,51155
2013/08/07,55238
2013/08/08,57078
2013/08/09,53574
2013/08/10,51866
2013/08/11,44509
2013/08/12,46322
2013/08/13,49487
2013/08/14,51714
2013/08/15,54960
2013/08/16,63377
