Date,fee_to_reward3rocUSD
2012/06/11,11.22
2012/06/12,-45.403
2012/06/13,65.172
2012/06/14,89.621
2012/06/15,189.974
2012/06/16,-29.872
2012/06/17,-34.663
2012/06/18,-24.311
2012/06/19,-2.942
2012/06/20,-7.353
2012/06/21,45.035
2012/06/22,-12.414
2012/06/23,-27.481
2012/06/24,-51.523
2012/06/25,-30.158
2012/06/26,13.146
2012/06/27,-0.268
2012/06/28,9.852
2012/06/29,-33.757
2012/06/30,-5.243
2012/07/01,-40.742
2012/07/02,48.885
2012/07/03,-26.765
2012/07/04,30.103
2012/07/05,-27.2
2012/07/06,36.75
2012/07/07,190.586
2012/07/08,-14.358
2012/07/09,-7.721
2012/07/10,-37.978
2012/07/11,89.479
2012/07/12,-7.53
2012/07/13,-44.649
2012/07/14,-33.231
2012/07/15,39.173
2012/07/16,60.166
2012/07/17,22.725
2012/07/18,35.322
2012/07/19,5.343
2012/07/20,115.403
2012/07/21,-16.691
2012/07/22,-21.849
2012/07/23,-39.013
2012/07/24,-29.883
2012/07/25,-19.06
2012/07/26,-30.013
2012/07/27,-2.669
2012/07/28,42.09
2012/07/29,3.32
2012/07/30,17.356
2012/07/31,20.505
2012/08/01,34.155
2012/08/02,5.763
2012/08/03,-5.405
2012/08/04,-29.664
2012/08/05,53.491
2012/08/06,16.414
2012/08/07,10.038
2012/08/08,71.001
2012/08/09,-42.556
2012/08/10,146.436
2012/08/11,-63.853
2012/08/12,5.796
2012/08/13,-44.034
2012/08/14,15.508
2012/08/15,87.218
2012/08/16,15.204
2012/08/17,69.327
2012/08/18,-40.621
2012/08/19,-34.827
2012/08/20,-28.996
2012/08/21,17.786
2012/08/22,22.247
2012/08/23,-20.2
2012/08/24,-8.341
2012/08/25,18.265
2012/08/26,-8.832
2012/08/27,52.594
2012/08/28,-3.949
2012/08/29,24.831
2012/08/30,-4.902
2012/08/31,30.642
2012/09/01,52.256
2012/09/02,-1.359
2012/09/03,-1.072
2012/09/04,-11.615
2012/09/05,-21.839
2012/09/06,-30.496
2012/09/07,-38.548
2012/09/08,5.398
2012/09/09,-7.02
2012/09/10,34.788
2012/09/11,38.139
2012/09/12,-4.619
2012/09/13,-5.574
2012/09/14,-41.08
2012/09/15,-22.625
2012/09/16,-39.286
2012/09/17,-30.031
2012/09/18,30.992
2012/09/19,65.41
2012/09/20,35.582
2012/09/21,29.279
2012/09/22,-35.946
2012/09/23,-2.692
2012/09/24,6.303
2012/09/25,6.426
2012/09/26,21.152
2012/09/27,-45.631
2012/09/28,261.117
2012/09/29,-38.833
2012/09/30,-27.833
2012/10/01,-66.124
2012/10/02,143.952
2012/10/03,91.155
2012/10/04,676.853
2012/10/05,-2.782
2012/10/06,4.167
2012/10/07,-78.583
2012/10/08,-24.448
2012/10/09,25.618
2012/10/10,-25.421
2012/10/11,6.726
2012/10/12,-24.134
2012/10/13,-9.614
2012/10/14,-17.468
2012/10/15,-6.294
2012/10/16,13.432
2012/10/17,246.495
2012/10/18,-15.58
2012/10/19,-27.483
2012/10/20,-75.627
2012/10/21,41.588
2012/10/22,37.192
2012/10/23,41.788
2012/10/24,-14.459
2012/10/25,-27.261
2012/10/26,-31.235
2012/10/27,-45.111
2012/10/28,-34.011
2012/10/29,-0.587
2012/10/30,129.217
2012/10/31,107.075
2012/11/01,33.906
2012/11/02,14.277
2012/11/03,-19.32
2012/11/04,-15.709
2012/11/05,-14.892
2012/11/06,47.674
2012/11/07,49.401
2012/11/08,1.746
2012/11/09,-32.706
2012/11/10,-19.519
2012/11/11,-27.442
2012/11/12,5.865
2012/11/13,-1.999
2012/11/14,35.356
2012/11/15,71.396
2012/11/16,49.684
2012/11/17,13.543
2012/11/18,-19.824
2012/11/19,-13.013
2012/11/20,4.564
2012/11/21,8.682
2012/11/22,-20.467
2012/11/23,-14.577
2012/11/24,-28.695
2012/11/25,32.775
2012/11/26,3.369
2012/11/27,281.561
2012/11/28,51.117
2012/11/29,110.922
2012/11/30,-34.773
2012/12/01,3.551
2012/12/02,-40.136
2012/12/03,-30.64
2012/12/04,57.915
2012/12/05,108.069
2012/12/06,81.438
2012/12/07,-24.744
2012/12/08,-16.094
2012/12/09,-14.967
2012/12/10,14.022
2012/12/11,16.872
2012/12/12,13.938
2012/12/13,59.062
2012/12/14,37.871
2012/12/15,-4.691
2012/12/16,-26.975
2012/12/17,-17.945
2012/12/18,51.746
2012/12/19,-1.652
2012/12/20,18.406
2012/12/21,-8.28
2012/12/22,8.364
2012/12/23,-12.205
2012/12/24,-27.266
2012/12/25,-29.36
2012/12/26,-26.075
2012/12/27,11.343
2012/12/28,17.448
2012/12/29,9.153
2012/12/30,-10.746
2012/12/31,-29.841
2013/01/01,-24.16
2013/01/02,-0.681
2013/01/03,49.744
2013/01/04,59.535
2013/01/05,5.995
2013/01/06,3.445
2013/01/07,-14.773
2013/01/08,9.483
2013/01/09,4.691
2013/01/10,371.538
2013/01/11,48.31
2013/01/12,18.895
2013/01/13,-70.939
2013/01/14,-38.467
2013/01/15,-7.595
2013/01/16,6.725
2013/01/17,52.674
2013/01/18,11.848
2013/01/19,30.657
2013/01/20,-25.306
2013/01/21,-27.536
2013/01/22,-43.725
2013/01/23,38.284
2013/01/24,25.556
2013/01/25,30.776
2013/01/26,-12.679
2013/01/27,11.77
2013/01/28,-2.879
2013/01/29,2.23
2013/01/30,-27.515
2013/01/31,-15.39
2013/02/01,13.013
2013/02/02,109.44
2013/02/03,12.779
2013/02/04,-22.193
2013/02/05,-46.982
2013/02/06,-20.87
2013/02/07,14.131
2013/02/08,28.168
2013/02/09,42.269
2013/02/10,-10.802
2013/02/11,-5.849
2013/02/12,10.328
2013/02/13,16.676
2013/02/14,-6.124
2013/02/15,-8.029
2013/02/16,-17.89
2013/02/17,-13.259
2013/02/18,-12.386
2013/02/19,8.47
2013/02/20,3.775
2013/02/21,4.41
2013/02/22,7.199
2013/02/23,13.371
2013/02/24,-1.373
2013/02/25,4.244
2013/02/26,16.47
2013/02/27,-2.02
2013/02/28,10.455
2013/03/01,29.915
2013/03/02,24.443
2013/03/03,-22.437
2013/03/04,-30.619
2013/03/05,4.69
2013/03/06,252.799
2013/03/07,24.459
2013/03/08,-19.232
2013/03/09,-68.739
2013/03/10,-12.905
2013/03/11,2.23
2013/03/12,58.891
2013/03/13,0.225
2013/03/14,-3.401
2013/03/15,-23.089
2013/03/16,-46.019
2013/03/17,-47.943
2013/03/18,-46.862
2013/03/19,68.062
2013/03/20,15.638
2013/03/21,16.387
2013/03/22,-2.56
2013/03/23,37.459
2013/03/24,-7.365
2013/03/25,3.977
2013/03/26,23.452
2013/03/27,110.88
2013/03/28,8.365
2013/03/29,15.98
2013/03/30,-18.855
2013/03/31,-18.548
2013/04/01,-37.176
2013/04/02,-8.601
2013/04/03,48.108
2013/04/04,124.559
2013/04/05,7.007
2013/04/06,-40.648
2013/04/07,-33.131
2013/04/08,-17.395
2013/04/09,17.192
2013/04/10,2.906
2013/04/11,32.14
2013/04/12,16.318
2013/04/13,-28.489
2013/04/14,-11.711
