Date,sentinusd14varUSD
2020/10/16,1106963095103987712
2020/10/17,1319531003229347840
2020/10/18,1413198599487733760
2020/10/19,1572759100671574016
2020/10/20,1620336377856958464
2020/10/21,2042980072520400896
2020/10/22,2923671705317367808
2020/10/23,3210647863974060032
2020/10/24,3210167851045781504
2020/10/25,3087918006021652480
2020/10/26,3186244574751670272
2020/10/27,3311703012869152768
2020/10/28,3754158974123163648
2020/10/29,3802853687269703680
2020/10/30,3771595594755186688
2020/10/31,2864630982475284480
2020/11/01,1886302618287194112
2020/11/02,1968198023974559744
2020/11/03,4248853021794115584
2020/11/04,4233697324403703808
2020/11/05,5275587665275256832
2020/11/06,6008268898700255232
2020/11/07,5732951411514966016
2020/11/08,5225713302867083264
2020/11/09,5214609116145942528
2020/11/10,5196687255200169984
2020/11/11,5166220391087783936
2020/11/12,5188542607168405504
2020/11/13,5064488339521208320
2020/11/14,5384614800127705088
2020/11/15,5356479445115043840
2020/11/16,5385990880046825472
2020/11/17,3967938529061699584
2020/11/18,5132987764235304960
2020/11/19,4334842875597864960
2020/11/20,4808729102763982848
2020/11/21,4621864122758774784
2020/11/22,4642633389670350848
2020/11/23,4625621765693390848
2020/11/24,5285573866150723584
2020/11/25,5607518807678664704
2020/11/26,6460732208675471360
2020/11/27,6670214785180680192
2020/11/28,6489986507039965184
2020/11/29,5536168133784584192
2020/11/30,5666642304040583168
2020/12/01,7326430894773993472
2020/12/02,6859413825753169920
2020/12/03,6851604454606110720
2020/12/04,6544756541723131904
2020/12/05,7222329052494872576
2020/12/06,7432293767500103680
2020/12/07,7463685959953154048
2020/12/08,7127959682890055680
2020/12/09,6956524877807239168
2020/12/10,6704694628530716672
2020/12/11,6500187719166197760
2020/12/12,5813629389197197312
2020/12/13,5514273396112736256
2020/12/14,5064936557117669376
2020/12/15,3093291108787716096
2020/12/16,5892247225842827264
2020/12/17,1.1521495411346E+19
2020/12/18,1.71692486436E+19
2020/12/19,1.5406056361545E+19
2020/12/20,1.3894667454052E+19
2020/12/21,1.3606730076121E+19
2020/12/22,1.4981964057184E+19
2020/12/23,1.5628446566711E+19
2020/12/24,1.5608400410838E+19
2020/12/25,1.5611914407813E+19
2020/12/26,1.3910662833235E+19
2020/12/27,1.2671686478561E+19
2020/12/28,1.3348139986511E+19
2020/12/29,1.4203754901343E+19
2020/12/30,1.6337301503732E+19
2020/12/31,1.6342573793695E+19
2021/01/01,1.4716823146565E+19
2021/01/02,1.5509558024334E+19
2021/01/03,1.2320381768318E+19
2021/01/04,1.5667907784283E+19
2021/01/05,1.7204141999471E+19
2021/01/06,2.2193114670306E+19
2021/01/07,3.5575038962563E+19
2021/01/08,3.8760729512624E+19
2021/01/09,3.1035239361906E+19
2021/01/10,2.7521705097823E+19
2021/01/11,2.7196259638161E+19
2021/01/12,2.6112583817923E+19
2021/01/13,2.5965183345084E+19
2021/01/14,2.5908205442952E+19
2021/01/15,1.9997741446396E+19
2021/01/16,2.4351656988074E+19
2021/01/17,3.0554399231272E+19
2021/01/18,3.2835370242748E+19
2021/01/19,3.2901386917703E+19
2021/01/20,3.2548795448107E+19
2021/01/21,2.4826306216831E+19
2021/01/22,1.6827525008205E+19
2021/01/23,2.3393504758801E+19
2021/01/24,3.3242099500281E+19
2021/01/25,3.1804874042513E+19
2021/01/26,3.108520925727E+19
2021/01/27,3.1005664900498E+19
2021/01/28,2.4980345542566E+19
2021/01/29,3.2882567834468E+19
2021/01/30,3.2875380164976E+19
2021/01/31,3.2137040509559E+19
2021/02/01,3.2109376292696E+19
2021/02/02,2.8618217508265E+19
2021/02/03,2.5478665119029E+19
2021/02/04,2.8254832771986E+19
2021/02/05,3.069716778964E+19
2021/02/06,2.696974223133E+19
2021/02/07,1.9500215442908E+19
2021/02/08,2.7071673449688E+19
2021/02/09,4.9347763451497E+19
2021/02/10,5.1924785201644E+19
2021/02/11,5.1743770475917E+19
2021/02/12,4.7947254753645E+19
2021/02/13,4.8153911495023E+19
2021/02/14,4.6860958252439E+19
2021/02/15,4.5779086696846E+19
2021/02/16,4.4087853554329E+19
2021/02/17,4.3836819160416E+19
2021/02/18,4.5577858342936E+19
2021/02/19,5.281231183764E+19
2021/02/20,4.903247481492E+19
2021/02/21,4.1447120105209E+19
2021/02/22,4.2678259948515E+19
2021/02/23,4.3846927791892E+19
2021/02/24,4.5825514176818E+19
2021/02/25,6.6255083197658E+19
2021/02/26,6.6005288025233E+19
2021/02/27,6.3031770824614E+19
2021/02/28,6.34125058406E+19
2021/03/01,6.1154619870736E+19
2021/03/02,6.0102734822522E+19
2021/03/03,6.0765531471523E+19
2021/03/04,6.2730301105721E+19
2021/03/05,6.0264027910419E+19
2021/03/06,7.3813367081112E+19
2021/03/07,8.1253882441066E+19
2021/03/08,7.8217843205677E+19
2021/03/09,6.4103843693697E+19
2021/03/10,6.0663437794221E+19
2021/03/11,3.1588502886452E+19
