Date,sentinusdUSD
2013/06/21,68084683
2013/06/22,40788284
2013/06/23,30952948
2013/06/24,55900908
2013/06/25,65842281
2013/06/26,56389788
2013/06/27,49345723
2013/06/28,56654059
2013/06/29,42690104
2013/06/30,34011345
2013/07/01,69610060
2013/07/02,57491463
2013/07/03,63630073
2013/07/04,64761044
2013/07/05,67984128
2013/07/06,44046900
2013/07/07,43322272
2013/07/08,59004473
2013/07/09,79818442
2013/07/10,78189845
2013/07/11,82003064
2013/07/12,83476181
2013/07/13,73622795
2013/07/14,46944200
2013/07/15,58784330
2013/07/16,80004524
2013/07/17,87541809
2013/07/18,80792409
2013/07/19,64655598
2013/07/20,38756285
2013/07/21,39161080
2013/07/22,71264980
2013/07/23,77839791
2013/07/24,72384467
2013/07/25,66808584
2013/07/26,64970307
2013/07/27,38355276
2013/07/28,51203611
2013/07/29,65125638
2013/07/30,89712827
2013/07/31,76796087
2013/08/01,106083826
2013/08/02,81182490
2013/08/03,59475319
2013/08/04,45155560
2013/08/05,75520920
2013/08/06,68891053
2013/08/07,72851524
2013/08/08,64473366
2013/08/09,54674553
2013/08/10,44893713
2013/08/11,37144222
2013/08/12,74239823
2013/08/13,117981300
2013/08/14,123564755
2013/08/15,73264111
2013/08/16,99599288
2013/08/17,88840436
2013/08/18,72866130
2013/08/19,100526885
2013/08/20,91698059
2013/08/21,128343861
2013/08/22,82836309
2013/08/23,83336952
2013/08/24,55416437
2013/08/25,54885024
2013/08/26,70599994
2013/08/27,93879311
2013/08/28,81204248
2013/08/29,75090026
2013/08/30,92760736
2013/08/31,77255535
2013/09/01,67857703
2013/09/02,77787952
2013/09/03,100932573
2013/09/04,95736547
2013/09/05,83796514
2013/09/06,74705424
2013/09/07,67872897
2013/09/08,42226042
2013/09/09,63914372
2013/09/10,65925920
2013/09/11,73178357
2013/09/12,76134563
2013/09/13,73122110
2013/09/14,60303633
2013/09/15,44737157
2013/09/16,76776257
2013/09/17,71562591
2013/09/18,85017089
2013/09/19,95622188
2013/09/20,82323814
2013/09/21,51048983
2013/09/22,54303946
2013/09/23,111696217
2013/09/24,104941132
2013/09/25,88927467
2013/09/26,82596029
2013/09/27,78100351
2013/09/28,61537931
2013/09/29,61263543
2013/09/30,94696797
2013/10/01,126813370
2013/10/02,123011620
2013/10/03,90428709
2013/10/04,85508644
2013/10/05,47578408
2013/10/06,46102731
2013/10/07,78409082
2013/10/08,77310900
2013/10/09,97304755
2013/10/10,81251689
2013/10/11,87575105
2013/10/12,75484364
2013/10/13,78716565
2013/10/14,106263049
2013/10/15,111211641
2013/10/16,128992878
2013/10/17,107749036
2013/10/18,124911212
2013/10/19,144911536
2013/10/20,106002027
2013/10/21,160995505
2013/10/22,196499336
2013/10/23,193274146
2013/10/24,176423245
2013/10/25,464924818
2013/10/26,108321249
2013/10/27,80554735
2013/10/28,108142232
2013/10/29,314943131
2013/10/30,127235491
2013/10/31,115958760
2013/11/01,105511146
2013/11/02,95248706
2013/11/03,95766112
2013/11/04,179911438
2013/11/05,215460356
2013/11/06,196266459
2013/11/07,286870091
2013/11/08,277876007
2013/11/09,261616677
2013/11/10,195039589
2013/11/11,184510417
2013/11/12,315238740
2013/11/13,390053415
2013/11/14,377155479
2013/11/15,974093026
2013/11/16,582183182
2013/11/17,474196290
2013/11/18,999095765
2013/11/19,1217431210
2013/11/20,787461023
2013/11/21,1207083771
2013/11/22,1544354038
2013/11/23,1065504571
2013/11/24,1008953371
2013/11/25,997839849
2013/11/26,3112686701
2013/11/27,2838283459
2013/11/28,3011497137
2013/11/29,2441708353
2013/11/30,1883375335
2013/12/01,1305988490
2013/12/02,1250533834
2013/12/03,1118119753
2013/12/04,1324977954
2013/12/05,1410596665
2013/12/06,1012910852
2013/12/07,1658156533
2013/12/08,866462081
2013/12/09,989142952
2013/12/10,721661035
2013/12/11,932478930
