Date,confirmationtime3var
2013/06/28,0.021
2013/06/29,0.002
2013/06/30,0.176
2013/07/01,0.142
2013/07/02,0.013
2013/07/03,0.487
2013/07/04,0.422
2013/07/05,0.199
2013/07/06,0.225
2013/07/07,0
2013/07/08,0.011
2013/07/09,0.016
2013/07/10,0.028
2013/07/11,0.133
2013/07/12,0.646
2013/07/13,0.221
2013/07/14,0.181
2013/07/15,0.107
2013/07/16,0.037
2013/07/17,0.202
2013/07/18,0.243
2013/07/19,0.209
2013/07/20,0.242
2013/07/21,0.236
2013/07/22,0.383
2013/07/23,1.477
2013/07/24,0.406
2013/07/25,0.234
2013/07/26,0.211
2013/07/27,0.61
2013/07/28,0.123
2013/07/29,0.07
2013/07/30,0.27
2013/07/31,0.105
2013/08/01,0.118
2013/08/02,0.08
2013/08/03,0.162
2013/08/04,0.158
2013/08/05,0.121
2013/08/06,0.044
2013/08/07,0.005
2013/08/08,0.094
2013/08/09,0.086
2013/08/10,0.048
2013/08/11,0.092
2013/08/12,0.008
2013/08/13,0.321
2013/08/14,0.619
2013/08/15,0.096
2013/08/16,0.002
2013/08/17,0.199
2013/08/18,0.259
2013/08/19,0.094
2013/08/20,0.094
2013/08/21,0.11
2013/08/22,0.15
2013/08/23,0.103
2013/08/24,0.242
2013/08/25,0.872
2013/08/26,0.464
2013/08/27,0.2
2013/08/28,0.061
2013/08/29,0.136
2013/08/30,0.19
2013/08/31,0.225
2013/09/01,0.065
2013/09/02,0.01
2013/09/03,0.153
2013/09/04,0.787
2013/09/05,0.334
2013/09/06,0.199
2013/09/07,0.915
2013/09/08,0.79
2013/09/09,1.439
2013/09/10,0.798
2013/09/11,0.036
2013/09/12,0.102
2013/09/13,0.034
2013/09/14,0.035
2013/09/15,0.315
2013/09/16,1.256
2013/09/17,0.407
2013/09/18,0.284
2013/09/19,0.222
2013/09/20,0.422
2013/09/21,0.036
2013/09/22,0.051
2013/09/23,0.101
2013/09/24,0.017
2013/09/25,0.007
2013/09/26,0.893
2013/09/27,0.606
2013/09/28,0.134
2013/09/29,0.029
2013/09/30,0.081
2013/10/01,0.223
2013/10/02,0.332
2013/10/03,0.037
2013/10/04,0.099
2013/10/05,0.339
2013/10/06,0.393
2013/10/07,1.178
2013/10/08,0.391
2013/10/09,0.255
2013/10/10,0.355
2013/10/11,0.049
2013/10/12,0.199
2013/10/13,0.307
2013/10/14,0.173
2013/10/15,0.175
2013/10/16,0.332
2013/10/17,1.597
2013/10/18,0.532
2013/10/19,0.782
2013/10/20,0.196
2013/10/21,0.101
2013/10/22,0.324
2013/10/23,0.156
2013/10/24,0.124
2013/10/25,0.057
2013/10/26,0.554
2013/10/27,0.764
2013/10/28,0.017
2013/10/29,0.171
2013/10/30,0.435
2013/10/31,0.851
2013/11/01,0.06
2013/11/02,0.016
2013/11/03,0.057
2013/11/04,0.024
2013/11/05,0.157
2013/11/06,0.356
2013/11/07,0.516
2013/11/08,0.619
2013/11/09,0.185
2013/11/10,0.906
2013/11/11,0.705
2013/11/12,0.265
2013/11/13,0.336
2013/11/14,0.33
2013/11/15,0.128
2013/11/16,0.268
2013/11/17,0.282
2013/11/18,0.621
2013/11/19,0.416
2013/11/20,0.035
2013/11/21,0.125
2013/11/22,0.261
2013/11/23,0.31
2013/11/24,0.007
2013/11/25,0.01
2013/11/26,0.093
2013/11/27,0.119
2013/11/28,0.209
2013/11/29,0.03
2013/11/30,0.023
2013/12/01,0.171
2013/12/02,0.466
2013/12/03,0.697
2013/12/04,0.594
2013/12/05,0.345
2013/12/06,0.516
2013/12/07,0.421
2013/12/08,0.047
2013/12/09,0.141
2013/12/10,0.124
2013/12/11,0.252
2013/12/12,0.366
2013/12/13,0.059
2013/12/14,0.417
2013/12/15,0.197
2013/12/16,0.189
2013/12/17,0.226
2013/12/18,0.003
2013/12/19,0.143
2013/12/20,0.492
2013/12/21,1.144
2013/12/22,0.122
2013/12/23,0.051
2013/12/24,0.002
2013/12/25,0.04
2013/12/26,0.133
2013/12/27,0.217
2013/12/28,0.637
2013/12/29,0.529
2013/12/30,0.305
2013/12/31,0.096
2014/01/01,0.287
2014/01/02,2.558
2014/01/03,2.309
