Date,transactionvalue14rocUSD
2013/09/24,26.749
2013/09/25,-7.273
2013/09/26,-3.255
2013/09/27,-0.511
2013/09/28,-3.244
2013/09/29,79.187
2013/09/30,32.436
2013/10/01,100.288
2013/10/02,26.677
2013/10/03,-0.709
2013/10/04,19.802
2013/10/05,13.405
2013/10/06,-0.633
2013/10/07,0.783
2013/10/08,5.423
2013/10/09,15.196
2013/10/10,2.449
2013/10/11,9.443
2013/10/12,9.158
2013/10/13,7.332
2013/10/14,-5.604
2013/10/15,-3.533
2013/10/16,25.21
2013/10/17,49.529
2013/10/18,26.483
2013/10/19,138.908
2013/10/20,96.937
2013/10/21,55.198
2013/10/22,72.268
2013/10/23,72.867
2013/10/24,86.007
2013/10/25,323.114
2013/10/26,42.842
2013/10/27,16.451
2013/10/28,15.514
2013/10/29,189.476
2013/10/30,8.605
2013/10/31,-7.833
2013/11/01,22.303
2013/11/02,17.979
2013/11/03,46.115
2013/11/04,65.354
2013/11/05,50.005
2013/11/06,10.185
2013/11/07,87.163
2013/11/08,-32.886
2013/11/09,121.992
2013/11/10,96.857
2013/11/11,72.206
2013/11/12,-0.353
2013/11/13,143.274
2013/11/14,187.11
2013/11/15,521.902
2013/11/16,313.639
2013/11/17,214.668
2013/11/18,208.339
