Date,difficulty30ema
2012/08/27,2145408
2012/08/28,2164456
2012/08/29,2182274
2012/08/30,2198943
2012/08/31,2214537
2012/09/01,2229124
2012/09/02,2242771
2012/09/03,2255536
2012/09/04,2267479
2012/09/05,2278651
2012/09/06,2292352
2012/09/07,2318268
2012/09/08,2342512
2012/09/09,2365192
2012/09/10,2386408
2012/09/11,2406256
2012/09/12,2424823
2012/09/13,2442193
2012/09/14,2458441
2012/09/15,2473642
2012/09/16,2487862
2012/09/17,2501164
2012/09/18,2513608
2012/09/19,2526261
2012/09/20,2548060
2012/09/21,2568452
2012/09/22,2587529
2012/09/23,2605375
2012/09/24,2622069
2012/09/25,2637687
2012/09/26,2652297
2012/09/27,2665964
2012/09/28,2678750
2012/09/29,2690710
2012/09/30,2701899
2012/10/01,2712366
2012/10/02,2722158
2012/10/03,2742499
2012/10/04,2762636
2012/10/05,2781475
2012/10/06,2799097
2012/10/07,2815583
2012/10/08,2831005
2012/10/09,2845433
2012/10/10,2858929
2012/10/11,2871555
2012/10/12,2883366
2012/10/13,2894415
2012/10/14,2904751
2012/10/15,2914421
2012/10/16,2923518
2012/10/17,2933118
2012/10/18,2942099
2012/10/19,2950501
2012/10/20,2958360
2012/10/21,2965712
2012/10/22,2972590
2012/10/23,2979025
2012/10/24,2985044
2012/10/25,2990675
2012/10/26,2995942
2012/10/27,3000870
2012/10/28,3005480
2012/10/29,3009792
2012/10/30,3028796
2012/10/31,3046574
2012/11/01,3063205
2012/11/02,3078764
2012/11/03,3093318
2012/11/04,3106933
2012/11/05,3119670
2012/11/06,3131586
2012/11/07,3142732
2012/11/08,3153159
2012/11/09,3162914
2012/11/10,3172039
2012/11/11,3180576
2012/11/12,3189664
2012/11/13,3201219
2012/11/14,3212028
2012/11/15,3222140
2012/11/16,3231600
2012/11/17,3240450
2012/11/18,3248728
2012/11/19,3256473
2012/11/20,3263718
2012/11/21,3270495
2012/11/22,3276835
2012/11/23,3282766
2012/11/24,3288315
2012/11/25,3293505
2012/11/26,3300522
2012/11/27,3309451
2012/11/28,3317803
2012/11/29,3325616
2012/11/30,3332925
2012/12/01,3339763
2012/12/02,3346159
2012/12/03,3352143
2012/12/04,3357741
2012/12/05,3362978
2012/12/06,3367877
2012/12/07,3372459
2012/12/08,3376746
2012/12/09,3380757
2012/12/10,3383454
2012/12/11,3382598
2012/12/12,3381797
2012/12/13,3381048
2012/12/14,3380347
2012/12/15,3379691
2012/12/16,3379077
2012/12/17,3378503
2012/12/18,3377967
2012/12/19,3377464
2012/12/20,3376994
2012/12/21,3376555
2012/12/22,3376144
2012/12/23,3375759
2012/12/24,3375399
2012/12/25,3375063
2012/12/26,3362640
2012/12/27,3337930
2012/12/28,3314815
2012/12/29,3293190
2012/12/30,3272961
2012/12/31,3254037
2013/01/01,3236334
2013/01/02,3219773
2013/01/03,3204280
2013/01/04,3189787
2013/01/05,3176229
2013/01/06,3163545
2013/01/07,3151680
2013/01/08,3149484
2013/01/09,3155940
2013/01/10,3161979
2013/01/11,3167629
2013/01/12,3172914
2013/01/13,3177858
2013/01/14,3182484
2013/01/15,3186810
2013/01/16,3190858
2013/01/17,3194645
2013/01/18,3198187
2013/01/19,3201501
2013/01/20,3204601
2013/01/21,3207500
2013/01/22,3210213
2013/01/23,3208726
2013/01/24,3193245
2013/01/25,3178763
2013/01/26,3165216
2013/01/27,3152542
2013/01/28,3140686
2013/01/29,3129595
2013/01/30,3119220
2013/01/31,3109513
2013/02/01,3100434
2013/02/02,3091940
2013/02/03,3083993
2013/02/04,3076560
2013/02/05,3079085
2013/02/06,3091754
2013/02/07,3103607
2013/02/08,3114694
2013/02/09,3125067
2013/02/10,3134770
2013/02/11,3143847
2013/02/12,3152338
2013/02/13,3160282
2013/02/14,3167713
2013/02/15,3174665
2013/02/16,3181168
2013/02/17,3187252
2013/02/18,3216419
2013/02/19,3244457
2013/02/20,3270687
2013/02/21,3295224
2013/02/22,3318178
2013/02/23,3339651
2013/02/24,3359739
2013/02/25,3378531
2013/02/26,3396110
2013/02/27,3412555
2013/02/28,3427940
2013/03/01,3454806
2013/03/02,3513714
2013/03/03,3568821
2013/03/04,3620373
2013/03/05,3668599
2013/03/06,3713714
2013/03/07,3755918
2013/03/08,3795399
2013/03/09,3832333
2013/03/10,3866884
2013/03/11,3899206
2013/03/12,3929443
2013/03/13,3957729
2013/03/14,4003384
2013/03/15,4057853
2013/03/16,4108807
2013/03/17,4156475
2013/03/18,4201066
2013/03/19,4242781
2013/03/20,4281805
2013/03/21,4318311
2013/03/22,4352461
2013/03/23,4384409
2013/03/24,4461612
2013/03/25,4605755
2013/03/26,4740598
2013/03/27,4866742
2013/03/28,4984747
2013/03/29,5095139
2013/03/30,5198409
2013/03/31,5295017
2013/04/01,5385392
2013/04/02,5469936
2013/04/03,5549026
2013/04/04,5623013
2013/04/05,5712177
2013/04/06,5838682
