Date,difficulty30wma
2013/04/22,7899442
2013/04/23,7997670
2013/04/24,8088601
2013/04/25,8174631
2013/04/26,8255762
2013/04/27,8331993
2013/04/28,8403323
2013/04/29,8469754
2013/04/30,8588067
2013/05/01,8713902
2013/05/02,8832467
2013/05/03,8943762
2013/05/04,9047787
2013/05/05,9144543
2013/05/06,9234693
2013/05/07,9319676
2013/05/08,9399490
2013/05/09,9474135
2013/05/10,9543613
2013/05/11,9607921
2013/05/12,9681568
2013/05/13,9806731
2013/05/14,9924338
2013/05/15,10034386
2013/05/16,10136877
2013/05/17,10231811
2013/05/18,10319972
2013/05/19,10403375
2013/05/20,10482018
2013/05/21,10555903
2013/05/22,10625028
2013/05/23,10689394
2013/05/24,10749001
2013/05/25,10820849
2013/05/26,10932704
2013/05/27,11037722
2013/05/28,11135904
2013/05/29,11227248
2013/05/30,11311756
2013/05/31,11391320
2013/06/01,11466416
2013/06/02,11537046
2013/06/03,11603209
2013/06/04,11664905
2013/06/05,11806866
2013/06/06,12079528
2013/06/07,12340298
2013/06/08,12589178
2013/06/09,12826166
2013/06/10,13051264
2013/06/11,13264470
2013/06/12,13466269
2013/06/13,13658566
2013/06/14,13841361
2013/06/15,14014654
2013/06/16,14200580
2013/06/17,14595011
2013/06/18,14971911
2013/06/19,15331279
2013/06/20,15673116
2013/06/21,15997422
2013/06/22,16304197
2013/06/23,16593440
2013/06/24,16865153
2013/06/25,17119901
2013/06/26,17359195
2013/06/27,17583036
2013/06/28,17791424
2013/06/29,18038460
2013/06/30,18342916
2013/07/01,18627626
2013/07/02,18892590
2013/07/03,19137808
2013/07/04,19363280
2013/07/05,19569005
2013/07/06,19757810
2013/07/07,19934292
2013/07/08,20098452
2013/07/09,20250290
2013/07/10,20389807
2013/07/11,20824876
2013/07/12,21240940
2013/07/13,21634301
2013/07/14,22004959
2013/07/15,22352912
2013/07/16,22678162
2013/07/17,22981445
2013/07/18,23270055
2013/07/19,23543990
2013/07/20,23803250
2013/07/21,24047836
2013/07/22,24343478
2013/07/23,24885174
2013/07/24,25401242
2013/07/25,25891679
2013/07/26,26356488
2013/07/27,26795666
2013/07/28,27209216
2013/07/29,27597136
2013/07/30,27961230
2013/07/31,28303987
2013/08/01,28625407
2013/08/02,28925490
2013/08/03,29390523
2013/08/04,30037581
2013/08/05,30650108
2013/08/06,31228102
2013/08/07,31771564
2013/08/08,32280494
2013/08/09,32754892
2013/08/10,33194758
2013/08/11,33610354
2013/08/12,34001800
2013/08/13,34525196
