Date,activeaddresses90var
2012/11/12,53493625
2012/11/13,53206698
2012/11/14,48339212
2012/11/15,45750765
2012/11/16,45042111
2012/11/17,43275138
2012/11/18,42782135
2012/11/19,40578064
2012/11/20,39730905
2012/11/21,39763979
2012/11/22,39502361
2012/11/23,39628510
2012/11/24,39412319
2012/11/25,39537799
2012/11/26,39559007
2012/11/27,39576832
2012/11/28,39354127
2012/11/29,38413967
2012/11/30,38219734
2012/12/01,38241665
2012/12/02,39334667
2012/12/03,39917891
2012/12/04,39962725
2012/12/05,39647846
2012/12/06,39446483
2012/12/07,39071263
2012/12/08,39088783
2012/12/09,39035974
2012/12/10,38837443
2012/12/11,38588568
2012/12/12,38460466
2012/12/13,38897201
2012/12/14,37863067
2012/12/15,37403196
2012/12/16,37071608
2012/12/17,37066870
2012/12/18,37707352
2012/12/19,37279392
2012/12/20,37274449
2012/12/21,35851245
2012/12/22,36742257
2012/12/23,36183166
2012/12/24,36106093
2012/12/25,36579056
2012/12/26,36600569
2012/12/27,35686712
2012/12/28,35707657
2012/12/29,35363531
2012/12/30,35634727
2012/12/31,34118646
2013/01/01,33060058
2013/01/02,31612413
2013/01/03,32801347
2013/01/04,33380550
2013/01/05,35220707
2013/01/06,34646614
2013/01/07,35161277
2013/01/08,37372635
2013/01/09,40145878
2013/01/10,44707455
2013/01/11,49281105
2013/01/12,50293300
2013/01/13,52313635
2013/01/14,52385895
2013/01/15,55247998
2013/01/16,57452498
2013/01/17,60703579
2013/01/18,63344202
2013/01/19,63905956
2013/01/20,64112214
2013/01/21,64299080
2013/01/22,65787466
2013/01/23,66036901
2013/01/24,69630983
2013/01/25,68410691
2013/01/26,67488244
2013/01/27,67403068
2013/01/28,67966213
2013/01/29,68255690
2013/01/30,66718081
2013/01/31,65672224
2013/02/01,68920865
2013/02/02,68546923
2013/02/03,69882460
2013/02/04,71516652
2013/02/05,74004404
2013/02/06,74209293
2013/02/07,75275086
2013/02/08,76355554
2013/02/09,74847379
2013/02/10,73940931
2013/02/11,72241656
2013/02/12,71688911
2013/02/13,72152094
2013/02/14,72373645
2013/02/15,72079772
2013/02/16,71918813
2013/02/17,71721209
2013/02/18,71617568
2013/02/19,71603166
2013/02/20,71417889
2013/02/21,69983226
2013/02/22,69380319
2013/02/23,68158306
2013/02/24,67940288
2013/02/25,67870598
2013/02/26,68993427
2013/02/27,69108683
2013/02/28,69184723
2013/03/01,69380104
2013/03/02,64448956
2013/03/03,60568617
2013/03/04,60259846
2013/03/05,60713751
2013/03/06,64152471
2013/03/07,66273603
2013/03/08,65188267
2013/03/09,63901700
2013/03/10,62006398
2013/03/11,60014072
2013/03/12,60134679
2013/03/13,61450821
2013/03/14,61491750
2013/03/15,59873196
2013/03/16,57013892
2013/03/17,55678287
2013/03/18,56017715
2013/03/19,58224097
2013/03/20,57524963
2013/03/21,60210906
2013/03/22,65503410
2013/03/23,65594345
2013/03/24,66178784
2013/03/25,61593991
2013/03/26,62515470
2013/03/27,62430634
2013/03/28,77674083
2013/03/29,83297936
2013/03/30,87389944
2013/03/31,82763613
2013/04/01,82659141
2013/04/02,93587018
2013/04/03,119931071
2013/04/04,146568407
2013/04/05,164680970
2013/04/06,167334419
2013/04/07,174998891
2013/04/08,206269076
2013/04/09,234652099
2013/04/10,291393310
2013/04/11,333892691
2013/04/12,349519493
2013/04/13,352764896
2013/04/14,348988094
2013/04/15,362646540
2013/04/16,376075002
2013/04/17,393177207
2013/04/18,395243917
2013/04/19,408681050
2013/04/20,404579949
2013/04/21,399699859
2013/04/22,404096543
2013/04/23,406509962
2013/04/24,418818970
2013/04/25,420030836
2013/04/26,420859043
2013/04/27,417250856
2013/04/28,440041848
2013/04/29,440507768
2013/04/30,433132044
2013/05/01,428660761
2013/05/02,429260989
2013/05/03,427990879
2013/05/04,425670412
2013/05/05,423207076
2013/05/06,423257607
2013/05/07,433680697
2013/05/08,440436171
2013/05/09,439093724
2013/05/10,436740820
2013/05/11,434064460
2013/05/12,428795734
2013/05/13,423585176
2013/05/14,418962654
2013/05/15,413425692
2013/05/16,406754076
2013/05/17,397311726
2013/05/18,387348472
2013/05/19,379370421
2013/05/20,371181791
2013/05/21,363621203
2013/05/22,355578998
2013/05/23,349664944
2013/05/24,342077868
2013/05/25,335133825
2013/05/26,330603949
2013/05/27,326371322
2013/05/28,320014904
2013/05/29,315772932
2013/05/30,312764866
2013/05/31,302582679
2013/06/01,291399038
2013/06/02,285777890
2013/06/03,279871426
2013/06/04,278450603
2013/06/05,276198497
2013/06/06,270275726
2013/06/07,262777881
2013/06/08,262115233
2013/06/09,260326345
2013/06/10,259757945
2013/06/11,258451692
2013/06/12,257339217
2013/06/13,256299205
2013/06/14,246257426
2013/06/15,245063182
2013/06/16,251292333
2013/06/17,256209548
2013/06/18,255920095
2013/06/19,256075458
2013/06/20,257719638
2013/06/21,257094165
2013/06/22,261164399
2013/06/23,268091929
2013/06/24,270289365
2013/06/25,273801164
2013/06/26,274458741
2013/06/27,278561338
2013/06/28,280016396
2013/06/29,281297689
2013/06/30,290795350
2013/07/01,290535731
2013/07/02,284569764
2013/07/03,276444540
2013/07/04,274721710
2013/07/05,277898057
2013/07/06,281984747
2013/07/07,276103992
2013/07/08,264236977
2013/07/09,228321482
2013/07/10,202564125
2013/07/11,193800873
2013/07/12,193216789
2013/07/13,194564654
2013/07/14,194474711
2013/07/15,188052348
2013/07/16,177280873
2013/07/17,177465949
2013/07/18,166831268
