Date,mediantransactionvalue90emaUSD
2012/09/16,21.829
2012/09/17,21.674
2012/09/18,21.561
2012/09/19,21.633
2012/09/20,21.705
2012/09/21,21.524
2012/09/22,21.469
2012/09/23,21.264
2012/09/24,21.063
2012/09/25,21.254
2012/09/26,21.067
2012/09/27,20.952
2012/09/28,20.762
2012/09/29,20.691
2012/09/30,20.625
2012/10/01,20.492
2012/10/02,20.598
2012/10/03,20.878
2012/10/04,20.872
2012/10/05,20.684
2012/10/06,20.406
2012/10/07,20.194
2012/10/08,19.946
2012/10/09,19.769
2012/10/10,19.602
2012/10/11,19.447
2012/10/12,19.366
2012/10/13,19.202
2012/10/14,19.077
2012/10/15,19.062
2012/10/16,18.893
2012/10/17,18.975
2012/10/18,19.08
2012/10/19,19.144
2012/10/20,19.033
2012/10/21,18.783
2012/10/22,18.569
2012/10/23,18.434
2012/10/24,18.468
2012/10/25,18.661
2012/10/26,19.361
2012/10/27,20.212
2012/10/28,20.495
2012/10/29,20.539
2012/10/30,20.402
2012/10/31,20.439
2012/11/01,20.614
2012/11/02,20.497
2012/11/03,20.511
2012/11/04,20.413
2012/11/05,20.225
2012/11/06,20.044
2012/11/07,19.903
2012/11/08,19.934
2012/11/09,20.126
2012/11/10,19.922
2012/11/11,19.942
2012/11/12,19.825
2012/11/13,19.653
2012/11/14,19.462
2012/11/15,19.287
2012/11/16,19.129
2012/11/17,19.005
2012/11/18,18.866
2012/11/19,18.703
2012/11/20,18.569
2012/11/21,18.378
2012/11/22,18.263
2012/11/23,18.108
2012/11/24,18.176
2012/11/25,18.05
2012/11/26,17.937
2012/11/27,18.155
2012/11/28,18.144
2012/11/29,17.984
2012/11/30,17.92
2012/12/01,17.824
2012/12/02,17.899
2012/12/03,18.167
2012/12/04,18.195
2012/12/05,18.24
2012/12/06,18.79
2012/12/07,18.798
2012/12/08,18.769
2012/12/09,18.65
2012/12/10,18.67
2012/12/11,18.675
2012/12/12,18.735
2012/12/13,18.694
2012/12/14,18.605
2012/12/15,18.524
2012/12/16,18.336
2012/12/17,18.204
2012/12/18,18.096
2012/12/19,17.994
2012/12/20,17.897
2012/12/21,17.775
2012/12/22,17.636
2012/12/23,17.486
2012/12/24,17.659
2012/12/25,17.662
2012/12/26,17.564
2012/12/27,17.407
2012/12/28,17.278
