Date,top100cap30ema
2012/12/29,19.581
2012/12/30,19.578
2012/12/31,19.574
2013/01/01,19.571
2013/01/02,19.573
2013/01/03,19.576
2013/01/04,19.574
2013/01/05,19.572
2013/01/06,19.574
2013/01/07,19.577
2013/01/08,19.565
2013/01/09,19.554
2013/01/10,19.541
2013/01/11,19.53
2013/01/12,19.52
2013/01/13,19.505
2013/01/14,19.488
2013/01/15,19.47
2013/01/16,19.454
2013/01/17,19.437
2013/01/18,19.422
2013/01/19,19.408
2013/01/20,19.395
2013/01/21,19.381
2013/01/22,19.371
2013/01/23,19.364
2013/01/24,19.351
2013/01/25,19.342
2013/01/26,19.342
2013/01/27,19.344
2013/01/28,19.346
2013/01/29,19.35
2013/01/30,19.359
2013/01/31,19.365
2013/02/01,19.371
2013/02/02,19.374
2013/02/03,19.376
2013/02/04,19.376
2013/02/05,19.378
2013/02/06,19.378
2013/02/07,19.379
2013/02/08,19.379
2013/02/09,19.376
2013/02/10,19.374
2013/02/11,19.373
2013/02/12,19.376
2013/02/13,19.38
2013/02/14,19.383
2013/02/15,19.383
2013/02/16,19.383
2013/02/17,19.37
2013/02/18,19.359
2013/02/19,19.348
2013/02/20,19.348
2013/02/21,19.348
2013/02/22,19.352
2013/02/23,19.353
2013/02/24,19.346
2013/02/25,19.337
2013/02/26,19.332
2013/02/27,19.325
2013/02/28,19.32
2013/03/01,19.315
2013/03/02,19.312
2013/03/03,19.314
2013/03/04,19.319
2013/03/05,19.32
2013/03/06,19.325
2013/03/07,19.329
2013/03/08,19.34
2013/03/09,19.351
2013/03/10,19.355
2013/03/11,19.361
2013/03/12,19.367
2013/03/13,19.375
2013/03/14,19.382
2013/03/15,19.384
2013/03/16,19.385
2013/03/17,19.386
2013/03/18,19.384
2013/03/19,19.381
2013/03/20,19.383
2013/03/21,19.383
2013/03/22,19.382
2013/03/23,19.379
2013/03/24,19.379
2013/03/25,19.384
2013/03/26,19.397
2013/03/27,19.415
2013/03/28,19.434
2013/03/29,19.461
2013/03/30,19.493
2013/03/31,19.516
2013/04/01,19.545
2013/04/02,19.576
2013/04/03,19.602
2013/04/04,19.627
2013/04/05,19.64
2013/04/06,19.653
2013/04/07,19.66
2013/04/08,19.662
2013/04/09,19.665
2013/04/10,19.672
2013/04/11,19.705
2013/04/12,19.733
2013/04/13,19.759
2013/04/14,19.784
2013/04/15,19.823
2013/04/16,19.868
2013/04/17,19.901
2013/04/18,19.935
2013/04/19,19.967
2013/04/20,20.004
2013/04/21,20.037
2013/04/22,20.068
2013/04/23,20.098
2013/04/24,20.111
2013/04/25,20.129
2013/04/26,20.148
2013/04/27,20.149
2013/04/28,20.151
2013/04/29,20.145
2013/04/30,20.141
2013/05/01,20.142
2013/05/02,20.147
2013/05/03,20.152
2013/05/04,20.156
2013/05/05,20.157
2013/05/06,20.153
2013/05/07,20.149
2013/05/08,20.148
2013/05/09,20.147
2013/05/10,20.142
2013/05/11,20.134
2013/05/12,20.126
2013/05/13,20.118
2013/05/14,20.112
2013/05/15,20.108
2013/05/16,20.11
2013/05/17,20.11
2013/05/18,20.11
2013/05/19,20.109
2013/05/20,20.109
2013/05/21,20.108
2013/05/22,20.109
2013/05/23,20.11
2013/05/24,20.112
2013/05/25,20.098
2013/05/26,20.086
2013/05/27,20.079
2013/05/28,20.072
2013/05/29,20.063
2013/05/30,20.055
2013/05/31,20.044
2013/06/01,20.033
2013/06/02,20.024
2013/06/03,20.009
2013/06/04,19.995
2013/06/05,19.986
2013/06/06,19.976
2013/06/07,19.965
2013/06/08,19.958
2013/06/09,19.955
2013/06/10,19.952
2013/06/11,19.948
2013/06/12,19.949
2013/06/13,19.951
2013/06/14,19.954
2013/06/15,19.957
2013/06/16,19.962
2013/06/17,19.967
2013/06/18,19.972
2013/06/19,19.979
2013/06/20,19.985
2013/06/21,19.991
2013/06/22,19.995
2013/06/23,20
2013/06/24,20.005
2013/06/25,20.007
2013/06/26,20.01
2013/06/27,20.015
2013/06/28,20.02
2013/06/29,20.028
2013/06/30,20.036
2013/07/01,20.047
2013/07/02,20.06
2013/07/03,20.073
2013/07/04,20.091
2013/07/05,20.113
2013/07/06,20.141
2013/07/07,20.166
2013/07/08,20.194
2013/07/09,20.22
2013/07/10,20.243
2013/07/11,20.265
2013/07/12,20.281
2013/07/13,20.29
2013/07/14,20.294
2013/07/15,20.296
2013/07/16,20.295
2013/07/17,20.299
2013/07/18,20.322
2013/07/19,20.337
2013/07/20,20.349
2013/07/21,20.36
2013/07/22,20.372
2013/07/23,20.379
2013/07/24,20.387
2013/07/25,20.394
2013/07/26,20.4
2013/07/27,20.406
2013/07/28,20.412
2013/07/29,20.423
